label_a,label_b,num_pairs_a,num_pairs_b,shared_pairs,pairs_only_in_a,pairs_only_in_b,jaccard_overlap
random_1,random_1,60,60,60,0,0,1.0
random_1,random_2,60,60,9,51,51,0.08108108108108109
random_1,random_3,60,60,10,50,50,0.09090909090909091
random_1,random_4,60,60,12,48,48,0.1111111111111111
random_1,random_5,60,60,6,54,54,0.05263157894736842
random_1,random_6,60,60,10,50,50,0.09090909090909091
random_1,random_7,60,60,11,49,49,0.10091743119266056
random_1,random_8,60,60,10,50,50,0.09090909090909091
random_1,random_9,60,60,7,53,53,0.061946902654867256
random_1,random_10,60,60,13,47,47,0.12149532710280374
random_2,random_1,60,60,9,51,51,0.08108108108108109
random_2,random_2,60,60,60,0,0,1.0
random_2,random_3,60,60,7,53,53,0.061946902654867256
random_2,random_4,60,60,9,51,51,0.08108108108108109
random_2,random_5,60,60,9,51,51,0.08108108108108109
random_2,random_6,60,60,10,50,50,0.09090909090909091
random_2,random_7,60,60,7,53,53,0.061946902654867256
random_2,random_8,60,60,8,52,52,0.07142857142857142
random_2,random_9,60,60,9,51,51,0.08108108108108109
random_2,random_10,60,60,5,55,55,0.043478260869565216
random_3,random_1,60,60,10,50,50,0.09090909090909091
random_3,random_2,60,60,7,53,53,0.061946902654867256
random_3,random_3,60,60,60,0,0,1.0
random_3,random_4,60,60,10,50,50,0.09090909090909091
random_3,random_5,60,60,7,53,53,0.061946902654867256
random_3,random_6,60,60,6,54,54,0.05263157894736842
random_3,random_7,60,60,5,55,55,0.043478260869565216
random_3,random_8,60,60,12,48,48,0.1111111111111111
random_3,random_9,60,60,11,49,49,0.10091743119266056
random_3,random_10,60,60,3,57,57,0.02564102564102564
random_4,random_1,60,60,12,48,48,0.1111111111111111
random_4,random_2,60,60,9,51,51,0.08108108108108109
random_4,random_3,60,60,10,50,50,0.09090909090909091
random_4,random_4,60,60,60,0,0,1.0
random_4,random_5,60,60,10,50,50,0.09090909090909091
random_4,random_6,60,60,10,50,50,0.09090909090909091
random_4,random_7,60,60,7,53,53,0.061946902654867256
random_4,random_8,60,60,9,51,51,0.08108108108108109
random_4,random_9,60,60,8,52,52,0.07142857142857142
random_4,random_10,60,60,5,55,55,0.043478260869565216
random_5,random_1,60,60,6,54,54,0.05263157894736842
random_5,random_2,60,60,9,51,51,0.08108108108108109
random_5,random_3,60,60,7,53,53,0.061946902654867256
random_5,random_4,60,60,10,50,50,0.09090909090909091
random_5,random_5,60,60,60,0,0,1.0
random_5,random_6,60,60,8,52,52,0.07142857142857142
random_5,random_7,60,60,8,52,52,0.07142857142857142
random_5,random_8,60,60,12,48,48,0.1111111111111111
random_5,random_9,60,60,8,52,52,0.07142857142857142
random_5,random_10,60,60,7,53,53,0.061946902654867256
random_6,random_1,60,60,10,50,50,0.09090909090909091
random_6,random_2,60,60,10,50,50,0.09090909090909091
random_6,random_3,60,60,6,54,54,0.05263157894736842
random_6,random_4,60,60,10,50,50,0.09090909090909091
random_6,random_5,60,60,8,52,52,0.07142857142857142
random_6,random_6,60,60,60,0,0,1.0
random_6,random_7,60,60,5,55,55,0.043478260869565216
random_6,random_8,60,60,13,47,47,0.12149532710280374
random_6,random_9,60,60,7,53,53,0.061946902654867256
random_6,random_10,60,60,10,50,50,0.09090909090909091
random_7,random_1,60,60,11,49,49,0.10091743119266056
random_7,random_2,60,60,7,53,53,0.061946902654867256
random_7,random_3,60,60,5,55,55,0.043478260869565216
random_7,random_4,60,60,7,53,53,0.061946902654867256
random_7,random_5,60,60,8,52,52,0.07142857142857142
random_7,random_6,60,60,5,55,55,0.043478260869565216
random_7,random_7,60,60,60,0,0,1.0
random_7,random_8,60,60,5,55,55,0.043478260869565216
random_7,random_9,60,60,4,56,56,0.034482758620689655
random_7,random_10,60,60,9,51,51,0.08108108108108109
random_8,random_1,60,60,10,50,50,0.09090909090909091
random_8,random_2,60,60,8,52,52,0.07142857142857142
random_8,random_3,60,60,12,48,48,0.1111111111111111
random_8,random_4,60,60,9,51,51,0.08108108108108109
random_8,random_5,60,60,12,48,48,0.1111111111111111
random_8,random_6,60,60,13,47,47,0.12149532710280374
random_8,random_7,60,60,5,55,55,0.043478260869565216
random_8,random_8,60,60,60,0,0,1.0
random_8,random_9,60,60,8,52,52,0.07142857142857142
random_8,random_10,60,60,7,53,53,0.061946902654867256
random_9,random_1,60,60,7,53,53,0.061946902654867256
random_9,random_2,60,60,9,51,51,0.08108108108108109
random_9,random_3,60,60,11,49,49,0.10091743119266056
random_9,random_4,60,60,8,52,52,0.07142857142857142
random_9,random_5,60,60,8,52,52,0.07142857142857142
random_9,random_6,60,60,7,53,53,0.061946902654867256
random_9,random_7,60,60,4,56,56,0.034482758620689655
random_9,random_8,60,60,8,52,52,0.07142857142857142
random_9,random_9,60,60,60,0,0,1.0
random_9,random_10,60,60,10,50,50,0.09090909090909091
random_10,random_1,60,60,13,47,47,0.12149532710280374
random_10,random_2,60,60,5,55,55,0.043478260869565216
random_10,random_3,60,60,3,57,57,0.02564102564102564
random_10,random_4,60,60,5,55,55,0.043478260869565216
random_10,random_5,60,60,7,53,53,0.061946902654867256
random_10,random_6,60,60,10,50,50,0.09090909090909091
random_10,random_7,60,60,9,51,51,0.08108108108108109
random_10,random_8,60,60,7,53,53,0.061946902654867256
random_10,random_9,60,60,10,50,50,0.09090909090909091
random_10,random_10,60,60,60,0,0,1.0
