germ_index,prep_fiducial_index,meas_fiducial_index
0,15,3
0,15,7
0,15,10
0,15,6
1,15,3
1,15,6
1,15,10
1,15,8
2,15,9
2,15,3
2,15,10
2,15,7
3,15,3
3,15,9
3,15,7
3,15,6
4,15,10
4,15,3
4,15,6
4,15,8
5,15,3
5,15,7
5,15,10
5,11,3
6,15,6
6,15,10
6,15,3
6,15,9
7,15,3
7,15,8
7,15,10
7,15,7
8,15,10
8,15,3
8,15,6
8,11,3
9,15,3
9,15,9
9,15,10
9,15,7
10,15,10
10,15,3
10,11,10
10,15,7
11,15,10
11,15,3
11,11,10
11,11,3
12,15,6
12,15,3
12,11,10
12,15,9
13,15,3
13,15,7
13,7,7
13,15,6
14,15,10
14,15,7
14,15,6
14,11,6
