label,germ_index,prep_fiducial_index,meas_fiducial_index
random_1,0,3,3
random_1,0,6,5
random_1,0,3,7
random_1,0,15,5
random_1,1,12,6
random_1,1,12,8
random_1,1,13,6
random_1,1,15,6
random_1,2,8,5
random_1,2,7,10
random_1,2,14,10
random_1,2,9,9
random_1,3,15,3
random_1,3,11,3
random_1,3,5,3
random_1,3,11,10
random_1,4,14,2
random_1,4,2,2
random_1,4,14,10
random_1,4,6,8
random_1,5,14,2
random_1,5,8,6
random_1,5,13,1
random_1,5,15,5
random_1,6,6,6
random_1,6,14,8
random_1,6,5,8
random_1,6,12,7
random_1,7,6,3
random_1,7,15,3
random_1,7,2,3
random_1,7,7,5
random_1,8,12,6
random_1,8,6,8
random_1,8,14,8
random_1,8,5,8
random_1,9,15,3
random_1,9,3,3
random_1,9,15,8
random_1,9,10,3
random_1,10,13,6
random_1,10,6,6
random_1,10,12,10
random_1,10,4,10
random_1,11,14,8
random_1,11,7,7
random_1,11,10,6
random_1,11,1,7
random_1,12,12,8
random_1,12,15,8
random_1,12,13,3
random_1,12,3,8
random_1,13,8,3
random_1,13,14,10
random_1,13,7,6
random_1,13,9,9
random_1,14,6,8
random_1,14,9,8
random_1,14,15,8
random_1,14,14,6
random_2,0,10,6
random_2,0,9,0
random_2,0,4,3
random_2,0,13,4
random_2,1,10,6
random_2,1,13,6
random_2,1,13,7
random_2,1,12,6
random_2,2,11,5
random_2,2,8,10
random_2,2,15,5
random_2,2,6,10
random_2,3,15,3
random_2,3,11,7
random_2,3,7,3
random_2,3,3,10
random_2,4,10,10
random_2,4,2,2
random_2,4,14,2
random_2,4,10,4
random_2,5,15,6
random_2,5,6,10
random_2,5,8,5
random_2,5,4,6
random_2,6,11,6
random_2,6,13,6
random_2,6,10,6
random_2,6,12,7
random_2,7,11,3
random_2,7,15,10
random_2,7,2,3
random_2,7,10,7
random_2,8,13,6
random_2,8,11,6
random_2,8,10,6
random_2,8,12,7
random_2,9,11,10
random_2,9,15,3
random_2,9,11,7
random_2,9,7,10
random_2,10,15,6
random_2,10,10,6
random_2,10,15,8
random_2,10,6,8
random_2,11,10,6
random_2,11,13,6
random_2,11,12,6
random_2,11,11,2
random_2,12,13,8
random_2,12,11,6
random_2,12,7,9
random_2,12,11,10
random_2,13,11,10
random_2,13,10,10
random_2,13,11,6
random_2,13,7,3
random_2,14,7,6
random_2,14,13,2
random_2,14,0,6
random_2,14,1,10
random_3,0,3,6
random_3,0,1,9
random_3,0,11,9
random_3,0,10,10
random_3,1,12,6
random_3,1,6,6
random_3,1,7,6
random_3,1,15,7
random_3,2,11,10
random_3,2,8,5
random_3,2,7,9
random_3,2,13,10
random_3,3,7,3
random_3,3,15,3
random_3,3,5,3
random_3,3,3,7
random_3,4,14,2
random_3,4,6,2
random_3,4,11,2
random_3,4,14,9
random_3,5,1,2
random_3,5,11,5
random_3,5,2,8
random_3,5,5,8
random_3,6,13,7
random_3,6,15,6
random_3,6,12,8
random_3,6,12,6
random_3,7,1,3
random_3,7,7,3
random_3,7,14,3
random_3,7,2,1
random_3,8,13,6
random_3,8,6,7
random_3,8,15,7
random_3,8,2,6
random_3,9,7,8
random_3,9,15,3
random_3,9,7,3
random_3,9,2,3
random_3,10,13,6
random_3,10,6,6
random_3,10,15,6
random_3,10,5,7
random_3,11,14,10
random_3,11,14,7
random_3,11,0,6
random_3,11,11,7
random_3,12,15,8
random_3,12,3,10
random_3,12,7,7
random_3,12,2,7
random_3,13,13,1
random_3,13,6,0
random_3,13,7,6
random_3,13,13,10
random_3,14,6,9
random_3,14,13,6
random_3,14,12,9
random_3,14,3,8
random_4,0,14,7
random_4,0,12,3
