germ_index,germ,candidate_pairs,candidate_probability_rows,proxy_rank_before_global_cssp,elapsed_seconds
0,"Qubit 0 ---| |---
Qubit 1 ---| |---
",176,704,512,1.2465458659971773
1,"Qubit 0 ---|Gxpi2|---
Qubit 1 ---|     |---
",176,704,436,0.6532507260017155
2,"Qubit 0 ---|Gypi2|---
Qubit 1 ---|     |---
",176,704,464,0.6842695480008842
3,"Qubit 0 ---|     |---
Qubit 1 ---|Gxpi2|---
",176,704,442,0.6441922669982887
4,"Qubit 0 ---|     |---
Qubit 1 ---|Gypi2|---
",176,704,473,0.7090065770025831
5,"Qubit 0 ---|C1|---
Qubit 1 ---|T0|---
",176,704,512,0.8976101240004937
6,"Qubit 0 ---|Gxpi2|-|Gypi2|---
Qubit 1 ---|     |-|     |---
",176,704,468,0.6590074790001381
7,"Qubit 0 ---|     |-|     |---
Qubit 1 ---|Gxpi2|-|Gypi2|---
",176,704,484,0.6849425839973264
8,"Qubit 0 ---|Gxpi2|-|Gxpi2|-|Gypi2|---
Qubit 1 ---|     |-|     |-|     |---
",176,704,468,0.702952171999641
9,"Qubit 0 ---|     |-|     |-|     |---
Qubit 1 ---|Gxpi2|-|Gxpi2|-|Gypi2|---
",176,704,484,0.7365495129997726
10,"Qubit 0 ---|C1|-|     |-|Gxpi2|-|Gxpi2|---
Qubit 1 ---|T0|-|Gxpi2|-|     |-|     |---
",176,704,512,0.7252038759979769
11,"Qubit 0 ---|Gxpi2|-|     |-|     |-|Gxpi2|-|     |-|Gypi2|---
Qubit 1 ---|     |-|Gxpi2|-|Gypi2|-|     |-|Gypi2|-|     |---
",176,704,495,0.709035108997341
12,"Qubit 0 ---|Gxpi2|-|     |-|     |-|Gypi2|-|     |-|     |---
Qubit 1 ---|     |-|Gypi2|-|Gxpi2|-|     |-|Gxpi2|-|Gxpi2|---
",176,704,494,0.6792948080001224
13,"Qubit 0 ---|Gypi2|-|     |-|Gxpi2|-|Gypi2|-|Gxpi2|-|C1|---
Qubit 1 ---|     |-|Gypi2|-|     |-|     |-|     |-|T0|---
",176,704,512,0.7116836000022886
14,"Qubit 0 ---|Gypi2|-|Gxpi2|-|     |-|Gxpi2|-|     |-|Gxpi2|-|Gypi2|-|     |---
Qubit 1 ---|     |-|     |-|Gypi2|-|     |-|Gxpi2|-|     |-|     |-|Gypi2|---
",176,704,493,0.7157224869988568
