sequence_index,iteration,nf,incumbent_index,incumbent_full_objective,mean_gate_entanglement_infidelity_to_truth,mean_gate_average_infidelity_to_truth,mean_spam_vector_l2_error_to_truth,mean_gate_diamond_distance_to_truth
0,0,0,0,264652.66898493725,0.00227342297002206,0.00151561531334804,0.00697710335423951,0.015113464757287046
1,1,1,1,141359.2656525208,0.042431421807624575,0.028287614538416384,0.08182972086188213,0.1517976827015775
2,2,2,1,141359.2656525208,0.042431421807624575,0.028287614538416384,0.08182972086188213,0.1517976827015775
3,3,3,3,103769.32488455994,0.03648696951986308,0.024324646346575385,0.14172014643651534,0.14058458638871357
4,4,4,3,103769.32488455994,0.03648696951986308,0.024324646346575385,0.14172014643651534,0.14058458638871357
5,5,5,5,82310.81504297908,0.019479262778960754,0.012986175185973836,0.03450265292563528,0.11715047224646018
6,6,6,5,84470.64627192362,0.019479262778960754,0.012986175185973836,0.03450265292563528,0.11715047224646018
7,7,7,5,84470.64627192362,0.019479262778960754,0.012986175185973836,0.03450265292563528,0.11715047224646018
8,8,8,8,80640.92394980315,0.025885469375433456,0.017256979583622302,0.01930237384260217,0.11117070923562086
9,9,9,8,80640.92394980315,0.025885469375433456,0.017256979583622302,0.01930237384260217,0.11117070923562086
10,10,10,10,47998.64841677636,0.009479256919097206,0.006319504612731471,0.04039215592147269,0.06220421188784206
11,11,11,10,49016.200536086595,0.009479256919097206,0.006319504612731471,0.04039215592147269,0.06220421188784206
12,12,12,10,49016.200536086595,0.009479256919097206,0.006319504612731471,0.04039215592147269,0.06220421188784206
13,13,13,13,25887.155173447725,0.009031100026688665,0.006020733351125777,0.013212519553391616,0.03666513130745049
14,14,14,13,25887.155173447725,0.009031100026688665,0.006020733351125777,0.013212519553391616,0.03666513130745049
15,15,15,15,14556.239531682728,0.004487451629881012,0.0029916344199206746,0.009068476206060931,0.02098029479427011
16,16,16,15,15334.354610705846,0.004487451629881012,0.0029916344199206746,0.009068476206060931,0.02098029479427011
17,17,17,15,15334.354610705846,0.004487451629881012,0.0029916344199206746,0.009068476206060931,0.02098029479427011
18,18,18,18,11369.378575551707,0.0034749243053856516,0.002316616203590434,0.0031990003795790045,0.01351183194396556
19,19,19,18,11369.378575551707,0.0034749243053856516,0.002316616203590434,0.0031990003795790045,0.01351183194396556
20,20,20,20,8462.051527699641,0.0022691977792923534,0.0015127985195282356,0.006588172596865209,0.008822877546846483
21,21,21,20,8713.608549675748,0.0022691977792923534,0.0015127985195282356,0.006588172596865209,0.008822877546846483
22,22,22,22,8704.105978317277,0.001819280697124448,0.0012128537980829652,0.006132073696774087,0.007529234672737518
23,23,23,23,4609.073150610101,0.0013589393983157727,0.0009059595988771817,0.012310746754901172,0.004504839388138398
24,24,24,24,3224.107461655829,0.0009195279468266204,0.0006130186312177469,0.004133034496802974,0.0034542920824427907
