phase,nf,x_index,incumbent_index,active_objective,full_objective,incumbent_active_objective,incumbent_full_objective,active_residuals,active_circuits,new_residuals_revealed,new_circuits_revealed,union_residuals_revealed,union_circuits_revealed,cumulative_eval_residuals,cumulative_eval_circuits,cumulative_shots_revealed,cumulative_eval_shots,shots_per_circuit,fpr_enabled,fpr_use_union_mask,fpr_selected_residuals,fpr_selected_circuits,fpr_new_residuals,fpr_new_circuits,fpr_union_residuals,fpr_union_circuits,delta,ng,rho,rho_active,rho_full,rho_uses_full_objective,mdec,step_norm,accepted
initial,0,0,0,41345.69633365482,41345.69633365482,41345.69633365482,41345.69633365482,3836,1918,3836,1918,3836,1918,3836,1918,205226.0,205226.0,107.0,False,True,3836,1918,3836,1918,3836,1918,0.1,,,,,False,,,True
trial,1,1,1,6786.018428817315,6786.018428817315,6786.018428817315,6786.018428817315,3836,1918,0,0,3836,1918,7672,3836,205226.0,205226.0,107.0,False,True,3836,1918,0,0,3836,1918,0.1,129587.04366724833,46.5874425756369,46.5874425756369,46.5874425756369,False,-741.8238906058912,0.09999123897796727,True
trial,2,2,1,17134.61018622807,17134.61018622807,6786.018428817315,6786.018428817315,3836,1918,0,0,3836,1918,11508,5754,205226.0,205226.0,107.0,False,True,3836,1918,0,0,3836,1918,0.2,75879.24696706989,-1.9251094814734608,-1.9251094814734608,-1.9251094814734608,False,-5375.586093675067,0.17132156277161384,False
trial,3,3,1,14790.02371017229,14790.02371017229,6786.018428817315,6786.018428817315,3836,1918,0,0,3836,1918,15344,7672,205226.0,205226.0,107.0,False,True,3836,1918,0,0,3836,1918,0.1,75879.24696706989,-1.4894737173734,-1.4894737173734,-1.4894737173734,False,-5373.713673491045,0.1,False
trial,4,4,4,4106.56574819277,4106.56574819277,4106.56574819277,4106.56574819277,3836,1918,0,0,3836,1918,19180,9590,205226.0,205226.0,107.0,False,True,3836,1918,0,0,3836,1918,0.05,75879.24696706989,0.5034423673318047,0.5034423673318047,0.5034423673318047,False,-5322.262992734168,0.05,True
trial,5,5,4,12227.879192894317,12227.879192894317,4106.56574819277,4106.56574819277,3836,1918,0,0,3836,1918,23016,11508,205226.0,205226.0,107.0,False,True,3836,1918,0,0,3836,1918,0.1,63805.6927443817,-2.8291124073422385,-2.8291124073422385,-2.8291124073422385,False,-2870.622398609809,0.1,False
trial,6,6,6,4423.656274584427,4423.656274584427,4423.656274584427,4423.656274584427,3836,1918,0,0,3836,1918,26852,13426,215226.0,215226.0,112.21376433785193,False,True,3836,1918,0,0,3836,1918,0.05,68514.26851984208,0.00596302224305608,0.00596302224305608,0.00596302224305608,False,-3182.8168325101815,0.05,True
trial,7,7,7,1690.841593076721,1690.841593076721,1690.841593076721,1690.841593076721,3836,1918,0,0,3836,1918,30688,15344,215226.0,215226.0,112.21376433785193,False,True,3836,1918,0,0,3836,1918,0.025,96880.47905290248,0.8513508739855864,0.8513508739855864,0.8513508739855864,False,-3209.9746003831237,0.025,True
trial,8,8,7,3749.6170710855404,3749.6170710855404,1690.841593076721,1690.841593076721,3836,1918,0,0,3836,1918,34524,17262,215226.0,215226.0,112.21376433785193,False,True,3836,1918,0,0,3836,1918,0.05,46527.21778047709,-3.030712745921269,-3.030712745921269,-3.030712745921269,False,-679.3040616533249,0.049408674309296345,False
trial,9,9,9,1560.757822683835,1560.757822683835,1560.757822683835,1560.757822683835,3836,1918,0,0,3836,1918,38360,19180,215226.0,215226.0,112.21376433785193,False,True,3836,1918,0,0,3836,1918,0.025,46527.21778047709,0.19227426850599955,0.19227426850599955,0.19227426850599955,False,-676.5531935378392,0.025,True
trial,10,10,10,1293.5369935262636,1293.5369935262636,1293.5369935262636,1293.5369935262636,3836,1918,0,0,3836,1918,42196,21098,215226.0,215226.0,112.21376433785193,False,True,3836,1918,0,0,3836,1918,0.05,45274.541697333945,0.46830752337155906,0.46830752337155906,0.46830752337155906,False,-570.6097293370967,0.04923449712487257,True
