sequence_index,iteration,nf,incumbent_index,incumbent_full_objective,mean_gate_entanglement_infidelity_to_truth,mean_gate_average_infidelity_to_truth,mean_spam_vector_l2_error_to_truth,mean_gate_diamond_distance_to_truth
0,0,0,0,382084.7710996091,0.00227342297002206,0.00151561531334804,0.00697710335423951,0.015113464757287046
1,1,1,1,197946.85527700957,0.04166790428143485,0.027778602854289902,0.0833801718390883,0.1450085338366797
2,2,2,1,197946.85527700957,0.04166790428143485,0.027778602854289902,0.0833801718390883,0.1450085338366797
3,3,3,3,127080.4314556222,0.026281514465925693,0.01752100964395046,0.04752846871924064,0.10661136484068678
4,4,4,3,127080.4314556222,0.026281514465925693,0.01752100964395046,0.04752846871924064,0.10661136484068678
5,5,5,5,102173.44860716356,0.014326224698801487,0.009550816465867659,0.044391917027944115,0.08447329107402957
6,6,6,5,102173.44860716356,0.014326224698801487,0.009550816465867659,0.044391917027944115,0.08447329107402957
7,7,7,5,102173.44860716356,0.014326224698801487,0.009550816465867659,0.044391917027944115,0.08447329107402957
8,8,8,8,101141.47371328785,0.017683495298006835,0.011788996865337891,0.031560721873871385,0.08780752578868986
9,9,9,8,101141.47371328785,0.017683495298006835,0.011788996865337891,0.031560721873871385,0.08780752578868986
10,10,10,10,67085.97901359678,0.008400944726877996,0.0056006298179186636,0.03300931408377278,0.06386045857115669
11,11,11,10,67085.97901359678,0.008400944726877996,0.0056006298179186636,0.03300931408377278,0.06386045857115669
12,12,12,10,67085.97901359678,0.008400944726877996,0.0056006298179186636,0.03300931408377278,0.06386045857115669
13,13,13,13,49003.27468336912,0.006394714205316343,0.004263142803544229,0.016332744435329494,0.03290605899812309
14,14,14,14,40988.7527181332,0.009876483009267106,0.006584322006178071,0.010532878228876214,0.031662971500998296
15,15,15,15,30609.57880861135,0.002289925719905883,0.0015266171466039222,0.005035223916484929,0.023287835345123492
16,16,16,15,30609.57880861135,0.002289925719905883,0.0015266171466039222,0.005035223916484929,0.023287835345123492
17,17,17,15,30609.57880861135,0.002289925719905883,0.0015266171466039222,0.005035223916484929,0.023287835345123492
18,18,18,18,32657.879357264057,0.008379056093842846,0.005586037395895231,0.010155033536909224,0.028599622598133145
19,19,19,19,18824.23677199232,0.0030093244068196967,0.0020062162712131313,0.010261632796686597,0.01584316429122154
