sequence_index,iteration,nf,incumbent_index,incumbent_full_objective,mean_gate_entanglement_infidelity_to_truth,mean_gate_average_infidelity_to_truth,mean_spam_vector_l2_error_to_truth,mean_gate_diamond_distance_to_truth
0,0,0,0,191737.8943133126,0.00227342297002206,0.00151561531334804,0.00697710335423951,0.015113464757287046
1,1,1,1,46248.580679559826,0.012456427320394398,0.008304284880262932,0.014412663931890252,0.05196095887376512
2,2,2,1,46248.580679559826,0.012456427320394398,0.008304284880262932,0.014412663931890252,0.05196095887376512
3,3,3,3,43414.23115561181,0.01090848867293695,0.007272325781957967,0.027183806715865736,0.04703277030610938
4,4,4,3,43414.23115561181,0.01090848867293695,0.007272325781957967,0.027183806715865736,0.04703277030610938
5,5,5,3,43414.23115561181,0.01090848867293695,0.007272325781957967,0.027183806715865736,0.04703277030610938
6,6,6,6,21873.16082604013,0.002852786570618826,0.001901857713745884,0.017005824420627785,0.047694693036000546
7,7,7,6,21873.16082604013,0.002852786570618826,0.001901857713745884,0.017005824420627785,0.047694693036000546
8,8,8,6,21873.16082604013,0.002852786570618826,0.001901857713745884,0.017005824420627785,0.047694693036000546
9,9,9,9,14279.12578398743,0.0037636887694008636,0.002509125846267242,0.006907372834138048,0.02956823739852351
10,10,10,9,14279.12578398743,0.0037636887694008636,0.002509125846267242,0.006907372834138048,0.02956823739852351
11,11,11,11,5944.858129721128,0.0018365545302608255,0.0012243696868405503,0.005342901194054017,0.012080446241896334
12,12,12,11,5944.858129721128,0.0018365545302608255,0.0012243696868405503,0.005342901194054017,0.012080446241896334
13,13,13,13,3523.369486868283,0.0010189597670329786,0.0006793065113553192,0.001789912167327321,0.006917136627318707
14,14,14,14,3213.2031325456956,0.0011031486813634639,0.0007354324542423093,0.0022539774511975484,0.00601211639936851
15,15,15,15,1810.4725741238553,0.0005134382095535184,0.0003422921397023456,0.0017958812378173527,0.0043030891118895145
16,16,16,15,1810.4725741238553,0.0005134382095535184,0.0003422921397023456,0.0017958812378173527,0.0043030891118895145
17,17,17,17,1508.4442923650554,0.0005404110129075268,0.0003602740086050179,0.0017104964259463083,0.002435461536467272
18,18,18,18,1102.8136729281737,0.0002877983205741841,0.00019186554704945608,0.0018135732480330403,0.001643426999108995
19,19,19,18,1102.8136729281737,0.0002877983205741841,0.00019186554704945608,0.0018135732480330403,0.001643426999108995
20,20,20,20,1041.046933766672,0.00021468758055381842,0.0001431250537025456,0.0020357744436545044,0.0015515601287139423
21,21,21,20,1041.046933766672,0.00021468758055381842,0.0001431250537025456,0.0020357744436545044,0.0015515601287139423
22,22,22,20,1041.046933766672,0.00021468758055381842,0.0001431250537025456,0.0020357744436545044,0.0015515601287139423
23,23,23,23,989.03017388313,0.00017120151616639712,0.0001141343441109314,0.0020197414870846116,0.0013801750665287963
24,24,24,23,989.03017388313,0.00017120151616639712,0.0001141343441109314,0.0020197414870846116,0.0013801750665287963
25,25,25,23,989.03017388313,0.00017120151616639712,0.0001141343441109314,0.0020197414870846116,0.0013801750665287963
26,26,26,26,980.2547768410901,0.00015614012614878492,0.00010409341743252327,0.002050492626020047,0.0013277582979050022
27,27,27,26,980.2547768410901,0.00015614012614878492,0.00010409341743252327,0.002050492626020047,0.0013277582979050022
28,28,28,28,978.7609321407567,0.00015485528206457544,0.00010323685470971697,0.0020440852462185358,0.0013220441894193306
29,29,29,28,978.7609321407567,0.00015485528206457544,0.00010323685470971697,0.0020440852462185358,0.0013220441894193306
30,30,30,28,978.7609321407567,0.00015485528206457544,0.00010323685470971697,0.0020440852462185358,0.0013220441894193306
31,31,31,31,978.0776749963909,0.00015001881328757793,0.00010001254219171862,0.0020733061433205902,0.0013120537276922128
32,32,32,31,978.0776749963909,0.00015001881328757793,0.00010001254219171862,0.0020733061433205902,0.0013120537276922128
33,33,33,33,977.6035207066952,0.00014860319985446346,9.906879990297565e-05,0.00205786898481846,0.0013062662543026288
34,34,34,33,977.6035207066952,0.00014860319985446346,9.906879990297565e-05,0.00205786898481846,0.0013062662543026288
35,35,35,33,977.6035207066952,0.00014860319985446346,9.906879990297565e-05,0.00205786898481846,0.0013062662543026288
36,36,36,36,977.3483612833628,0.0001455566760811544,9.703778405410293e-05,0.0020738913520855513,0.0013037905905987574
37,37,37,36,977.3483612833628,0.0001455566760811544,9.703778405410293e-05,0.0020738913520855513,0.0013037905905987574
38,38,38,38,977.3164418179065,0.00014500654401547464,9.667102934364975e-05,0.0020677104387011418,0.0013030174133713682
39,39,39,38,977.3164418179065,0.00014500654401547464,9.667102934364975e-05,0.0020677104387011418,0.0013030174133713682
40,40,40,38,977.3164418179065,0.00014500654401547464,9.667102934364975e-05,0.0020677104387011418,0.0013030174133713682
41,41,41,41,977.2441807396178,0.00014468948857149222,9.645965904766149e-05,0.002074942656246467,0.0013024893885920067
42,42,42,41,977.2441807396178,0.00014468948857149222,9.645965904766149e-05,0.002074942656246467,0.0013024893885920067
43,43,43,43,977.2399234599161,0.00014478964960701335,9.652643307134223e-05,0.002074940673879913,0.0013031165864704798
44,44,44,43,977.2399234599161,0.00014478964960701335,9.652643307134223e-05,0.002074940673879913,0.0013031165864704798
45,45,45,45,977.2353334605535,0.00014429671881105444,9.619781254070296e-05,0.002074517341872597,0.0013028362798523222
46,46,46,45,977.2353334605535,0.00014429671881105444,9.619781254070296e-05,0.002074517341872597,0.0013028362798523222
47,47,47,45,977.2353334605535,0.00014429671881105444,9.619781254070296e-05,0.002074517341872597,0.0013028362798523222
48,48,48,48,977.2213271358305,0.00014419638441451332,9.613092294300889e-05,0.00207295713143338,0.001302851567659422
49,49,49,48,977.2213271358305,0.00014419638441451332,9.613092294300889e-05,0.00207295713143338,0.001302851567659422
50,50,50,48,977.2213271358305,0.00014419638441451332,9.613092294300889e-05,0.00207295713143338,0.001302851567659422
51,51,51,51,977.2167314293716,0.00014438593029875157,9.625728686583439e-05,0.0020737509766735585,0.0013033240838270389
52,52,52,51,977.2167314293716,0.00014438593029875157,9.625728686583439e-05,0.0020737509766735585,0.0013033240838270389
53,53,53,51,977.2167314293716,0.00014438593029875157,9.625728686583439e-05,0.0020737509766735585,0.0013033240838270389
54,54,54,54,977.2162702018329,0.0001444451225610932,9.629674837406213e-05,0.002074259053048266,0.001303364168477375
55,55,55,54,977.2162702018329,0.0001444451225610932,9.629674837406213e-05,0.002074259053048266,0.001303364168477375
56,56,56,54,977.2162702018329,0.0001444451225610932,9.629674837406213e-05,0.002074259053048266,0.001303364168477375
57,57,57,57,977.2161642401454,0.00014444278462732996,9.62951897515533e-05,0.0020743330332781,0.0013034302908804733
58,58,58,57,977.2161642401454,0.00014444278462732996,9.62951897515533e-05,0.0020743330332781,0.0013034302908804733
59,59,59,59,977.2161515604764,0.00014447956560492692,9.63197104032846e-05,0.0020741414916113175,0.001303516604577449
60,60,60,59,977.2161515604764,0.00014447956560492692,9.63197104032846e-05,0.0020741414916113175,0.001303516604577449
61,61,61,61,977.2161443573007,0.0001444446292853674,9.629641952357826e-05,0.002074268724615852,0.0013034366089056562
62,62,62,62,977.2160599087482,0.00014444126005605518,9.629417337070345e-05,0.0020741631002600736,0.0013034351491440917
63,63,63,63,977.2160561168673,0.0001444536253413231,9.63024168942154e-05,0.002074223242215411,0.001303466645768134
64,64,64,64,977.2160241116296,0.00014445608577270952,9.630405718180635e-05,0.002074232011512391,0.0013034646446685653
65,65,65,64,977.2160241116296,0.00014445608577270952,9.630405718180635e-05,0.002074232011512391,0.0013034646446685653
66,66,66,64,977.2160241116296,0.00014445608577270952,9.630405718180635e-05,0.002074232011512391,0.0013034646446685653
67,67,67,67,977.2160165091328,0.0001444527352841285,9.630182352275232e-05,0.0020741899674678378,0.0013034620237208547
68,68,68,67,977.2160165091328,0.0001444527352841285,9.630182352275232e-05,0.0020741899674678378,0.0013034620237208547
69,69,69,69,977.2160095268132,0.00014444662692442156,9.629775128294771e-05,0.002074204779910414,0.0013034531323075317
70,70,70,69,977.2160095268132,0.00014444662692442156,9.629775128294771e-05,0.002074204779910414,0.0013034531323075317
71,71,71,71,977.2160094528846,0.00014444641006844394,9.629760671229595e-05,0.0020742003791532964,0.001303451027921858
72,72,72,72,977.216004188549,0.0001444451357273946,9.62967571515964e-05,0.0020742027763389556,0.0013034500693501524
73,73,73,72,977.216004188549,0.0001444451357273946,9.62967571515964e-05,0.0020742027763389556,0.0013034500693501524
74,74,74,74,977.2160035805114,0.00014444547795736118,9.629698530490746e-05,0.002074181959307768,0.0013034566560383223
75,75,75,74,977.2160035805114,0.00014444547795736118,9.629698530490746e-05,0.002074181959307768,0.0013034566560383223
76,76,76,76,977.2160021569796,0.00014444745708824813,9.629830472549876e-05,0.002074203388709644,0.001303456528265913
77,77,77,76,977.2160021569796,0.00014444745708824813,9.629830472549876e-05,0.002074203388709644,0.001303456528265913
