sequence_index,iteration,nf,incumbent_index,incumbent_full_objective,mean_gate_entanglement_infidelity_to_truth,mean_gate_average_infidelity_to_truth,mean_spam_vector_l2_error_to_truth,mean_gate_diamond_distance_to_truth
0,0,0,0,42071.45263662398,0.00227342297002206,0.00151561531334804,0.00697710335423951,0.015113464757287046
1,1,1,1,7385.694267362096,0.007311943061987181,0.004874628707991454,0.00980980955100566,0.03571303764208297
2,2,2,1,7385.694267362096,0.007311943061987181,0.004874628707991454,0.00980980955100566,0.03571303764208297
3,3,3,1,7385.694267362096,0.007311943061987181,0.004874628707991454,0.00980980955100566,0.03571303764208297
4,4,4,4,3616.2696677956037,0.0038032512777129157,0.0025355008518086106,0.023267786305449376,0.024258029540849588
5,5,5,4,3616.2696677956037,0.0038032512777129157,0.0025355008518086106,0.023267786305449376,0.024258029540849588
6,6,6,6,3171.5452956032996,0.0025278913250811885,0.0016852608833874592,0.008067775967483119,0.013884320922182242
7,7,7,6,3171.5452956032996,0.0025278913250811885,0.0016852608833874592,0.008067775967483119,0.013884320922182242
8,8,8,8,2608.0864112002378,0.0027434775467851114,0.0018289850311900744,0.005900364294708037,0.012339269537203183
9,9,9,8,2608.0864112002378,0.0027434775467851114,0.0018289850311900744,0.005900364294708037,0.012339269537203183
10,10,10,10,2272.4616132434594,0.0016504429192273629,0.0011002952794849086,0.007129558712948662,0.01046352207676158
11,11,11,10,2936.7385790923367,0.0016504429192273629,0.0011002952794849086,0.007129558712948662,0.01046352207676158
12,12,12,12,2466.2911692326484,0.001369123802171357,0.0009127492014475713,0.005034094485343141,0.00744105617505475
13,13,13,13,1293.1289185904072,0.00023068504390416633,0.00015379002926944424,0.004679771755479766,0.005380643357331386
14,14,14,13,1293.1289185904072,0.00023068504390416633,0.00015379002926944424,0.004679771755479766,0.005380643357331386
15,15,15,13,1293.1289185904072,0.00023068504390416633,0.00015379002926944424,0.004679771755479766,0.005380643357331386
16,16,16,16,1107.6818712924292,0.00019975090982618515,0.00013316727321745678,0.00427879260568921,0.0023827307541040145
17,17,17,16,1107.6818712924292,0.00019975090982618515,0.00013316727321745678,0.00427879260568921,0.0023827307541040145
18,18,18,16,1107.6818712924292,0.00019975090982618515,0.00013316727321745678,0.00427879260568921,0.0023827307541040145
19,19,19,19,1008.5640106387074,8.50338386000904e-05,5.66892257333936e-05,0.004239533723727388,0.001834154649421259
20,20,20,19,1008.5640106387074,8.50338386000904e-05,5.66892257333936e-05,0.004239533723727388,0.001834154649421259
21,21,21,19,1003.9927429396612,8.50338386000904e-05,5.66892257333936e-05,0.004239533723727388,0.001834154649421259
22,22,22,22,989.3928895014722,7.051710639177644e-05,4.7011404261184296e-05,0.004234957366954077,0.0016198783743312656
23,23,23,22,989.3928895014722,7.051710639177644e-05,4.7011404261184296e-05,0.004234957366954077,0.0016198783743312656
24,24,24,22,989.3928895014722,7.051710639177644e-05,4.7011404261184296e-05,0.004234957366954077,0.0016198783743312656
25,25,25,25,986.4653668229338,8.081500570611411e-05,5.387667047074273e-05,0.00406874280166161,0.0016505276949537323
26,26,26,25,987.6166115237285,8.081500570611411e-05,5.387667047074273e-05,0.00406874280166161,0.0016505276949537323
27,27,27,27,986.0403317110176,8.16033959538387e-05,5.4402263969225796e-05,0.003590833874035819,0.001535262555967908
