sequence_index,iteration,nf,incumbent_index,incumbent_full_objective,mean_gate_entanglement_infidelity_to_truth,mean_gate_average_infidelity_to_truth,mean_spam_vector_l2_error_to_truth,mean_spam_tracedist_to_truth,mean_gate_eigenvalue_nonunitarity_excess_to_truth,mean_gate_eigenvalue_diamondnorm_to_truth,mean_gate_eigenvalue_nonunitary_diamondnorm_to_truth,mean_gate_diamond_distance_to_truth
0,0,0,0,41013.71576363503,0.002273422622213639,0.0015156150814757592,0.0069771033542395085,0.004937894532976495,-0.003850330725303386,0.008134373632380808,0.004513942584111835,0.015113464757287321
1,1,1,1,10159.60819993266,0.012009763384369099,0.008006508922912733,0.013472819255812422,0.009061448457784666,0.02118558506155739,0.027357167937432852,0.026142389771573016,0.05062657708636485
2,2,2,1,10159.60819993266,0.012009763384369099,0.008006508922912733,0.013472819255812422,0.009061448457784666,0.02118558506155739,0.027357167937432852,0.026142389771573016,0.05062657708636485
3,3,3,1,10159.60819993266,0.012009763384369099,0.008006508922912733,0.013472819255812422,0.009061448457784666,0.02118558506155739,0.027357167937432852,0.026142389771573016,0.05062657708636485
4,4,4,4,4876.174569182659,0.005757541540305194,0.003838361026870129,0.01928238691954486,0.012720482301651638,0.003077806248495886,0.019403123635512765,0.00895498123638732,0.038330750277218675
5,5,5,4,4876.174569182659,0.005757541540305194,0.003838361026870129,0.01928238691954486,0.012720482301651638,0.003077806248495886,0.019403123635512765,0.00895498123638732,0.038330750277218675
6,6,6,4,4876.174569182659,0.005757541540305194,0.003838361026870129,0.01928238691954486,0.012720482301651638,0.003077806248495886,0.019403123635512765,0.00895498123638732,0.038330750277218675
7,7,7,7,2618.6510459393867,0.0031389148906570408,0.002092609927104694,0.008860942813051498,0.005823033325652621,0.005319578563539609,0.00945230413254548,0.007242729627256528,0.018580953208089324
8,8,8,7,2618.6510459393867,0.0031389148906570408,0.002092609927104694,0.008860942813051498,0.005823033325652621,0.005319578563539609,0.00945230413254548,0.007242729627256528,0.018580953208089324
9,9,9,9,1532.5359563971278,0.000445988306843198,0.00029732553789546534,0.0027588501087182833,0.002254599326617925,0.0017387554737343033,0.004539978797757524,0.002026234629388564,0.007821399780535084
10,10,10,9,1532.5359563971278,0.000445988306843198,0.00029732553789546534,0.0027588501087182833,0.002254599326617925,0.0017387554737343033,0.004539978797757524,0.002026234629388564,0.007821399780535084
11,11,11,9,1532.5359563971278,0.000445988306843198,0.00029732553789546534,0.0027588501087182833,0.002254599326617925,0.0017387554737343033,0.004539978797757524,0.002026234629388564,0.007821399780535084
12,12,12,12,1083.6321599214693,0.00030988414301216793,0.00020658942867477864,0.003406126672389867,0.0022625082026696552,0.000797654445365413,0.0014612306483283628,0.0011499835008868808,0.003723028381448291
13,13,13,12,1083.6321599214693,0.00030988414301216793,0.00020658942867477864,0.003406126672389867,0.0022625082026696552,0.000797654445365413,0.0014612306483283628,0.0011499835008868808,0.003723028381448291
14,14,14,12,1083.6321599214693,0.00030988414301216793,0.00020658942867477864,0.003406126672389867,0.0022625082026696552,0.000797654445365413,0.0014612306483283628,0.0011499835008868808,0.003723028381448291
15,15,15,15,1027.7104807101546,0.00012505455218564387,8.336970145709591e-05,0.00308479700177844,0.0022945733418780296,0.00028791744915146467,0.0008536436192424004,0.0005084927011757556,0.0023371734621442193
16,16,16,15,1027.7104807101546,0.00012505455218564387,8.336970145709591e-05,0.00308479700177844,0.0022945733418780296,0.00028791744915146467,0.0008536436192424004,0.0005084927011757556,0.0023371734621442193
17,17,17,15,1027.7104807101546,0.00012505455218564387,8.336970145709591e-05,0.00308479700177844,0.0022945733418780296,0.00028791744915146467,0.0008536436192424004,0.0005084927011757556,0.0023371734621442193
18,18,18,18,1020.0314729314418,8.495911023068126e-05,5.663940682045417e-05,0.0029734746140177744,0.002185781876373147,0.00012105128842316432,0.000695640108467782,0.00032436236089047193,0.002162614039809012
19,19,19,18,1020.0314729314418,8.495911023068126e-05,5.663940682045417e-05,0.0029734746140177744,0.002185781876373147,0.00012105128842316432,0.000695640108467782,0.00032436236089047193,0.002162614039809012
20,20,20,20,1018.8725337189007,8.008869036155164e-05,5.339246024103443e-05,0.0029072648683521433,0.0021512395995826592,0.0001072737931951881,0.0006598004535427743,0.00027206058538698646,0.0021790782028334454
21,21,21,20,1018.8725337189007,8.008869036155164e-05,5.339246024103443e-05,0.0029072648683521433,0.0021512395995826592,0.0001072737931951881,0.0006598004535427743,0.00027206058538698646,0.0021790782028334454
22,22,22,20,1018.8725337189007,8.008869036155164e-05,5.339246024103443e-05,0.0029072648683521433,0.0021512395995826592,0.0001072737931951881,0.0006598004535427743,0.00027206058538698646,0.0021790782028334454
23,23,23,23,1017.9023515691542,7.972357831553811e-05,5.314905221035873e-05,0.0028430561646090205,0.0021047805605582098,8.682615889832324e-05,0.0006481776185877203,0.0002628181632032961,0.00217770869199158
24,24,24,23,1017.9023515691542,7.972357831553811e-05,5.314905221035873e-05,0.0028430561646090205,0.0021047805605582098,8.682615889832324e-05,0.0006481776185877203,0.0002628181632032961,0.00217770869199158
25,25,25,25,1017.6794889561479,8.190923429202135e-05,5.46061561946809e-05,0.0028457527880789897,0.0021209090867048744,7.664380573491753e-05,0.0006474521349941551,0.00026007818329993465,0.0021862901276900283
26,26,26,25,1017.6794889561479,8.190923429202135e-05,5.46061561946809e-05,0.0028457527880789897,0.0021209090867048744,7.664380573491753e-05,0.0006474521349941551,0.00026007818329993465,0.0021862901276900283
27,27,27,27,1017.5500146762904,8.551432961859118e-05,5.700955307906079e-05,0.0028230183095129028,0.0021073418050977497,7.818911993364569e-05,0.0006510131103070036,0.0002613708004102627,0.002203955121287777
28,28,28,27,1017.5500146762904,8.551432961859118e-05,5.700955307906079e-05,0.0028230183095129028,0.0021073418050977497,7.818911993364569e-05,0.0006510131103070036,0.0002613708004102627,0.002203955121287777
29,29,29,27,1017.5500146762904,8.551432961859118e-05,5.700955307906079e-05,0.0028230183095129028,0.0021073418050977497,7.818911993364569e-05,0.0006510131103070036,0.0002613708004102627,0.002203955121287777
30,30,30,30,1017.3780956435672,8.62260959604566e-05,5.748406397363774e-05,0.0028302124702425935,0.002111519939382636,7.106236420071493e-05,0.0006475595364836465,0.0002596081574074566,0.0022009327010803137
31,31,31,30,1017.3780956435672,8.62260959604566e-05,5.748406397363774e-05,0.0028302124702425935,0.002111519939382636,7.106236420071493e-05,0.0006475595364836465,0.0002596081574074566,0.0022009327010803137
32,32,32,32,1017.3779826008504,8.565381716246767e-05,5.710254477497845e-05,0.0028329312723549597,0.0021170181880031487,6.880168608072029e-05,0.000646851951157645,0.0002568243462430786,0.0022003452732263814
33,33,33,33,1017.3012562264257,8.624875616458638e-05,5.7499170776390926e-05,0.0028294977872729186,0.00211306147897399,6.746988340256e-05,0.000646488420765137,0.00025641444914496075,0.002202775402253385
34,34,34,33,1017.3012562264257,8.624875616458638e-05,5.7499170776390926e-05,0.0028294977872729186,0.00211306147897399,6.746988340256e-05,0.000646488420765137,0.00025641444914496075,0.002202775402253385
35,35,35,35,1017.3002547475028,8.66181551606171e-05,5.774543677374473e-05,0.002831813171456369,0.0021149054249065035,6.688556282068159e-05,0.000646058338608306,0.00025590625310414894,0.0022030623746256417
36,36,36,36,1017.2758859704009,8.70775189312778e-05,5.805167928751853e-05,0.0028328698497901692,0.0021157186277860705,6.635813235814775e-05,0.0006458428412283647,0.00025559037358471176,0.0022053510201780783
37,37,37,36,1017.2758859704009,8.70775189312778e-05,5.805167928751853e-05,0.0028328698497901692,0.0021157186277860705,6.635813235814775e-05,0.0006458428412283647,0.00025559037358471176,0.0022053510201780783
38,38,38,38,1017.2670404524833,8.706986801265693e-05,5.804657867510461e-05,0.002833834190142853,0.0021169694357086643,6.594205182514079e-05,0.0006457752884801213,0.0002553067314259097,0.0022042277113027567
39,39,39,38,1017.2670404524833,8.706986801265693e-05,5.804657867510461e-05,0.002833834190142853,0.0021169694357086643,6.594205182514079e-05,0.0006457752884801213,0.0002553067314259097,0.0022042277113027567
40,40,40,40,1017.2611223181552,8.724187754646784e-05,5.816125169764522e-05,0.0028333740060689744,0.0021162520307537805,6.572978465169826e-05,0.0006457046400307324,0.00025479102906515727,0.002205772112078751
41,41,41,40,1017.2611223181552,8.724187754646784e-05,5.816125169764522e-05,0.0028333740060689744,0.0021162520307537805,6.572978465169826e-05,0.0006457046400307324,0.00025479102906515727,0.002205772112078751
42,42,42,42,1017.2528257236766,8.802439009206187e-05,5.8682926728041235e-05,0.0028343397802326567,0.002117116182110119,6.597706883797183e-05,0.00064561737467098,0.00025525020778145724,0.002206536408874237
43,43,43,42,1017.2528257236766,8.802439009206187e-05,5.8682926728041235e-05,0.0028343397802326567,0.002117116182110119,6.597706883797183e-05,0.00064561737467098,0.00025525020778145724,0.002206536408874237
44,44,44,44,1017.2472132085268,8.807424388379559e-05,5.8716162589197055e-05,0.0028341056895661563,0.002116725113453079,6.567551801178739e-05,0.0006455611366121507,0.00025479611062524665,0.0022077839816232103
45,45,45,44,1017.2472132085268,8.807424388379559e-05,5.8716162589197055e-05,0.0028341056895661563,0.002116725113453079,6.567551801178739e-05,0.0006455611366121507,0.00025479611062524665,0.0022077839816232103
