sequence_index,iteration,nf,incumbent_index,incumbent_full_objective,mean_gate_entanglement_infidelity_to_truth,mean_gate_average_infidelity_to_truth,mean_spam_vector_l2_error_to_truth,mean_spam_tracedist_to_truth,mean_gate_eigenvalue_nonunitarity_excess_to_truth,mean_gate_eigenvalue_diamondnorm_to_truth,mean_gate_eigenvalue_nonunitary_diamondnorm_to_truth,mean_gate_diamond_distance_to_truth
0,0,0,0,1514716.9892170061,0.002273422622213639,0.0015156150814757592,0.0069771033542395085,0.004937894532976495,-0.003850330725303386,0.008134373632380808,0.004513942584111835,0.015113464757287321
1,1,1,1,807491.2066604175,0.04131032002129195,0.02754021334752797,0.07982614313658741,0.06595400958174348,0.05967681688322342,0.07829466400451615,0.06896540024871173,0.14432903366949296
2,2,2,1,807491.2066604175,0.04131032002129195,0.02754021334752797,0.07982614313658741,0.06595400958174348,0.05967681688322342,0.07829466400451615,0.06896540024871173,0.14432903366949296
3,3,3,3,532884.0875587636,0.02751704199764088,0.01834469466509392,0.052255927458565415,0.032621205293383984,0.027439240777096113,0.06182849220511851,0.04330931370104011,0.11247612964647066
4,4,4,3,532884.0875587636,0.02751704199764088,0.01834469466509392,0.052255927458565415,0.032621205293383984,0.027439240777096113,0.06182849220511851,0.04330931370104011,0.11247612964647066
5,5,5,5,462178.0117987364,0.01621406379788526,0.01080937586525684,0.062011702079635855,0.046061397405285615,0.020147990376826595,0.043854421977435915,0.027857011840317553,0.08671077046797424
6,6,6,5,462178.0117987364,0.01621406379788526,0.01080937586525684,0.062011702079635855,0.046061397405285615,0.020147990376826595,0.043854421977435915,0.027857011840317553,0.08671077046797424
7,7,7,5,462178.0117987364,0.01621406379788526,0.01080937586525684,0.062011702079635855,0.046061397405285615,0.020147990376826595,0.043854421977435915,0.027857011840317553,0.08671077046797424
8,8,8,8,395964.56696057855,0.015771844378369204,0.010514562918912803,0.04683290529364085,0.026048955501184662,0.020613420410182548,0.029630436625382915,0.027766661961779092,0.09388140715858742
9,9,9,8,395964.56696057855,0.015771844378369204,0.010514562918912803,0.04683290529364085,0.026048955501184662,0.020613420410182548,0.029630436625382915,0.027766661961779092,0.09388140715858742
10,10,10,10,274197.1606484072,0.009131242826599384,0.006087495217732923,0.01926634761395615,0.01272197395379231,0.014023688835287526,0.01812385460838589,0.016647817613722596,0.04610672670082891
