seed,method,mean_gate_entanglement_infidelity_to_truth,mean_gate_diamond_distance_to_truth,mean_spam_vector_l2_error_to_truth,accounted_revealed_shots,max_shots_per_circuit,objective,flag
101,fixed_FPR,0.00020315649191274265,0.001992305473511025,0.001881319602645297,405500,500,,7.2229526473940036
101,no_FPR,0.00010217906191453685,0.001660651115639633,0.003011855706212789,404698,211,,0.15983870040185602
101,adaptive_D_nofpr,3.0233575627508502e-05,0.0013476958908156971,0.0023605268324186426,405500,11128,,1.7164693298697953
101,adaptive_D,0.00019488052576649428,0.0018241058387968652,0.004294113788791813,405500,4237,,0.8634130040001641
101,LM,0.00010211612496657807,0.001660471983124308,0.003011808342820411,404698,211,chi2_ladder_then_mle,LM
101,LM_MLE,0.00010344832025740991,0.0016680835814180985,0.0030186748610629174,404698,211,pure_mle,LM_MLE
101,LM_FPR,0.00011676056832146675,0.002017872938225976,0.003354724227944935,405314,917,pure_mle,LM_FPR
102,fixed_FPR,0.00023996831006409258,0.0020502735225503667,0.0021510345567250615,421000,500,,0.3135022475286362
102,no_FPR,0.00025015649031973064,0.0021629306414478727,0.003104763974939808,420042,219,,3.176602032790366
102,adaptive_D_nofpr,5.803744713753223e-05,0.0016257291592162047,0.004508180677459457,421000,9889,,9.48727252390362
102,adaptive_D,0.0003875561207339062,0.0020227350925549137,0.005867051225975385,421000,4092,,33.90850936490705
102,LM,0.00017023022429513146,0.0017642676894404762,0.002922269573367366,420042,219,chi2_ladder_then_mle,LM
102,LM_MLE,0.0002507472299715374,0.0021784972206032533,0.0031004074310498654,420042,219,pure_mle,LM_MLE
102,LM_FPR,7.337312258060003e-05,0.0014471067265606349,0.0051808109977911155,420784,952,pure_mle,LM_FPR
103,fixed_FPR,0.00020551312094854723,0.0016424981022838195,0.0053409861508523886,435500,500,,1.2512675309664925
103,no_FPR,4.269188663130752e-05,0.0012018771235566038,0.003397652809177322,435386,227,,0.5644437814336746
103,adaptive_D_nofpr,4.188706367855288e-05,0.0009922258551561492,0.0017161123499790092,435500,6694,,0.40296193061025254
103,adaptive_D,0.0002393915875392172,0.0019893750926719645,0.0037933723549724006,435500,4260,,0.8055415577565826
103,LM,4.232823338157221e-05,0.0012029283779885172,0.0033940817580814906,435386,227,chi2_ladder_then_mle,LM
103,LM_MLE,4.207829546948316e-05,0.001206715988817292,0.0033932749874096345,435386,227,pure_mle,LM_MLE
103,LM_FPR,0.00010431694023924076,0.0020213012178469892,0.003997516838445393,435370,985,pure_mle,LM_FPR
