sequence_index,iteration,nf,incumbent_index,incumbent_full_objective,mean_gate_entanglement_infidelity_to_truth,mean_gate_average_infidelity_to_truth,mean_spam_vector_l2_error_to_truth,mean_spam_tracedist_to_truth,mean_gate_eigenvalue_nonunitarity_excess_to_truth,mean_gate_eigenvalue_diamondnorm_to_truth,mean_gate_eigenvalue_nonunitary_diamondnorm_to_truth,mean_gate_diamond_distance_to_truth
0,0,0,0,59364.33611447441,0.002273422622213639,0.0015156150814757592,0.0069771033542395085,0.004937894532976495,-0.003850330725303386,0.008134373632380808,0.004513942584111835,0.015113464757287321
1,1,1,1,11210.530318088675,0.008274042911667029,0.005516028607778019,0.011417976126032394,0.008611900658020321,0.015345471256465792,0.020606001458286588,0.01902988074899528,0.03900973300174354
2,2,2,1,11210.530318088675,0.008274042911667029,0.005516028607778019,0.011417976126032394,0.008611900658020321,0.015345471256465792,0.020606001458286588,0.01902988074899528,0.03900973300174354
3,3,3,1,11210.530318088675,0.008274042911667029,0.005516028607778019,0.011417976126032394,0.008611900658020321,0.015345471256465792,0.020606001458286588,0.01902988074899528,0.03900973300174354
4,4,4,4,5345.472659079558,0.004951790000955997,0.0033011933339706645,0.022917405420871718,0.017372624719067937,0.0051516217956441915,0.014943730622595302,0.008382638022424699,0.03177392963320174
5,5,5,4,5345.472659079558,0.004951790000955997,0.0033011933339706645,0.022917405420871718,0.017372624719067937,0.0051516217956441915,0.014943730622595302,0.008382638022424699,0.03177392963320174
6,6,6,6,5808.550532712431,0.003969844282867535,0.0026465628552450235,0.003275852958116865,0.002756791975313271,0.007254133525528977,0.00955016579456927,0.008319535913500382,0.01933737846032259
7,7,7,6,5808.550532712431,0.003969844282867535,0.0026465628552450235,0.003275852958116865,0.002756791975313271,0.007254133525528977,0.00955016579456927,0.008319535913500382,0.01933737846032259
8,8,8,8,5668.820200156562,0.004389168297896262,0.0029261121985975085,0.008697202015004594,0.007085366526092696,0.007494065079982987,0.011057956537777358,0.009637724567869613,0.021959893664573203
9,9,9,9,1705.3452937945744,0.0009949836808255397,0.0006633224538836932,0.002477464890110972,0.0018558706134029726,0.002070142574987284,0.0034762093610512797,0.00299113879700022,0.006793426778398764
10,10,10,9,1705.3452937945744,0.0009949836808255397,0.0006633224538836932,0.002477464890110972,0.0018558706134029726,0.002070142574987284,0.0034762093610512797,0.00299113879700022,0.006793426778398764
11,11,11,11,2021.2427101154408,0.0007552165542904776,0.0005034777028603185,0.003586570770841339,0.0029996351374807057,0.001852357654888552,0.0025384441511874713,0.0024380458290540197,0.005722408932816532
12,12,12,12,1090.3280988402616,0.0002501087434426674,0.00016673916229511165,0.003386084274819432,0.0026531347855773897,0.00039074692525715993,0.0006216207739209853,0.0005489138551307698,0.00226279688999966
13,13,13,12,1090.3280988402616,0.0002501087434426674,0.00016673916229511165,0.003386084274819432,0.0026531347855773897,0.00039074692525715993,0.0006216207739209853,0.0005489138551307698,0.00226279688999966
14,14,14,14,1081.1648310785413,0.0003060350925862543,0.00020402339505750283,0.003133946980962707,0.0026272728182094494,0.00037912339857801985,0.000542483622993345,0.0005221612267117745,0.0021606890504519455
15,15,15,14,1081.1648310785413,0.0003060350925862543,0.00020402339505750283,0.003133946980962707,0.0026272728182094494,0.00037912339857801985,0.000542483622993345,0.0005221612267117745,0.0021606890504519455
16,16,16,16,1100.6400059260188,0.0002970785803043663,0.00019805238686957752,0.0034046912310867344,0.003049880781763003,0.0002608864084055057,0.0004473764978092229,0.0004250241416036693,0.002114680243987815
