phase,nf,x_index,incumbent_index,active_objective,full_objective,incumbent_active_objective,incumbent_full_objective,active_residuals,active_circuits,new_residuals_revealed,new_circuits_revealed,union_residuals_revealed,union_circuits_revealed,cumulative_eval_residuals,cumulative_eval_circuits,cumulative_shots_revealed,cumulative_eval_shots,shots_per_circuit,fpr_enabled,fpr_use_union_mask,fpr_selected_residuals,fpr_selected_circuits,fpr_new_residuals,fpr_new_circuits,fpr_union_residuals,fpr_union_circuits,delta,ng,rho,rho_active,rho_full,rho_uses_full_objective,mdec,step_norm,accepted
initial,0,0,0,83446.30394287655,83446.30394287655,83446.30394287655,83446.30394287655,3836,1918,3836,1918,3836,1918,3836,1918,420042.0,420042.0,219.0,False,True,3836,1918,3836,1918,3836,1918,0.1,,,,,False,,,True
trial,1,1,1,14826.592644443102,14826.592644443102,14826.592644443102,14826.592644443102,3836,1918,0,0,3836,1918,7672,3836,420042.0,840084.0,219.0,False,True,3836,1918,0,0,3836,1918,0.1,268476.3634035707,44.498253250584824,44.498253250584824,44.498253250584824,False,-1542.0765150490847,0.09998574154140215,True
trial,2,2,1,37771.3065173838,37771.3065173838,14826.592644443102,14826.592644443102,3836,1918,0,0,3836,1918,11508,5754,420042.0,1260126.0,219.0,False,True,3836,1918,0,0,3836,1918,0.2,150242.34632870954,-1.8266224186710318,-1.8266224186710318,-1.8266224186710318,False,-12561.279024284742,0.19846601208406162,False
trial,3,3,1,25728.062952988123,25728.062952988123,14826.592644443102,14826.592644443102,3836,1918,0,0,3836,1918,15344,7672,420042.0,1680168.0,219.0,False,True,3836,1918,0,0,3836,1918,0.1,150242.34632870954,-0.8688109854228544,-0.8688109854228544,-0.8688109854228544,False,-12547.574203656302,0.1,False
trial,4,4,4,6016.076101774741,6016.076101774741,6016.076101774741,6016.076101774741,3836,1918,0,0,3836,1918,19180,9590,420042.0,2100210.0,219.0,False,True,3836,1918,0,0,3836,1918,0.05,150242.34632870954,0.7104568777623174,0.7104568777623174,0.7104568777623174,False,-12401.198184495457,0.05,True
trial,5,5,4,26596.14310757959,26596.14310757959,6016.076101774741,6016.076101774741,3836,1918,0,0,3836,1918,23016,11508,420042.0,2520252.0,219.0,False,True,3836,1918,0,0,3836,1918,0.1,163508.55430713756,-4.431612936298218,-4.431612936298218,-4.431612936298218,False,-4643.922495405394,0.1,False
trial,6,6,4,10546.837572604774,10546.837572604774,6016.076101774741,6016.076101774741,3836,1918,0,0,3836,1918,26852,13426,420042.0,2940294.0,219.0,False,True,3836,1918,0,0,3836,1918,0.05,163508.55430713756,-0.9787750323109445,-0.9787750323109445,-0.9787750323109445,False,-4629.012103151675,0.05,False
trial,7,7,7,2772.506441553409,2772.506441553409,2772.506441553409,2772.506441553409,3836,1918,0,0,3836,1918,30688,15344,420042.0,3360336.0,219.0,False,True,3836,1918,0,0,3836,1918,0.025,163508.55430713756,0.7425454954216931,0.7425454954216931,0.7425454954216931,False,-4368.17633427202,0.025,True
trial,8,8,7,2952.4483540768597,2952.4483540768597,2772.506441553409,2772.506441553409,3836,1918,0,0,3836,1918,34524,17262,420042.0,3780378.0,219.0,False,True,3836,1918,0,0,3836,1918,0.05,98966.53385875151,-0.09924305403488948,-0.09924305403488948,-0.09924305403488948,False,-1813.1436428809534,0.04985134985296358,False
trial,9,9,9,1698.8485849843703,1698.8485849843703,1698.8485849843703,1698.8485849843703,3836,1918,0,0,3836,1918,38360,19180,420042.0,4200420.0,219.0,False,True,3836,1918,0,0,3836,1918,0.025,98966.53385875151,0.592433952417878,0.592433952417878,0.592433952417878,False,-1812.282790659043,0.025,True
