iteration,nf,previous_rho,trust_region_delta,adaptive_schedule,requested_budget,scheduled_budget,shots_added,active_circuits,revealed_union_circuits,accounted_revealed_shots,total_shot_budget,remaining_shot_budget,shot_budget_exhausted,physical_precomputed_shots
0,0,,0.1,lazy_delta_inverse_square,0,0,0,168,168,58800,435500,376700,False,671300
1,1,29.94465373794409,0.2,lazy_delta_inverse_square,0,0,0,353,353,123550,435500,311950,False,671300
2,2,-0.30189865980296704,0.1,lazy_delta_inverse_square,0,0,0,353,353,123550,435500,311950,False,671300
3,3,0.7379963855119898,0.2,lazy_delta_inverse_square,0,0,0,423,423,148050,435500,287450,False,671300
4,4,-0.05205532906495561,0.1,lazy_delta_inverse_square,0,0,0,423,423,148050,435500,287450,False,671300
5,5,0.20119753531145193,0.2,lazy_delta_inverse_square,10000,10000,10000,517,517,190950,435500,244550,False,681300
6,6,-1.8467484956196343,0.1,lazy_delta_inverse_square,0,0,0,517,517,190950,435500,244550,False,681300
7,7,-0.7278790298543142,0.05,lazy_delta_inverse_square,0,0,0,517,517,190950,435500,244550,False,681300
8,8,0.20124629225026486,0.1,lazy_delta_inverse_square,0,0,0,607,607,222450,435500,213050,False,681300
9,9,-0.6499363895053797,0.05,lazy_delta_inverse_square,0,0,0,607,607,222450,435500,213050,False,681300
10,10,0.29261681208717605,0.1,lazy_delta_inverse_square,10000,10000,10000,666,666,253100,435500,182400,False,691300
11,11,-1.3481113074841051,0.05,lazy_delta_inverse_square,0,0,0,666,666,253100,435500,182400,False,691300
12,12,0.05122436073975405,0.1,lazy_delta_inverse_square,0,0,0,677,677,256950,435500,178550,False,691300
13,13,-1.243913774408744,0.05,lazy_delta_inverse_square,0,0,0,677,677,256950,435500,178550,False,691300
14,14,-0.18862850841361217,0.025,lazy_delta_inverse_square,0,0,0,677,677,256950,435500,178550,False,691300
15,15,0.4384247947495698,0.05,lazy_delta_inverse_square,10000,10000,9865,718,718,281165,435500,154335,False,701165
16,16,-0.43713164357219725,0.025,lazy_delta_inverse_square,0,0,0,718,718,281165,435500,154335,False,701165
17,17,0.19076741741621916,0.05,lazy_delta_inverse_square,0,0,0,749,749,292015,435500,143485,False,701165
18,18,-0.8179172560843905,0.025,lazy_delta_inverse_square,0,0,0,749,749,292015,435500,143485,False,701165
19,19,0.4275100458015332,0.05,lazy_delta_inverse_square,0,0,0,778,778,302165,435500,133335,False,701165
20,20,-0.31401402179251997,0.025,lazy_delta_inverse_square,10000,10000,10000,778,778,312165,435500,123335,False,711165
21,21,0.5549698825758609,0.05,lazy_delta_inverse_square,0,0,0,799,799,319515,435500,115985,False,711165
22,22,0.04231828258250043,0.025,lazy_delta_inverse_square,0,0,0,827,827,329315,435500,106185,False,711165
23,23,0.30648523459791865,0.05,lazy_delta_inverse_square,0,0,0,864,864,342265,435500,93235,False,711165
24,24,-0.8609769094820687,0.025,lazy_delta_inverse_square,0,0,0,864,864,342265,435500,93235,False,711165
25,25,0.09135769639752081,0.05,lazy_delta_inverse_square,10000,10000,10000,875,875,356115,435500,79385,False,721165
26,26,-0.49449039790442667,0.025,lazy_delta_inverse_square,0,0,0,875,875,356115,435500,79385,False,721165
27,27,0.001407182505787812,0.0125,lazy_delta_inverse_square,0,0,0,881,881,358215,435500,77285,False,721165
28,28,0.8312185779735337,0.025,lazy_delta_inverse_square,0,0,0,891,891,361715,435500,73785,False,721165
29,29,0.8983626237655331,0.05,lazy_delta_inverse_square,0,0,0,891,891,361715,435500,73785,False,721165
30,30,0.10275881015586216,0.1,lazy_delta_inverse_square,10000,10000,10000,897,897,373815,435500,61685,False,731165
31,31,-0.05452221596193131,0.05,lazy_delta_inverse_square,0,0,0,897,897,373815,435500,61685,False,731165
32,32,-0.04727291815823002,0.025,lazy_delta_inverse_square,0,0,0,897,897,373815,435500,61685,False,731165
33,33,0.26258256634539406,0.05,lazy_delta_inverse_square,0,0,0,903,903,375915,435500,59585,False,731165
34,34,0.14641445236360245,0.1,lazy_delta_inverse_square,0,0,0,918,918,381165,435500,54335,False,731165
35,35,-1.6115243598415736,0.05,lazy_delta_inverse_square,10000,10000,10000,918,918,391165,435500,44335,False,741165
36,36,0.4824196806688242,0.1,lazy_delta_inverse_square,0,0,0,923,923,392915,435500,42585,False,741165
37,37,-0.4301331569403859,0.05,lazy_delta_inverse_square,0,0,0,923,923,392915,435500,42585,False,741165
38,38,0.3562533491859419,0.1,lazy_delta_inverse_square,0,0,0,923,923,392915,435500,42585,False,741165
39,39,-3.0327847007335578,0.05,lazy_delta_inverse_square,0,0,0,923,923,392915,435500,42585,False,741165
40,40,-0.6471057294761067,0.025,lazy_delta_inverse_square,10000,10000,10000,923,923,402915,435500,32585,False,751165
41,41,0.2638746483548253,0.05,lazy_delta_inverse_square,0,0,0,923,923,402915,435500,32585,False,751165
42,42,0.9605750358995505,0.025,lazy_delta_inverse_square,0,0,0,923,923,402915,435500,32585,False,751165
43,43,-10.984770609516284,0.0125,lazy_delta_inverse_square,0,0,0,923,923,402915,435500,32585,False,751165
44,44,-1.1813154610669503,0.00625,lazy_delta_inverse_square,0,0,0,923,923,402915,435500,32585,False,751165
45,45,0.5909132753746523,0.0125,lazy_delta_inverse_square,10000,10000,10000,923,923,412915,435500,22585,False,761165
46,46,-6.275842606044154,0.00625,lazy_delta_inverse_square,0,0,0,923,923,412915,435500,22585,False,761165
47,47,-0.06318462997952659,0.003125,lazy_delta_inverse_square,0,0,0,923,923,412915,435500,22585,False,761165
48,48,0.9591447180724965,0.00625,lazy_delta_inverse_square,0,0,0,923,923,412915,435500,22585,False,761165
49,49,-5.524605057771566,0.003125,lazy_delta_inverse_square,0,0,0,923,923,412915,435500,22585,False,761165
50,50,-1.0780954425253513,0.0015625,lazy_delta_inverse_square,10000,10000,10000,923,923,422915,435500,12585,False,771165
51,51,0.7001419730536839,0.003125,lazy_delta_inverse_square,0,0,0,929,929,425015,435500,10485,False,771165
52,52,-5.376935263916685,0.0015625,lazy_delta_inverse_square,0,0,0,929,929,425015,435500,10485,False,771165
53,53,0.4683620327108359,0.003125,lazy_delta_inverse_square,0,0,0,929,929,425015,435500,10485,False,771165
54,54,-6.173500423392638,0.0015625,lazy_delta_inverse_square,0,0,0,929,929,425015,435500,10485,False,771165
55,55,0.15664769786142613,0.003125,lazy_delta_inverse_square,10000,10000,10000,929,929,435015,435500,485,False,781165
56,56,-2.8524447258492085,0.0015625,lazy_delta_inverse_square,0,0,0,929,929,435015,435500,485,False,781165
57,57,0.5581223807094601,0.003125,lazy_delta_inverse_square,0,0,0,929,929,435015,435500,485,False,781165
58,58,-7.556647128701655,0.0015625,lazy_delta_inverse_square,0,0,0,929,929,435015,435500,485,False,781165
59,59,0.13262795297081037,0.003125,lazy_delta_inverse_square,0,0,0,929,929,435015,435500,485,False,781165
60,60,-7.812326738526548,0.0015625,lazy_delta_inverse_square,10000,485,485,929,929,435500,435500,0,True,781650
61,61,0.02728820707823781,0.00078125,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
62,62,0.8869518676405596,0.0015625,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
63,63,-4.921912555767546,0.00078125,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
64,64,0.08374079125847331,0.0015625,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
65,65,-3.897068377295442,0.00078125,lazy_delta_inverse_square,10000,0,0,929,929,435500,435500,0,True,781650
66,66,-0.3118332455657834,0.000390625,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
67,67,0.6756080821653917,0.00078125,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
68,68,-2.0384044304138365,0.000390625,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
69,69,0.17465434995755685,0.00078125,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
70,70,-2.2649076329650346,0.000390625,lazy_delta_inverse_square,10000,0,0,929,929,435500,435500,0,True,781650
71,71,0.11120531478251028,0.00078125,lazy_delta_inverse_square,0,0,0,929,929,435500,435500,0,True,781650
