phase,nf,x_index,incumbent_index,active_objective,full_objective,incumbent_active_objective,incumbent_full_objective,active_residuals,active_circuits,new_residuals_revealed,new_circuits_revealed,union_residuals_revealed,union_circuits_revealed,cumulative_eval_residuals,cumulative_eval_circuits,cumulative_shots_revealed,cumulative_eval_shots,shots_per_circuit,fpr_enabled,fpr_use_union_mask,fpr_selected_residuals,fpr_selected_circuits,fpr_new_residuals,fpr_new_circuits,fpr_union_residuals,fpr_union_circuits,delta,ng,rho,rho_active,rho_full,rho_uses_full_objective,mdec,step_norm,accepted
initial,0,0,0,8543.478690406697,133291.99736959898,8543.478690406697,133291.99736959898,336,168,336,168,336,168,336,168,671300.0,671300.0,350.0,True,True,336,168,336,168,336,168,0.1,,,,,False,,,True
trial,1,1,1,5378.814453389602,70466.42132194391,5378.814453389602,70466.42132194391,336,168,0,0,336,168,672,336,671300.0,671300.0,350.0,True,True,336,168,336,168,336,168,0.1,11265.547551797637,29.94465373794409,29.94465373794409,594.4675263266303,False,-105.68378130908289,0.1,True
trial,2,2,1,17079.82158179077,84433.04019861888,14036.502920473424,70466.42132194391,706,353,370,185,706,353,1378,689,671300.0,671300.0,350.0,True,True,682,341,370,185,706,353,0.2,75918.44613275742,-0.30189865980296704,-0.30189865980296704,-1.3854952405877266,False,-10080.596791332415,0.2,False
trial,3,3,3,7067.5649990558095,41198.45129892978,7067.5649990558095,41198.45129892978,706,353,0,0,706,353,2084,1042,671300.0,671300.0,350.0,True,True,682,341,370,185,706,353,0.1,75918.44613275742,0.7379963855119898,0.7379963855119898,3.0994186390835172,False,-9443.051562620958,0.1,True
trial,4,4,3,9047.991993137935,37607.59845434508,8791.602752488896,41198.45129892978,846,423,140,70,846,423,2930,1465,671300.0,671300.0,350.0,True,True,478,239,140,70,846,423,0.2,197384.89073002126,-0.05205532906495561,-0.05205532906495561,0.7290595579420566,False,-4925.321677039295,0.2,False
trial,5,5,5,7807.106601950647,34762.931459076106,7807.106601950647,34762.931459076106,846,423,0,0,846,423,3776,1888,671300.0,671300.0,350.0,True,True,478,239,140,70,846,423,0.1,197384.89073002126,0.20119753531145193,0.20119753531145193,1.3152014149761817,False,-4893.181961768359,0.1,True
trial,6,6,5,27370.57300409276,89405.20981040473,12069.605471823696,36441.304544534,1034,517,188,94,1034,517,4810,2405,681300.0,681300.0,355.21376433785196,True,True,680,340,188,94,1034,517,0.2,307574.30286869226,-1.8467484956196343,-1.8467484956196343,-6.392472382260044,False,-8285.355352156479,0.2,False
trial,7,7,5,17882.89642413061,56698.375095725845,12069.605471823696,36441.304544534,1034,517,0,0,1034,517,5844,2922,681300.0,681300.0,355.21376433785196,True,True,680,340,188,94,1034,517,0.1,307574.30286869226,-0.7278790298543142,-0.7278790298543142,-2.536376895885576,False,-7986.6168880706055,0.1,False
trial,8,8,8,10702.290958411742,33379.25510509661,10702.290958411742,33379.25510509661,1034,517,0,0,1034,517,6878,3439,681300.0,681300.0,355.21376433785196,True,True,680,340,188,94,1034,517,0.05,307574.30286869226,0.20124629225026486,0.20124629225026486,0.4506835042919766,False,-6794.234557681168,0.05,True
trial,9,9,8,18910.602286267167,53958.11203613615,12818.770099002157,33379.25510509661,1214,607,180,90,1214,607,8092,4046,681300.0,681300.0,355.21376433785196,True,True,682,341,180,90,1214,607,0.1,136694.36522212983,-0.6499363895053797,-0.6499363895053797,-2.195554237667275,False,-9372.966778950584,0.1,False
trial,10,10,10,10158.310652633118,28085.115630694,10158.310652633118,28085.115630694,1214,607,0,0,1214,607,9306,4653,681300.0,681300.0,355.21376433785196,True,True,682,341,180,90,1214,607,0.05,136694.36522212983,0.29261681208717605,0.29261681208717605,0.5822882276438509,False,-9091.956909080256,0.05,True
trial,11,11,10,24745.897160053803,54806.63228401485,12864.010979781666,29312.407204926665,1332,666,118,59,1332,666,10638,5319,691300.0,691300.0,360.42752867570385,True,True,686,343,118,59,1332,666,0.1,194539.13173447526,-1.3481113074841051,-1.3481113074841051,-2.8925586883442493,False,-8813.72785341186,0.1,False
trial,12,12,12,12429.514829887044,26179.557095461387,12429.514829887044,26179.557095461387,1332,666,0,0,1332,666,11970,5985,691300.0,691300.0,360.42752867570385,True,True,686,343,118,59,1332,666,0.05,194539.13173447526,0.05122436073975405,0.05122436073975405,0.3693433053198476,False,-8482.217125208921,0.05,True
trial,13,13,12,24244.350230316915,53024.14272614433,12453.405239000185,26179.557095461387,1354,677,22,11,1354,677,13324,6662,691300.0,691300.0,360.42752867570385,True,True,688,344,22,11,1354,677,0.1,159955.23572510484,-1.243913774408744,-1.243913774408744,-2.8320333831506184,False,-9478.908614000347,0.1,False
trial,14,14,12,14170.095584483905,30359.906554707697,12453.405239000185,26179.557095461387,1354,677,0,0,1354,677,14678,7339,691300.0,691300.0,360.42752867570385,True,True,688,344,22,11,1354,677,0.05,159955.23572510484,-0.18862850841361217,-0.18862850841361217,-0.4593333242770078,False,-9100.906113934134,0.05,False
trial,15,15,15,8997.82653432366,19821.14327201194,8997.82653432366,19821.14327201194,1354,677,0,0,1354,677,16032,8016,691300.0,691300.0,360.42752867570385,True,True,688,344,22,11,1354,677,0.025,159955.23572510484,0.4384247947495698,0.4384247947495698,0.806720527507014,False,-7881.804920842507,0.025,True
trial,16,16,15,12602.125585756954,28121.00188692705,9607.213447570924,20272.392607464903,1436,718,82,41,1436,718,17468,8734,701165.0,701165.0,365.5709071949948,True,True,684,342,82,41,1436,718,0.05,195355.76002659253,-0.43713164357219725,-0.43713164357219725,-1.1455679885705474,False,-6851.28194726856,0.05,False
trial,17,17,17,8367.984644734312,18178.536402416205,8367.984644734312,18178.536402416205,1436,718,0,0,1436,718,18904,9452,701165.0,701165.0,365.5709071949948,True,True,684,342,82,41,1436,718,0.025,195355.76002659253,0.19076741741621916,0.19076741741621916,0.32232912902261684,False,-6496.019182001322,0.025,True
