iteration,nf,previous_rho,trust_region_delta,adaptive_schedule,requested_budget,scheduled_budget,shots_added,active_circuits,revealed_union_circuits,accounted_revealed_shots,total_shot_budget,remaining_shot_budget,shot_budget_exhausted,physical_precomputed_shots
0,0,,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,241668,963000,721332,False,241668
1,1,49.79043183323146,0.2,lazy_delta_inverse_square,0,0,0,1918,1918,241668,963000,721332,False,241668
2,2,-2.9580375690845315,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,241668,963000,721332,False,241668
3,3,-1.7884053343209747,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,241668,963000,721332,False,241668
4,4,0.284471232580609,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,241668,963000,721332,False,241668
5,5,-0.9984711050915827,0.05,lazy_delta_inverse_square,10000,10000,9727,1918,1918,251395,963000,711605,False,251395
6,6,0.3356064749758341,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,251395,963000,711605,False,251395
7,7,-0.44502427038567316,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,251395,963000,711605,False,251395
8,8,-0.08380322201011997,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,251395,963000,711605,False,251395
9,9,0.8289753297069368,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,251395,963000,711605,False,251395
10,10,-0.8337120070910947,0.025,lazy_delta_inverse_square,10000,10000,9730,1918,1918,261125,963000,701875,False,261125
11,11,0.11391110661211142,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,261125,963000,701875,False,261125
12,12,-0.6517136193851398,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,261125,963000,701875,False,261125
13,13,0.5221379652172413,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,261125,963000,701875,False,261125
14,14,0.2637799968499856,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,261125,963000,701875,False,261125
15,15,-0.243998174372834,0.0125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,271125,963000,691875,False,271125
16,16,0.7239098197264497,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,271125,963000,691875,False,271125
17,17,-6.527536388886216,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,271125,963000,691875,False,271125
18,18,0.22789673404007307,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,271125,963000,691875,False,271125
19,19,-5.820593386992655,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,271125,963000,691875,False,271125
20,20,-0.05272528814597207,0.00625,lazy_delta_inverse_square,10000,10000,9813,1918,1918,280938,963000,682062,False,280938
21,21,0.7597846622702931,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,280938,963000,682062,False,280938
