phase,nf,x_index,incumbent_index,active_objective,full_objective,incumbent_active_objective,incumbent_full_objective,active_residuals,active_circuits,new_residuals_revealed,new_circuits_revealed,union_residuals_revealed,union_circuits_revealed,cumulative_eval_residuals,cumulative_eval_circuits,cumulative_shots_revealed,cumulative_eval_shots,shots_per_circuit,fpr_enabled,fpr_use_union_mask,fpr_selected_residuals,fpr_selected_circuits,fpr_new_residuals,fpr_new_circuits,fpr_union_residuals,fpr_union_circuits,delta,ng,rho,rho_active,rho_full,rho_uses_full_objective,mdec,step_norm,accepted
initial,0,0,0,17254.268298960997,267337.22301036667,17254.268298960997,267337.22301036667,336,168,336,168,336,168,336,168,1342600.0,1342600.0,700.0,True,True,336,168,336,168,336,168,0.1,,,,,False,,,True
trial,1,1,1,10817.88027411783,144104.54669141961,10817.88027411783,144104.54669141961,336,168,0,0,336,168,672,336,1342600.0,1342600.0,700.0,True,True,336,168,336,168,336,168,0.1,22814.855475096727,31.413209082807562,31.413209082807562,601.4450670312654,False,-204.89431716054122,0.1,True
trial,2,2,1,34958.708070956556,176139.74721967508,28489.545526333233,144104.54669141961,706,353,370,185,706,353,1378,689,1342600.0,1342600.0,700.0,True,True,682,341,370,185,706,353,0.2,103644.89108732433,-0.3196751200908017,-0.3196751200908017,-1.5830266290826778,False,-20236.67823378247,0.2,False
trial,3,3,3,14995.789564836465,104092.092153939,14995.789564836465,104092.092153939,706,353,0,0,706,353,2084,1042,1342600.0,1342600.0,700.0,True,True,682,341,370,185,706,353,0.1,103644.89108732433,0.7286039777659091,0.7286039777659091,2.1604980569807353,False,-18520.014127389426,0.1,True
trial,4,4,3,30677.632132341518,121429.27161268078,22667.644143772064,104092.092153939,890,445,184,92,890,445,2974,1487,1342600.0,1342600.0,700.0,True,True,496,248,184,92,890,445,0.2,263464.38399822137,-0.5993908857807687,-0.5993908857807687,-1.297348681114727,False,-13363.546524628273,0.2,False
trial,5,5,5,21694.42666401119,89946.93508923659,21694.42666401119,89946.93508923659,890,445,0,0,890,445,3864,1932,1342600.0,1342600.0,700.0,True,True,496,248,184,92,890,445,0.1,263464.38399822137,0.07436490620705019,0.07436490620705019,1.080851197472374,False,-13087.053146429018,0.1,True
trial,6,6,5,52833.13168272734,145963.80587198038,32442.945605394016,92693.8527830079,1096,548,206,103,1096,548,4960,2480,1352600.0,1352600.0,705.2137643378519,True,True,670,335,206,103,1096,548,0.2,285077.7004151036,-1.0719276234577124,-1.0719276234577124,-2.800442036173609,False,-19021.980244860923,0.2,False
trial,7,7,5,35458.49157170393,95560.1354982664,32442.945605394016,92693.8527830079,1096,548,0,0,1096,548,6056,3028,1352600.0,1352600.0,705.2137643378519,True,True,670,335,206,103,1096,548,0.1,285077.7004151036,-0.16535713646242595,-0.16535713646242595,-0.15717230225705126,False,-18236.56378444325,0.1,False
trial,8,8,8,22941.34817066311,67110.1358587806,22941.34817066311,67110.1358587806,1096,548,0,0,1096,548,7152,3576,1352600.0,1352600.0,705.2137643378519,True,True,670,335,206,103,1096,548,0.05,285077.7004151036,0.5829370049369629,0.5829370049369629,1.5695987355189938,False,-16299.526971629433,0.05,True
trial,9,9,8,48133.97770818781,114651.33427985176,26888.4991634802,67110.1358587806,1252,626,156,78,1252,626,8404,4202,1352600.0,1352600.0,705.2137643378519,True,True,686,343,156,78,1252,626,0.1,169657.86803113527,-1.2469381225100387,-1.2469381225100387,-2.7902846516872146,False,-17038.117739107438,0.1,False
trial,10,10,10,23399.656420315405,59019.49145077147,23399.656420315405,59019.49145077147,1252,626,0,0,1252,626,9656,4828,1352600.0,1352600.0,705.2137643378519,True,True,686,343,156,78,1252,626,0.05,169657.86803113527,0.2248400240959568,0.2248400240959568,0.5214051814781572,False,-15517.00039702821,0.05,True
trial,11,11,10,41754.65916746126,92380.95241496465,26620.560179251494,60912.867135097855,1360,680,108,54,1360,680,11016,5508,1362600.0,1362600.0,710.4275286757039,True,True,686,343,108,54,1360,680,0.1,206621.6082071196,-0.9623867125350279,-0.9623867125350279,-2.0010750006231657,False,-15725.590130338514,0.1,False
trial,12,12,12,23909.457195572802,52951.90240661327,23909.457195572802,52951.90240661327,1360,680,0,0,1360,680,12376,6188,1362600.0,1362600.0,710.4275286757039,True,True,686,343,108,54,1360,680,0.05,206621.6082071196,0.1825143631478528,0.1825143631478528,0.5359406913751106,False,-14854.189757561478,0.05,True
trial,13,13,12,41135.34111739659,83721.56789012153,25795.230349516914,52951.90240661327,1488,744,128,64,1488,744,13864,6932,1362600.0,1362600.0,710.4275286757039,True,True,690,345,128,64,1488,744,0.1,238134.6133248012,-0.8710734920993345,-0.8710734920993345,-1.7472259730724609,False,-17610.581549105773,0.1,False
trial,14,14,14,23396.683122284536,46520.7491932641,23396.683122284536,46520.7491932641,1488,744,0,0,1488,744,15352,7676,1362600.0,1362600.0,710.4275286757039,True,True,690,345,128,64,1488,744,0.05,238134.6133248012,0.14731896757553034,0.14731896757553034,0.3950019582494818,False,-16281.319823957121,0.05,True
