sequence_index,iteration,nf,incumbent_index,incumbent_full_objective,mean_gate_entanglement_infidelity_to_truth,mean_gate_average_infidelity_to_truth,mean_spam_vector_l2_error_to_truth,mean_gate_diamond_distance_to_truth
0,0,0,0,166751.14111227234,0.00227342297002206,0.00151561531334804,0.00697710335423951,0.015113464757287046
1,1,1,1,26476.885669909447,0.007170946222809171,0.0047806308152061145,0.009183591614551193,0.0352438241265374
2,2,2,1,26476.885669909447,0.007170946222809171,0.0047806308152061145,0.009183591614551193,0.0352438241265374
3,3,3,1,26476.885669909447,0.007170946222809171,0.0047806308152061145,0.009183591614551193,0.0352438241265374
4,4,4,4,11282.623321769941,0.004295741765668604,0.0028638278437790685,0.022262568591950933,0.02608148449532783
5,5,5,4,11282.623321769941,0.004295741765668604,0.0028638278437790685,0.022262568591950933,0.02608148449532783
6,6,6,4,11282.623321769941,0.004295741765668604,0.0028638278437790685,0.022262568591950933,0.02608148449532783
7,7,7,7,4988.602568692939,0.0012036399545041765,0.0008024266363361177,0.006819037035307636,0.010564544432297124
8,8,8,8,3584.1713740940017,0.0017117918295388168,0.0011411945530258778,0.0017788354856400057,0.007408342620083172
9,9,9,9,3124.1936933475363,0.0019194478923498792,0.0012796319282332527,0.0027449078606048443,0.005984931052667968
10,10,10,10,2865.6893741076765,0.0013133855007745887,0.0008755903338497258,0.002675010734481813,0.007129537647267835
11,11,11,10,2865.6893741076765,0.0013133855007745887,0.0008755903338497258,0.002675010734481813,0.007129537647267835
12,12,12,12,1558.9169021162743,0.0006818867375172066,0.0004545911583448044,0.002263778357963909,0.0025665681593182057
13,13,13,12,1558.9169021162743,0.0006818867375172066,0.0004545911583448044,0.002263778357963909,0.0025665681593182057
14,14,14,12,1558.9169021162743,0.0006818867375172066,0.0004545911583448044,0.002263778357963909,0.0025665681593182057
15,15,15,15,1385.4864805151542,0.0004945450044712973,0.0003296966696475315,0.002436001539077527,0.0026502728834253636
16,16,16,15,1385.4864805151542,0.0004945450044712973,0.0003296966696475315,0.002436001539077527,0.0026502728834253636
17,17,17,15,1385.4864805151542,0.0004945450044712973,0.0003296966696475315,0.002436001539077527,0.0026502728834253636
18,18,18,18,1053.0426837952743,0.00022266755294358953,0.00014844503529572636,0.0023431660226159953,0.0015386553370369792
19,19,19,18,1053.0426837952743,0.00022266755294358953,0.00014844503529572636,0.0023431660226159953,0.0015386553370369792
20,20,20,18,1053.0426837952743,0.00022266755294358953,0.00014844503529572636,0.0023431660226159953,0.0015386553370369792
21,21,21,21,988.4312553583007,0.00012956727544638502,8.637818363092334e-05,0.002424869417672378,0.0013425802345055603
22,22,22,21,988.4312553583007,0.00012956727544638502,8.637818363092334e-05,0.002424869417672378,0.0013425802345055603
23,23,23,21,988.4312553583007,0.00012956727544638502,8.637818363092334e-05,0.002424869417672378,0.0013425802345055603
24,24,24,24,977.4812397209905,0.00010203537041300614,6.802358027533743e-05,0.0023933951036602653,0.0012919973144567072
25,25,25,24,977.4812397209905,0.00010203537041300614,6.802358027533743e-05,0.0023933951036602653,0.0012919973144567072
26,26,26,24,977.4812397209905,0.00010203537041300614,6.802358027533743e-05,0.0023933951036602653,0.0012919973144567072
27,27,27,27,976.8334868431804,9.723491863705691e-05,6.482327909137128e-05,0.0024091674124429407,0.0012918483196887362
28,28,28,27,976.8334868431804,9.723491863705691e-05,6.482327909137128e-05,0.0024091674124429407,0.0012918483196887362
29,29,29,29,976.5380071371133,9.505571535184387e-05,6.337047690122924e-05,0.002400247685575608,0.001283656552067729
30,30,30,29,976.5380071371133,9.505571535184387e-05,6.337047690122924e-05,0.002400247685575608,0.001283656552067729
31,31,31,29,976.5380071371133,9.505571535184387e-05,6.337047690122924e-05,0.002400247685575608,0.001283656552067729
32,32,32,32,976.2494655633193,9.325247977068352e-05,6.216831984712234e-05,0.002408006272558594,0.0012852260373252089
33,33,33,32,976.2494655633193,9.325247977068352e-05,6.216831984712234e-05,0.002408006272558594,0.0012852260373252089
34,34,34,32,976.2494655633193,9.325247977068352e-05,6.216831984712234e-05,0.002408006272558594,0.0012852260373252089
35,35,35,35,976.1902818444574,9.255139538433266e-05,6.170093025622178e-05,0.0024153562823342346,0.001283606617065864
36,36,36,35,976.1902818444574,9.255139538433266e-05,6.170093025622178e-05,0.0024153562823342346,0.001283606617065864
37,37,37,37,976.172391791894,9.203522944489784e-05,6.135681962993189e-05,0.002415341564131276,0.0012820620791238108
38,38,38,37,976.172391791894,9.203522944489784e-05,6.135681962993189e-05,0.002415341564131276,0.0012820620791238108
39,39,39,37,976.172391791894,9.203522944489784e-05,6.135681962993189e-05,0.002415341564131276,0.0012820620791238108
40,40,40,40,976.1643162846184,9.177443861280166e-05,6.11829590752011e-05,0.0024160166190150476,0.001281962586032673
41,41,41,40,976.1643162846184,9.177443861280166e-05,6.11829590752011e-05,0.0024160166190150476,0.001281962586032673
42,42,42,40,976.1643162846184,9.177443861280166e-05,6.11829590752011e-05,0.0024160166190150476,0.001281962586032673
43,43,43,43,976.1620453004944,9.172122204423316e-05,6.114748136282211e-05,0.0024158551009292872,0.001281701196700124
44,44,44,43,976.1620453004944,9.172122204423316e-05,6.114748136282211e-05,0.0024158551009292872,0.001281701196700124
45,45,45,43,976.1620453004944,9.172122204423316e-05,6.114748136282211e-05,0.0024158551009292872,0.001281701196700124
46,46,46,46,976.1620179384552,9.16727457990485e-05,6.111516386603233e-05,0.0024159190110353067,0.0012818364185873308
47,47,47,47,976.1614888779818,9.168098947745507e-05,6.112065965163671e-05,0.0024157432242215096,0.0012818032357855653
48,48,48,47,976.1614888779818,9.168098947745507e-05,6.112065965163671e-05,0.0024157432242215096,0.0012818032357855653
49,49,49,49,976.1613503137468,9.17247281759237e-05,6.114981878394914e-05,0.00241574884014082,0.0012817772211073117
50,50,50,49,976.1613503137468,9.17247281759237e-05,6.114981878394914e-05,0.00241574884014082,0.0012817772211073117
51,51,51,51,976.1612044801334,9.166430445339824e-05,6.110953630226548e-05,0.002415772370438922,0.0012817780059020834
52,52,52,51,976.1612044801334,9.166430445339824e-05,6.110953630226548e-05,0.002415772370438922,0.0012817780059020834
53,53,53,53,976.161196645036,9.17279560488371e-05,6.115197069922473e-05,0.0024156461687631007,0.0012817581358244197
54,54,54,54,976.1610545563085,9.16984072118765e-05,6.113227147458433e-05,0.0024157432270312178,0.00128179261477356
55,55,55,55,976.1610437689728,9.1685612012532e-05,6.112374134168799e-05,0.002415726888765374,0.0012817554977770248
56,56,56,55,976.1610437689728,9.1685612012532e-05,6.112374134168799e-05,0.002415726888765374,0.0012817554977770248
57,57,57,57,976.1609982675614,9.171682843797657e-05,6.114455229198437e-05,0.002415715802385643,0.0012818669929229394
58,58,58,57,976.1609982675614,9.171682843797657e-05,6.114455229198437e-05,0.002415715802385643,0.0012818669929229394
59,59,59,59,976.160937521993,9.171748515590661e-05,6.114499010393774e-05,0.0024157325124550028,0.0012818235265343561
60,60,60,59,976.160937521993,9.171748515590661e-05,6.114499010393774e-05,0.0024157325124550028,0.0012818235265343561
61,61,61,59,976.160937521993,9.171748515590661e-05,6.114499010393774e-05,0.0024157325124550028,0.0012818235265343561
62,62,62,62,976.16085621769,9.171669447582964e-05,6.114446298388643e-05,0.0024157542580873427,0.0012818470254530089
63,63,63,62,976.16085621769,9.171669447582964e-05,6.114446298388643e-05,0.0024157542580873427,0.0012818470254530089
64,64,64,64,976.1608431526619,9.173666387582435e-05,6.115777591721623e-05,0.002415682036800147,0.0012818474887213434
65,65,65,64,976.1608431526619,9.173666387582435e-05,6.115777591721623e-05,0.002415682036800147,0.0012818474887213434
66,66,66,66,976.1608051862027,9.171973592719818e-05,6.114649061813213e-05,0.002415713425771636,0.0012818781170504442
67,67,67,66,976.1608051862027,9.171973592719818e-05,6.114649061813213e-05,0.002415713425771636,0.0012818781170504442
68,68,68,68,976.1607900746683,9.173936901221702e-05,6.115957934147802e-05,0.0024156834485571607,0.0012818519827791186
69,69,69,68,976.1607900746683,9.173936901221702e-05,6.115957934147802e-05,0.0024156834485571607,0.0012818519827791186
70,70,70,70,976.160751382653,9.171078313238712e-05,6.114052208825807e-05,0.002415748648141868,0.001281866119099206
71,71,71,70,976.160751382653,9.171078313238712e-05,6.114052208825807e-05,0.002415748648141868,0.001281866119099206
72,72,72,72,976.1607360921595,9.175210388315258e-05,6.116806925543505e-05,0.002415688378056576,0.0012818684275167965
73,73,73,72,976.1607360921595,9.175210388315258e-05,6.116806925543505e-05,0.002415688378056576,0.0012818684275167965
74,74,74,74,976.1606974574177,9.172327166601102e-05,6.114884777734068e-05,0.002415758069619751,0.0012818948792908277
75,75,75,74,976.1606974574177,9.172327166601102e-05,6.114884777734068e-05,0.002415758069619751,0.0012818948792908277
76,76,76,76,976.1606820216036,9.174631626773788e-05,6.116421084515859e-05,0.00241569344099142,0.0012818679527589086
77,77,77,76,976.1606820216036,9.174631626773788e-05,6.116421084515859e-05,0.00241569344099142,0.0012818679527589086
78,78,78,78,976.1606433100021,9.171831062573799e-05,6.114554041715865e-05,0.0024157590306534706,0.0012818891718662825
79,79,79,78,976.1606433100021,9.171831062573799e-05,6.114554041715865e-05,0.0024157590306534706,0.0012818891718662825
80,80,80,80,976.1606277578021,9.173418026850455e-05,6.115612017900303e-05,0.0024156946990375157,0.001281851266859035
81,81,81,80,976.1606277578021,9.173418026850455e-05,6.115612017900303e-05,0.0024156946990375157,0.001281851266859035
82,82,82,82,976.1605891182178,9.171689870654531e-05,6.114459913769688e-05,0.0024157583031538736,0.001281884482902335
83,83,83,82,976.1605891182178,9.171689870654531e-05,6.114459913769688e-05,0.0024157583031538736,0.001281884482902335
84,84,84,84,976.160573718791,9.174454563715129e-05,6.116303042476753e-05,0.002415701636741352,0.0012818637636894312
85,85,85,84,976.160573718791,9.174454563715129e-05,6.116303042476753e-05,0.002415701636741352,0.0012818637636894312
86,86,86,86,976.160535125903,9.171917630784732e-05,6.114611753856489e-05,0.002415756490903109,0.0012818876793917427
87,87,87,86,976.160535125903,9.171917630784732e-05,6.114611753856489e-05,0.002415756490903109,0.0012818876793917427
88,88,88,88,976.160519730513,9.174640945497359e-05,6.116427296998239e-05,0.0024157088524923167,0.0012818698165963714
89,89,89,88,976.160519730513,9.174640945497359e-05,6.116427296998239e-05,0.0024157088524923167,0.0012818698165963714
90,90,90,90,976.1604812977558,9.172486232850163e-05,6.114990821900108e-05,0.0024157682413699336,0.0012819062120949212
91,91,91,90,976.1604812977558,9.172486232850163e-05,6.114990821900108e-05,0.0024157682413699336,0.0012819062120949212
92,92,92,92,976.1604658237338,9.17498406219075e-05,6.1166560414605e-05,0.002415706665469935,0.0012818825069949896
93,93,93,92,976.1604658237338,9.17498406219075e-05,6.1166560414605e-05,0.002415706665469935,0.0012818825069949896
94,94,94,94,976.1604276840247,9.17446041815706e-05,6.11630694543804e-05,0.0024157487186847915,0.0012819447154519617
95,95,95,94,976.1604276840247,9.17446041815706e-05,6.11630694543804e-05,0.0024157487186847915,0.0012819447154519617
96,96,96,96,976.1604125220749,9.177880268884664e-05,6.11858684592311e-05,0.0024157238041791432,0.0012819310286474568
97,97,97,96,976.1604125220749,9.177880268884664e-05,6.11858684592311e-05,0.0024157238041791432,0.0012819310286474568
98,98,98,98,976.1603741619049,9.174537158562757e-05,6.116358105708504e-05,0.0024158014892638508,0.0012819607022234217
99,99,99,98,976.1603741619049,9.174537158562757e-05,6.116358105708504e-05,0.0024158014892638508,0.0012819607022234217
100,100,100,100,976.1603585167977,9.176148146397556e-05,6.11743209759837e-05,0.002415733368349698,0.0012819218212026767
101,101,101,100,976.1603585167977,9.176148146397556e-05,6.11743209759837e-05,0.002415733368349698,0.0012819218212026767
102,102,102,102,976.1603202877029,9.17363470954724e-05,6.115756473031494e-05,0.002415823805070949,0.0012819369937283733
103,103,103,102,976.1603202877029,9.17363470954724e-05,6.115756473031494e-05,0.002415823805070949,0.0012819369937283733
104,104,104,104,976.1603051029032,9.177886866498786e-05,6.118591244332525e-05,0.0024157814738242876,0.001281935179054099
105,105,105,104,976.1603051029032,9.177886866498786e-05,6.118591244332525e-05,0.0024157814738242876,0.001281935179054099
106,106,106,106,976.1602669701617,9.174927925192922e-05,6.116618616795282e-05,0.0024158421353655778,0.0012819681933080357
107,107,107,106,976.1602669701617,9.174927925192922e-05,6.116618616795282e-05,0.0024158421353655778,0.0012819681933080357
108,108,108,108,976.1602514628323,9.17716449787831e-05,6.118109665252205e-05,0.002415793221091083,0.0012819383272553702
109,109,109,108,976.1602514628323,9.17716449787831e-05,6.118109665252205e-05,0.002415793221091083,0.0012819383272553702
110,110,110,110,976.1602133822323,9.174145491291918e-05,6.116096994194613e-05,0.0024158468244866497,0.0012819525438253487
111,111,111,110,976.1602133822323,9.174145491291918e-05,6.116096994194613e-05,0.0024158468244866497,0.0012819525438253487
112,112,112,112,976.1601981346301,9.17855064654638e-05,6.119033764364253e-05,0.0024157969934888693,0.0012819523111730303
113,113,113,112,976.1601981346301,9.17855064654638e-05,6.119033764364253e-05,0.0024157969934888693,0.0012819523111730303
114,114,114,114,976.1601599488663,9.175541950132149e-05,6.117027966754766e-05,0.0024158531563011083,0.0012819836593607973
115,115,115,114,976.1601599488663,9.175541950132149e-05,6.117027966754766e-05,0.0024158531563011083,0.0012819836593607973
116,116,116,116,976.1601445407766,9.176896622667408e-05,6.117931081778272e-05,0.002415756696890488,0.001281944010291434
117,117,117,116,976.1601445407766,9.176896622667408e-05,6.117931081778272e-05,0.002415756696890488,0.001281944010291434
118,118,118,118,976.1601066041214,9.17534234614048e-05,6.116894897426987e-05,0.0024158217493940666,0.0012819860814156315
119,119,119,118,976.1601066041214,9.17534234614048e-05,6.116894897426987e-05,0.0024158217493940666,0.0012819860814156315
120,120,120,120,976.1600913246144,9.176985868794563e-05,6.117990579196375e-05,0.0024157538912160377,0.0012819432663560859
121,121,121,120,976.1600913246144,9.176985868794563e-05,6.117990579196375e-05,0.0024157538912160377,0.0012819432663560859
122,122,122,122,976.1600533570202,9.175168199906936e-05,6.116778799937958e-05,0.002415825226253785,0.0012819808402126905
123,123,123,122,976.1600533570202,9.175168199906936e-05,6.116778799937958e-05,0.002415825226253785,0.0012819808402126905
124,124,124,124,976.1600380265318,9.177320184605708e-05,6.118213456403807e-05,0.0024157672389396308,0.0012819503620326615
125,125,125,124,976.1600380265318,9.177320184605708e-05,6.118213456403807e-05,0.0024157672389396308,0.0012819503620326615
126,126,126,126,976.1600000786392,9.175359267610261e-05,6.11690617840684e-05,0.0024158214809061086,0.0012819840762995193
127,127,127,126,976.1600000786392,9.175359267610261e-05,6.11690617840684e-05,0.0024158214809061086,0.0012819840762995193
128,128,128,128,976.1599849210037,9.177668112864135e-05,6.11844540857609e-05,0.0024157715253231016,0.00128194994822958
129,129,129,128,976.1599849210037,9.177668112864135e-05,6.11844540857609e-05,0.0024157715253231016,0.00128194994822958
130,130,130,130,976.1599473420517,9.177468777343822e-05,6.118312518229216e-05,0.0024158554460965687,0.0012820311499336088
131,131,131,130,976.1599473420517,9.177468777343822e-05,6.118312518229216e-05,0.0024158554460965687,0.0012820311499336088
132,132,132,132,976.1599319666722,9.178735963685791e-05,6.11915730912386e-05,0.0024157836465754285,0.0012819938004748658
133,133,133,132,976.1599319666722,9.178735963685791e-05,6.11915730912386e-05,0.0024157836465754285,0.0012819938004748658
134,134,134,134,976.1598940795759,9.175356694418602e-05,6.116904462945734e-05,0.0024158453598286844,0.0012819895364048735
135,135,135,134,976.1598940795759,9.175356694418602e-05,6.116904462945734e-05,0.0024158453598286844,0.0012819895364048735
136,136,136,136,976.1598787893174,9.177202353985447e-05,6.118134902656966e-05,0.0024157871227847225,0.001281959185654855
137,137,137,136,976.1598787893174,9.177202353985447e-05,6.118134902656966e-05,0.0024157871227847225,0.001281959185654855
138,138,138,138,976.1598409589593,9.175429986343908e-05,6.116953324229271e-05,0.0024158476659729726,0.001281996593362369
139,139,139,138,976.1598409589593,9.175429986343908e-05,6.116953324229271e-05,0.0024158476659729726,0.001281996593362369
140,140,140,140,976.1598257920135,9.178535420417688e-05,6.119023613611793e-05,0.0024157961127359334,0.0012819688737020806
141,141,141,140,976.1598257920135,9.178535420417688e-05,6.119023613611793e-05,0.0024157961127359334,0.0012819688737020806
142,142,142,142,976.1597880249351,9.17678564492097e-05,6.11785709661398e-05,0.002415841161764895,0.0012820248703941661
143,143,143,142,976.1597880249351,9.17678564492097e-05,6.11785709661398e-05,0.002415841161764895,0.0012820248703941661
144,144,144,144,976.1597728351508,9.17857582549142e-05,6.119050550327612e-05,0.0024157942112505455,0.0012819862382387774
145,145,145,144,976.1597728351508,9.17857582549142e-05,6.119050550327612e-05,0.0024157942112505455,0.0012819862382387774
146,146,146,146,976.1597351053332,9.176895436532884e-05,6.117930291021922e-05,0.0024158511814200406,0.0012820269780854034
147,147,147,146,976.1597351053332,9.176895436532884e-05,6.117930291021922e-05,0.0024158511814200406,0.0012820269780854034
148,148,148,148,976.1597198622235,9.178656519304162e-05,6.119104346202775e-05,0.002415803225541141,0.0012819925415542594
149,149,149,148,976.1597198622235,9.178656519304162e-05,6.119104346202775e-05,0.002415803225541141,0.0012819925415542594
150,150,150,150,976.159682132318,9.177516648964379e-05,6.118344432642919e-05,0.002415872635607444,0.0012820434960554212
151,151,151,150,976.159682132318,9.177516648964379e-05,6.118344432642919e-05,0.002415872635607444,0.0012820434960554212
152,152,152,152,976.1596670694437,9.179333298894865e-05,6.119555532596577e-05,0.0024158172439734424,0.001282010744266389
153,153,153,152,976.1596670694437,9.179333298894865e-05,6.119555532596577e-05,0.0024158172439734424,0.001282010744266389
154,154,154,154,976.1596293432749,9.175270458877671e-05,6.116846972585115e-05,0.002415869272639226,0.0012819970577146824
155,155,155,154,976.1596293432749,9.175270458877671e-05,6.116846972585115e-05,0.002415869272639226,0.0012819970577146824
156,156,156,156,976.1596143502657,9.178781878263487e-05,6.119187918842324e-05,0.002415849069336807,0.0012819756292458797
157,157,157,156,976.1596143502657,9.178781878263487e-05,6.119187918842324e-05,0.002415849069336807,0.0012819756292458797
158,158,158,158,976.1595767100425,9.178397587811249e-05,6.118931725207499e-05,0.0024159147764969513,0.0012820614795078355
159,159,159,158,976.1595767100425,9.178397587811249e-05,6.118931725207499e-05,0.0024159147764969513,0.0012820614795078355
160,160,160,160,976.159561746063,9.180092196506284e-05,6.120061464337523e-05,0.0024158339581690784,0.0012820226217292257
161,161,161,160,976.159561746063,9.180092196506284e-05,6.120061464337523e-05,0.0024158339581690784,0.0012820226217292257
162,162,162,162,976.1595242950382,9.17960837060472e-05,6.119738913736479e-05,0.002415963203990177,0.0012820942263884506
163,163,163,162,976.1595242950382,9.17960837060472e-05,6.119738913736479e-05,0.002415963203990177,0.0012820942263884506
164,164,164,164,976.1595093803926,9.181595322646507e-05,6.121063548431005e-05,0.0024158644270223005,0.0012820536401322116
165,165,165,164,976.1595093803926,9.181595322646507e-05,6.121063548431005e-05,0.0024158644270223005,0.0012820536401322116
166,166,166,166,976.1594720004077,9.180812244405367e-05,6.120541496270245e-05,0.0024158606068124828,0.0012821233428960185
167,167,167,166,976.1594720004077,9.180812244405367e-05,6.120541496270245e-05,0.0024158606068124828,0.0012821233428960185
168,168,168,168,976.1594572718993,9.184310662399553e-05,6.122873774933035e-05,0.002415846686985948,0.001282101749674335
169,169,169,168,976.1594572718993,9.184310662399553e-05,6.122873774933035e-05,0.002415846686985948,0.001282101749674335
170,170,170,170,976.1594198657922,9.181866229743263e-05,6.121244153162175e-05,0.002415912869666655,0.001282147796922832
171,171,171,170,976.1594198657922,9.181866229743263e-05,6.121244153162175e-05,0.002415912869666655,0.001282147796922832
172,172,172,172,976.1594050374624,9.183044512328653e-05,6.122029674885768e-05,0.0024158422333026954,0.00128210057659306
173,173,173,172,976.1594050374624,9.183044512328653e-05,6.122029674885768e-05,0.0024158422333026954,0.00128210057659306
174,174,174,174,976.1593673748221,9.179618051544103e-05,6.11974536769607e-05,0.0024159450128941706,0.0012820992549924413
175,175,175,174,976.1593673748221,9.179618051544103e-05,6.11974536769607e-05,0.0024159450128941706,0.0012820992549924413
176,176,176,176,976.1593528120752,9.183440107660146e-05,6.122293405106764e-05,0.0024158499709424114,0.001282084819430825
177,177,177,176,976.1593528120752,9.183440107660146e-05,6.122293405106764e-05,0.0024158499709424114,0.001282084819430825
178,178,178,178,976.1593151374234,9.180153661281221e-05,6.120102440854147e-05,0.002415913362874214,0.0012821114369522386
179,179,179,178,976.1593151374234,9.180153661281221e-05,6.120102440854147e-05,0.002415913362874214,0.0012821114369522386
180,180,180,180,976.1593004852674,9.182562262946559e-05,6.121708175297705e-05,0.002415847570387205,0.0012820700307384525
181,181,181,180,976.1593004852674,9.182562262946559e-05,6.121708175297705e-05,0.002415847570387205,0.0012820700307384525
182,182,182,182,976.1592628512436,9.179899918884682e-05,6.119933279256455e-05,0.00241589419649726,0.0012821072288179162
183,183,183,182,976.1592628512436,9.179899918884682e-05,6.119933279256455e-05,0.00241589419649726,0.0012821072288179162
184,184,184,184,976.1592481629721,9.18244469906293e-05,6.121629799375286e-05,0.0024158664075767822,0.0012820710456341094
185,185,185,184,976.1592481629721,9.18244469906293e-05,6.121629799375286e-05,0.0024158664075767822,0.0012820710456341094
186,186,186,186,976.1592106191586,9.180563485869375e-05,6.12037565724625e-05,0.0024159267236821317,0.0012821226424823361
187,187,187,186,976.1592106191586,9.180563485869375e-05,6.12037565724625e-05,0.0024159267236821317,0.0012821226424823361
