iteration,nf,previous_rho,trust_region_delta,adaptive_schedule,requested_budget,scheduled_budget,shots_added,active_circuits,revealed_union_circuits,accounted_revealed_shots,total_shot_budget,remaining_shot_budget,shot_budget_exhausted,physical_precomputed_shots
0,0,,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,95900,963000,867100,False,95900
1,1,36.26462096731977,0.2,lazy_delta_inverse_square,0,0,0,1918,1918,95900,963000,867100,False,95900
2,2,-1.1848221410021167,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,95900,963000,867100,False,95900
3,3,0.6047521545257872,0.2,lazy_delta_inverse_square,0,0,0,1918,1918,95900,963000,867100,False,95900
4,4,-3.759505789960999,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,95900,963000,867100,False,95900
5,5,-1.721264098610625,0.05,lazy_delta_inverse_square,10000,10000,10000,1918,1918,105900,963000,857100,False,105900
6,6,0.13799171243309521,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,105900,963000,857100,False,105900
7,7,-1.9150890405232137,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,105900,963000,857100,False,105900
8,8,0.4771905536976526,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,105900,963000,857100,False,105900
9,9,-1.735301057303802,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,105900,963000,857100,False,105900
10,10,-0.42930633123265666,0.025,lazy_delta_inverse_square,10000,10000,10000,1918,1918,115900,963000,847100,False,115900
11,11,0.38034743389699865,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,115900,963000,847100,False,115900
12,12,-0.45857597206334044,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,115900,963000,847100,False,115900
13,13,0.4439900167911985,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,115900,963000,847100,False,115900
14,14,-0.09072010973503117,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,115900,963000,847100,False,115900
15,15,0.15903961437481323,0.05,lazy_delta_inverse_square,10000,10000,10000,1918,1918,125900,963000,837100,False,125900
16,16,-0.2894710977637184,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,125900,963000,837100,False,125900
17,17,0.5510474866650004,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,125900,963000,837100,False,125900
18,18,-0.42089713308062454,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,125900,963000,837100,False,125900
19,19,0.6436942327535397,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,125900,963000,837100,False,125900
20,20,0.17999563892779777,0.025,lazy_delta_inverse_square,10000,10000,10000,1918,1918,135900,963000,827100,False,135900
21,21,-0.07799827130875185,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,135900,963000,827100,False,135900
22,22,0.8067744433902744,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,135900,963000,827100,False,135900
23,23,-6.565529482580947,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,135900,963000,827100,False,135900
24,24,-1.2675881111216183,0.00625,lazy_delta_inverse_square,0,0,0,1918,1918,135900,963000,827100,False,135900
25,25,0.6583021960458064,0.0125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,145900,963000,817100,False,145900
