phase,nf,x_index,incumbent_index,active_objective,full_objective,incumbent_active_objective,incumbent_full_objective,active_residuals,active_circuits,new_residuals_revealed,new_circuits_revealed,union_residuals_revealed,union_circuits_revealed,cumulative_eval_residuals,cumulative_eval_circuits,cumulative_shots_revealed,cumulative_eval_shots,shots_per_circuit,fpr_enabled,fpr_use_union_mask,fpr_selected_residuals,fpr_selected_circuits,fpr_new_residuals,fpr_new_circuits,fpr_union_residuals,fpr_union_circuits,delta,ng,rho,rho_active,rho_full,rho_uses_full_objective,mdec,step_norm,accepted
initial,0,0,0,20222.51810830593,20222.51810830593,20222.51810830593,20222.51810830593,3836,1918,3836,1918,3836,1918,3836,1918,95900.0,95900.0,50.0,False,True,3836,1918,3836,1918,3836,1918,0.1,,,,,False,,,True
trial,1,1,1,6816.541497188448,6816.541497188448,6816.541497188448,6816.541497188448,3836,1918,0,0,3836,1918,7672,3836,95900.0,95900.0,50.0,False,True,3836,1918,0,0,3836,1918,0.1,60113.096562751234,36.26462096731977,36.26462096731977,36.26462096731977,False,-369.67094246478985,0.1,True
trial,2,2,1,12224.467034776584,12224.467034776584,6816.541497188448,6816.541497188448,3836,1918,0,0,3836,1918,11508,5754,95900.0,95900.0,50.0,False,True,3836,1918,0,0,3836,1918,0.2,29990.795730322774,-1.1848221410021167,-1.1848221410021167,-1.1848221410021167,False,-4564.335312820994,0.2,False
trial,3,3,3,4080.077948881836,4080.077948881836,4080.077948881836,4080.077948881836,3836,1918,0,0,3836,1918,15344,7672,95900.0,95900.0,50.0,False,True,3836,1918,0,0,3836,1918,0.1,29990.795730322774,0.6047521545257872,0.6047521545257872,0.6047521545257872,False,-4524.933938354289,0.1,True
trial,4,4,3,12942.622348472585,12942.622348472585,4080.077948881836,4080.077948881836,3836,1918,0,0,3836,1918,19180,9590,95900.0,95900.0,50.0,False,True,3836,1918,0,0,3836,1918,0.2,38231.73715537339,-3.759505789960999,-3.759505789960999,-3.759505789960999,False,-2357.369530659158,0.2,False
trial,5,5,3,8102.068665656518,8102.068665656518,4080.077948881836,4080.077948881836,3836,1918,0,0,3836,1918,23016,11508,95900.0,95900.0,50.0,False,True,3836,1918,0,0,3836,1918,0.1,38231.73715537339,-1.721264098610625,-1.721264098610625,-1.721264098610625,False,-2336.6493962322015,0.1,False
trial,6,6,6,4727.028572646124,4727.028572646124,4727.028572646124,4727.028572646124,3836,1918,0,0,3836,1918,26852,13426,105900.0,105900.0,55.21376433785193,False,True,3836,1918,0,0,3836,1918,0.05,41794.459838081966,0.13799171243309521,0.13799171243309521,0.13799171243309521,False,-2955.0048000099455,0.05,True
trial,7,7,6,11309.977375069677,11309.977375069677,4727.028572646124,4727.028572646124,3836,1918,0,0,3836,1918,30688,15344,105900.0,105900.0,55.21376433785193,False,True,3836,1918,0,0,3836,1918,0.1,72527.4273750138,-1.9150890405232137,-1.9150890405232137,-1.9150890405232137,False,-3437.411349095837,0.1,False
trial,8,8,8,3141.910803224018,3141.910803224018,3141.910803224018,3141.910803224018,3836,1918,0,0,3836,1918,34524,17262,105900.0,105900.0,55.21376433785193,False,True,3836,1918,0,0,3836,1918,0.05,72527.4273750138,0.4771905536976526,0.4771905536976526,0.4771905536976526,False,-3321.771055900732,0.05,True
trial,9,9,8,6651.442875569438,6651.442875569438,3141.910803224018,3141.910803224018,3836,1918,0,0,3836,1918,38360,19180,105900.0,105900.0,55.21376433785193,False,True,3836,1918,0,0,3836,1918,0.1,66599.15540509686,-1.735301057303802,-1.735301057303802,-1.735301057303802,False,-2022.4341232168113,0.1,False
trial,10,10,8,4007.8402140691624,4007.8402140691624,3141.910803224018,3141.910803224018,3836,1918,0,0,3836,1918,42196,21098,105900.0,105900.0,55.21376433785193,False,True,3836,1918,0,0,3836,1918,0.05,66599.15540509686,-0.42930633123265666,-0.42930633123265666,-0.42930633123265666,False,-2017.0431876902974,0.05,False
trial,11,11,11,3134.4425783515962,3134.4425783515962,3134.4425783515962,3134.4425783515962,3836,1918,0,0,3836,1918,46032,23016,115900.0,115900.0,60.42752867570386,False,True,3836,1918,0,0,3836,1918,0.025,107961.18068202783,0.38034743389699865,0.38034743389699865,0.38034743389699865,False,-2747.3329923365736,0.025,True
trial,12,12,11,4013.927467049864,4013.927467049864,3134.4425783515962,3134.4425783515962,3836,1918,0,0,3836,1918,49868,24934,115900.0,115900.0,60.42752867570386,False,True,3836,1918,0,0,3836,1918,0.05,154802.67421928138,-0.45857597206334044,-0.45857597206334044,-0.45857597206334044,False,-1917.8608175676277,0.05,False
