sequence_index,iteration,nf,incumbent_index,incumbent_full_objective,mean_gate_entanglement_infidelity_to_truth,mean_gate_average_infidelity_to_truth,mean_spam_vector_l2_error_to_truth,mean_spam_tracedist_to_truth,mean_gate_eigenvalue_nonunitarity_excess_to_truth,mean_gate_eigenvalue_diamondnorm_to_truth,mean_gate_eigenvalue_nonunitary_diamondnorm_to_truth,mean_gate_diamond_distance_to_truth
0,0,0,0,133207.74422306067,0.002273422622213639,0.0015156150814757592,0.0069771033542395085,0.004937894532976495,-0.003850330725303386,0.008134373632380808,0.004513942584111835,0.015113464757287321
1,1,1,1,29668.387407521685,0.010932946092604118,0.007288630728402745,0.011765811620597167,0.007738146728996456,0.01945756545598616,0.025106990711047907,0.023984138737567363,0.047082559811086944
2,2,2,1,29668.387407521685,0.010932946092604118,0.007288630728402745,0.011765811620597167,0.007738146728996456,0.01945756545598616,0.025106990711047907,0.023984138737567363,0.047082559811086944
3,3,3,1,29668.387407521685,0.010932946092604118,0.007288630728402745,0.011765811620597167,0.007738146728996456,0.01945756545598616,0.025106990711047907,0.023984138737567363,0.047082559811086944
4,4,4,4,11548.597204916434,0.004408983702135938,0.002939322468090625,0.029029309728984026,0.02220682025351642,0.0018769904653448827,0.015486991397290572,0.007252919044663436,0.03074646095544532
5,5,5,4,11548.597204916434,0.004408983702135938,0.002939322468090625,0.029029309728984026,0.02220682025351642,0.0018769904653448827,0.015486991397290572,0.007252919044663436,0.03074646095544532
6,6,6,4,11934.08989635239,0.004408983702135938,0.002939322468090625,0.029029309728984026,0.02220682025351642,0.0018769904653448827,0.015486991397290572,0.007252919044663436,0.03074646095544532
7,7,7,7,5905.858089806941,0.002498109373893692,0.0016654062492624613,0.006324940222104888,0.004508993939149398,0.004590659293240824,0.006866553612504259,0.006381343181350162,0.013415087507177306
8,8,8,7,5905.858089806941,0.002498109373893692,0.0016654062492624613,0.006324940222104888,0.004508993939149398,0.004590659293240824,0.006866553612504259,0.006381343181350162,0.013415087507177306
9,9,9,9,2434.8409904098116,0.0004670856854552541,0.0003113904569701694,0.0026613683811120663,0.002038381450968662,0.0016623882381078883,0.003179686003014041,0.0018835101725330691,0.006738788782944377
10,10,10,10,1743.220263816062,0.0008488648900627505,0.0005659099267085003,0.0018952573573644237,0.0014180943574892586,0.001258365787067596,0.0017799323925705196,0.0018114242475478493,0.003509401429165133
11,11,11,11,1031.772014322458,0.0002024189950313171,0.00013494599668754473,0.002216351132557633,0.0017032364810830396,0.00015357751329644204,0.0004090106402114531,0.0003828758901138554,0.0016323224563827717
12,12,12,11,1031.772014322458,0.0002024189950313171,0.00013494599668754473,0.002216351132557633,0.0017032364810830396,0.00015357751329644204,0.0004090106402114531,0.0003828758901138554,0.0016323224563827717
13,13,13,11,1031.772014322458,0.0002024189950313171,0.00013494599668754473,0.002216351132557633,0.0017032364810830396,0.00015357751329644204,0.0004090106402114531,0.0003828758901138554,0.0016323224563827717
14,14,14,11,1031.772014322458,0.0002024189950313171,0.00013494599668754473,0.002216351132557633,0.0017032364810830396,0.00015357751329644204,0.0004090106402114531,0.0003828758901138554,0.0016323224563827717
15,15,15,15,975.9556356330299,0.0001592520767302874,0.00010616805115352496,0.002215918239494585,0.0016669785733733364,1.879753914990623e-05,0.0002991288548652857,0.0002322924154470607,0.0014259881108745526
16,16,16,15,986.6632700217302,0.0001592520767302874,0.00010616805115352496,0.002215918239494585,0.0016669785733733364,1.879753914990623e-05,0.0002991288548652857,0.0002322924154470607,0.0014259881108745526
17,17,17,15,986.6632700217302,0.0001592520767302874,0.00010616805115352496,0.002215918239494585,0.0016669785733733364,1.879753914990623e-05,0.0002991288548652857,0.0002322924154470607,0.0014259881108745526
18,18,18,18,967.0955044594209,0.0001473352872427558,9.822352482850386e-05,0.0022692752468052454,0.001704662262416154,7.333146343387054e-06,0.0002942584663582987,0.00022036684943978896,0.001351868973085975
19,19,19,18,967.0955044594209,0.0001473352872427558,9.822352482850386e-05,0.0022692752468052454,0.001704662262416154,7.333146343387054e-06,0.0002942584663582987,0.00022036684943978896,0.001351868973085975
20,20,20,20,961.2400833397468,0.00015289650127797705,0.0001019310008519847,0.002270176615417384,0.0016911935468000112,-5.586217838367269e-06,0.000289503426065884,0.00020478902098822888,0.0013598188319055382
21,21,21,20,958.2649052518891,0.00015289650127797705,0.0001019310008519847,0.002270176615417384,0.0016911935468000112,-5.586217838367269e-06,0.000289503426065884,0.00020478902098822888,0.0013598188319055382
22,22,22,20,958.2649052518891,0.00015289650127797705,0.0001019310008519847,0.002270176615417384,0.0016911935468000112,-5.586217838367269e-06,0.000289503426065884,0.00020478902098822888,0.0013598188319055382
23,23,23,23,953.9420602296295,0.00014070878850727664,9.38058590048511e-05,0.002223743302138898,0.0016625828183813292,-5.479104166705717e-06,0.0002970216476994267,0.0001981332280581588,0.0013634774585147477
24,24,24,23,953.9420602296295,0.00014070878850727664,9.38058590048511e-05,0.002223743302138898,0.0016625828183813292,-5.479104166705717e-06,0.0002970216476994267,0.0001981332280581588,0.0013634774585147477
25,25,25,23,953.9420602296295,0.00014070878850727664,9.38058590048511e-05,0.002223743302138898,0.0016625828183813292,-5.479104166705717e-06,0.0002970216476994267,0.0001981332280581588,0.0013634774585147477
26,26,26,26,954.5138162866092,0.00013843107182034964,9.228738121356643e-05,0.002303049490176163,0.0017275633486810837,-1.4215337591279298e-05,0.000265723183538868,0.00018271411275786603,0.0013435663226655447
27,27,27,26,954.5138162866092,0.00013843107182034964,9.228738121356643e-05,0.002303049490176163,0.0017275633486810837,-1.4215337591279298e-05,0.000265723183538868,0.00018271411275786603,0.0013435663226655447
28,28,28,26,954.5138162866092,0.00013843107182034964,9.228738121356643e-05,0.002303049490176163,0.0017275633486810837,-1.4215337591279298e-05,0.000265723183538868,0.00018271411275786603,0.0013435663226655447
29,29,29,29,954.4549056364403,0.000136800097961437,9.120006530762467e-05,0.0023169370693140686,0.0017389745847196715,-1.4499134119889956e-05,0.00026539050885758905,0.00018401116556406721,0.0013374765707094378
30,30,30,29,954.4549056364403,0.000136800097961437,9.120006530762467e-05,0.0023169370693140686,0.0017389745847196715,-1.4499134119889956e-05,0.00026539050885758905,0.00018401116556406721,0.0013374765707094378
31,31,31,31,954.2130588971615,0.00013264798964132685,8.84319930942179e-05,0.002103626492305661,0.001589092169155518,-6.229644782716759e-06,0.0002684160050591187,0.0001818962700755808,0.0012993055835968071
32,32,32,31,954.2130588971615,0.00013264798964132685,8.84319930942179e-05,0.002103626492305661,0.001589092169155518,-6.229644782716759e-06,0.0002684160050591187,0.0001818962700755808,0.0012993055835968071
33,33,33,33,954.0974244215022,0.00013294448984824125,8.86296598988275e-05,0.0020829274930457054,0.0015821638756355204,-6.659139415804427e-06,0.0002653671421700213,0.0001800194256504975,0.0012872369367495267
34,34,34,33,954.0974244215022,0.00013294448984824125,8.86296598988275e-05,0.0020829274930457054,0.0015821638756355204,-6.659139415804427e-06,0.0002653671421700213,0.0001800194256504975,0.0012872369367495267
35,35,35,35,954.0679023199866,0.0001351601322663598,9.010675484423987e-05,0.002085744165284533,0.0015821296071705689,-7.729836169062532e-06,0.00026538151258205517,0.00017949445038669548,0.0012907586996971487
36,36,36,36,956.2094789195148,0.00013596449207542438,9.064299471694959e-05,0.0021439551484926105,0.0016284546587864621,-4.708669146757938e-06,0.00026898210643182984,0.00018711632786131555,0.0012700712993848594
37,37,37,36,956.2094789195148,0.00013596449207542438,9.064299471694959e-05,0.0021439551484926105,0.0016284546587864621,-4.708669146757938e-06,0.00026898210643182984,0.00018711632786131555,0.0012700712993848594
38,38,38,38,955.8008731251762,0.00014018596348616685,9.34573089907779e-05,0.0021428177432889508,0.0016219898819150626,-4.619164536243114e-06,0.000271463565022364,0.00018886382850754474,0.0012829669578670547
39,39,39,38,955.8008731251762,0.00014018596348616685,9.34573089907779e-05,0.0021428177432889508,0.0016219898819150626,-4.619164536243114e-06,0.000271463565022364,0.00018886382850754474,0.0012829669578670547
40,40,40,38,955.8008731251762,0.00014018596348616685,9.34573089907779e-05,0.0021428177432889508,0.0016219898819150626,-4.619164536243114e-06,0.000271463565022364,0.00018886382850754474,0.0012829669578670547
41,41,41,41,956.2251668089002,0.00013570947497687502,9.047298331791667e-05,0.0020697447675808796,0.001539615692307818,-4.078968003633221e-06,0.00025262230695006956,0.00017277946580533665,0.001227906692904903
42,42,42,41,956.2251668089002,0.00013570947497687502,9.047298331791667e-05,0.0020697447675808796,0.001539615692307818,-4.078968003633221e-06,0.00025262230695006956,0.00017277946580533665,0.001227906692904903
43,43,43,43,956.1374612096897,0.0001335155894035822,8.901039293572148e-05,0.002066652419078573,0.001533836899292621,-2.8286959210602203e-06,0.000257262536269466,0.00017774736906464583,0.0012325329357557925
44,44,44,43,956.1374612096897,0.0001335155894035822,8.901039293572148e-05,0.002066652419078573,0.001533836899292621,-2.8286959210602203e-06,0.000257262536269466,0.00017774736906464583,0.0012325329357557925
