phase,nf,x_index,incumbent_index,active_objective,full_objective,incumbent_active_objective,incumbent_full_objective,active_residuals,active_circuits,new_residuals_revealed,new_circuits_revealed,union_residuals_revealed,union_circuits_revealed,cumulative_eval_residuals,cumulative_eval_circuits,cumulative_shots_revealed,cumulative_eval_shots,shots_per_circuit,fpr_enabled,fpr_use_union_mask,fpr_selected_residuals,fpr_selected_circuits,fpr_new_residuals,fpr_new_circuits,fpr_union_residuals,fpr_union_circuits,delta,ng,rho,rho_active,rho_full,rho_uses_full_objective,mdec,step_norm,accepted
initial,0,0,0,136366.7153956563,136366.7153956563,136366.7153956563,136366.7153956563,3836,1918,3836,1918,3836,1918,3836,1918,678972.0,678972.0,354.0,False,True,3836,1918,3836,1918,3836,1918,0.1,,,,,False,,,True
trial,1,1,1,25956.190769527042,25956.190769527042,25956.190769527042,25956.190769527042,3836,1918,0,0,3836,1918,7672,3836,678972.0,678972.0,354.0,False,True,3836,1918,0,0,3836,1918,0.1,429371.801750046,44.538749290737435,44.538749290737435,44.538749290737435,False,-2478.9767648255656,0.1,True
trial,2,2,1,65280.68543606989,65280.68543606989,25956.190769527042,25956.190769527042,3836,1918,0,0,3836,1918,11508,5754,678972.0,678972.0,354.0,False,True,3836,1918,0,0,3836,1918,0.2,233901.60668888752,-1.7827300347824517,-1.7827300347824517,-1.7827300347824517,False,-22058.580883976443,0.2,False
trial,3,3,1,46177.433352140855,46177.433352140855,25956.190769527042,25956.190769527042,3836,1918,0,0,3836,1918,15344,7672,678972.0,678972.0,354.0,False,True,3836,1918,0,0,3836,1918,0.1,233901.60668888752,-0.9180039802136027,-0.9180039802136027,-0.9180039802136027,False,-22027.401861491602,0.1,False
trial,4,4,4,9451.577566588305,9451.577566588305,9451.577566588305,9451.577566588305,3836,1918,0,0,3836,1918,19180,9590,678972.0,678972.0,354.0,False,True,3836,1918,0,0,3836,1918,0.05,233901.60668888752,0.7597290599035865,0.7597290599035865,0.7597290599035865,False,-21724.341049996503,0.05,True
trial,5,5,4,44985.328539293085,44985.328539293085,9451.577566588305,9451.577566588305,3836,1918,0,0,3836,1918,23016,11508,678972.0,678972.0,354.0,False,True,3836,1918,0,0,3836,1918,0.1,341620.22405887186,-4.751003467427568,-4.751003467427568,-4.751003467427568,False,-7479.209648302897,0.1,False
trial,6,6,4,17574.65211507463,17574.65211507463,9762.775377369357,9762.775377369357,3836,1918,0,0,3836,1918,26852,13426,688652.0,688652.0,359.04692387904066,False,True,3836,1918,0,0,3836,1918,0.05,342628.34329384106,-1.0130983931460433,-1.0130983931460433,-1.0130983931460433,False,-7710.876643922533,0.05,False
trial,7,7,7,6032.38803800588,6032.38803800588,6032.38803800588,6032.38803800588,3836,1918,0,0,3836,1918,30688,15344,688652.0,688652.0,359.04692387904066,False,True,3836,1918,0,0,3836,1918,0.025,342628.34329384106,0.5341813106476554,0.5341813106476554,0.5341813106476554,False,-6983.372995286296,0.025,True
trial,8,8,7,8089.392401137687,8089.392401137687,6032.38803800588,6032.38803800588,3836,1918,0,0,3836,1918,34524,17262,688652.0,688652.0,359.04692387904066,False,True,3836,1918,0,0,3836,1918,0.05,145268.9672335065,-0.41442852197157215,-0.41442852197157215,-0.41442852197157215,False,-4963.47199595714,0.05,False
trial,9,9,9,1954.3500659945078,1954.3500659945078,1954.3500659945078,1954.3500659945078,3836,1918,0,0,3836,1918,38360,19180,688652.0,688652.0,359.04692387904066,False,True,3836,1918,0,0,3836,1918,0.025,145268.9672335065,0.8280058794357134,0.8280058794357134,0.8280058794357134,False,-4925.1316606478185,0.025,True
trial,10,10,10,1809.4832433580116,1809.4832433580116,1809.4832433580116,1809.4832433580116,3836,1918,0,0,3836,1918,42196,21098,688652.0,688652.0,359.04692387904066,False,True,3836,1918,0,0,3836,1918,0.05,82513.60462915871,0.14874587267927095,0.14874587267927095,0.14874587267927095,False,-973.9216290650372,0.0458693067187526,True
trial,11,11,10,4351.47770242232,4351.47770242232,2242.3790739136894,2242.3790739136894,3836,1918,0,0,3836,1918,46032,23016,698652.0,698652.0,364.2606882168926,False,True,3836,1918,0,0,3836,1918,0.1,60232.70005610713,-1.7448708243476283,-1.7448708243476283,-1.7448708243476283,False,-1208.741987703978,0.09457309875390738,False
trial,12,12,12,2064.7777761822485,2064.7777761822485,2064.7777761822485,2064.7777761822485,3836,1918,0,0,3836,1918,49868,24934,698652.0,698652.0,364.2606882168926,False,True,3836,1918,0,0,3836,1918,0.05,60232.70005610713,0.14697262819382872,0.14697262819382872,0.14697262819382872,False,-1208.3971002901217,0.05,True
trial,13,13,13,1153.1792568216424,1153.1792568216424,1153.1792568216424,1153.1792568216424,3836,1918,0,0,3836,1918,53704,26852,698652.0,698652.0,364.2606882168926,False,True,3836,1918,0,0,3836,1918,0.1,55898.18766805785,0.8748656366173067,0.8748656366173067,0.8748656366173067,False,-1041.9868848493447,0.04320653116304947,True
trial,14,14,13,4052.54853649033,4052.54853649033,1153.1792568216424,1153.1792568216424,3836,1918,0,0,3836,1918,57540,28770,698652.0,698652.0,364.2606882168926,False,True,3836,1918,0,0,3836,1918,0.05,55834.34926853123,-16.80271202189795,-16.80271202189795,-16.80271202189795,False,-172.55364942814688,0.04904462342059938,False
trial,15,15,13,2468.2517024926356,2468.2517024926356,1153.1792568216424,1153.1792568216424,3836,1918,0,0,3836,1918,61376,30688,698652.0,698652.0,364.2606882168926,False,True,3836,1918,0,0,3836,1918,0.025,55834.34926853123,-7.65250519532724,-7.65250519532724,-7.65250519532724,False,-171.84861847254942,0.025,False
trial,16,16,13,1371.6361229731701,1371.6361229731701,1238.079053949437,1238.079053949437,3836,1918,0,0,3836,1918,65212,32606,708652.0,708652.0,369.4744525547445,False,True,3836,1918,0,0,3836,1918,0.0125,64202.42964523383,-0.5280304260876554,-0.5280304260876554,-0.5280304260876554,False,-252.93441897524698,0.0125,False
trial,17,17,17,1010.5621511596999,1010.5621511596999,1010.5621511596999,1010.5621511596999,3836,1918,0,0,3836,1918,69048,34524,708652.0,708652.0,369.4744525547445,False,True,3836,1918,0,0,3836,1918,0.00625,64202.42964523383,0.9115695918266545,0.9115695918266545,0.9115695918266545,False,-249.5880784415218,0.00625,True
trial,18,18,17,1283.75223165387,1283.75223165387,1010.5621511596999,1010.5621511596999,3836,1918,0,0,3836,1918,72884,36442,708652.0,708652.0,369.4744525547445,False,True,3836,1918,0,0,3836,1918,0.0125,11630.105236423231,-10.15481879056978,-10.15481879056978,-10.15481879056978,False,-26.90250669444409,0.0125,False
trial,19,19,17,1049.8029024340626,1049.8029024340626,1010.5621511596999,1010.5621511596999,3836,1918,0,0,3836,1918,76720,38360,708652.0,708652.0,369.4744525547445,False,True,3836,1918,0,0,3836,1918,0.00625,11630.105236423231,-1.4801001400177938,-1.4801001400177938,-1.4801001400177938,False,-26.51222725638754,0.00625,False
trial,20,20,20,989.038071560068,989.038071560068,989.038071560068,989.038071560068,3836,1918,0,0,3836,1918,80556,40278,708652.0,708652.0,369.4744525547445,False,True,3836,1918,0,0,3836,1918,0.003125,11630.105236423231,0.8278345890678901,0.8278345890678901,0.8278345890678901,False,-26.000459371801682,0.003125,True
trial,21,21,20,1023.45647103214,1023.45647103214,987.6628053945393,987.6628053945393,3836,1918,0,0,3836,1918,84392,42196,718652.0,718652.0,374.6882168925965,False,True,3836,1918,0,0,3836,1918,0.00625,4624.626867155194,-6.754579294477602,-6.754579294477602,-6.754579294477602,False,-5.299170248377253,0.00625,False
trial,22,22,20,992.0915304560376,992.0915304560376,987.6628053945393,987.6628053945393,3836,1918,0,0,3836,1918,88228,44114,718652.0,718652.0,374.6882168925965,False,True,3836,1918,0,0,3836,1918,0.003125,4624.626867155194,-0.8995059380388271,-0.8995059380388271,-0.8995059380388271,False,-4.9235084219167735,0.003125,False
trial,23,23,23,983.8478006961664,983.8478006961664,983.8478006961664,983.8478006961664,3836,1918,0,0,3836,1918,92064,46032,718652.0,718652.0,374.6882168925965,False,True,3836,1918,0,0,3836,1918,0.0015625,4624.626867155194,0.8609427710690533,0.8609427710690533,0.8609427710690533,False,-4.431194298357093,0.0015625,True
trial,24,24,23,991.3298502596276,991.3298502596276,983.8478006961664,983.8478006961664,3836,1918,0,0,3836,1918,95900,47950,718652.0,718652.0,374.6882168925965,False,True,3836,1918,0,0,3836,1918,0.003125,2899.3739895687186,-12.766085797434028,-12.766085797434028,-12.766085797434028,False,-0.5860879898649236,0.003125,False
