sequence_index,iteration,nf,incumbent_index,incumbent_full_objective,mean_gate_entanglement_infidelity_to_truth,mean_gate_average_infidelity_to_truth,mean_spam_vector_l2_error_to_truth,mean_spam_tracedist_to_truth,mean_gate_eigenvalue_nonunitarity_excess_to_truth,mean_gate_eigenvalue_diamondnorm_to_truth,mean_gate_eigenvalue_nonunitary_diamondnorm_to_truth,mean_gate_diamond_distance_to_truth
0,0,0,0,347754.6170111267,0.00227342297002206,0.00151561531334804,0.00697710335423951,0.004937894532976495,-0.003850330725303469,0.008134373632380773,0.004513942584111835,0.015113464757287046
1,1,1,1,87995.2837731298,0.013311653095927134,0.008874435397284755,0.015105820555703966,0.010340332598060024,0.02314273170675312,0.029306098713940517,0.028369490661712106,0.05434068561156992
2,2,2,1,87995.2837731298,0.013311653095927134,0.008874435397284755,0.015105820555703966,0.010340332598060024,0.02314273170675312,0.029306098713940517,0.028369490661712106,0.05434068561156992
3,3,3,3,82901.8442018932,0.013206788856405444,0.008804525904270296,0.03218057814029469,0.024949632710868162,0.021210846565983876,0.028642903113211562,0.026265034163729925,0.052405873322314785
4,4,4,4,81434.50066794424,0.012193484926948661,0.008128989951299109,0.030824848411016636,0.02020511952478884,0.01760502663791199,0.030634687884217804,0.02347657370255872,0.07004463696860015
5,5,5,4,81434.50066794424,0.012193484926948661,0.008128989951299109,0.030824848411016636,0.02020511952478884,0.01760502663791199,0.030634687884217804,0.02347657370255872,0.07004463696860015
6,6,6,6,53395.783784840074,0.004386153583066044,0.002924102388710696,0.01899381585648564,0.015982317297645612,0.009144833904344667,0.01951950672742202,0.01061361206477441,0.04454344300698147
7,7,7,6,53395.783784840074,0.004386153583066044,0.002924102388710696,0.01899381585648564,0.015982317297645612,0.009144833904344667,0.01951950672742202,0.01061361206477441,0.04454344300698147
8,8,8,8,51850.313077227256,0.009088098036401815,0.006058732024267877,0.011530452986823316,0.008912727130882259,0.014875927926041949,0.01906904632845112,0.018653665781051258,0.03703082090825007
9,9,9,9,18695.687716554217,0.0038263895020434757,0.0025509263346956503,0.006823228184854602,0.004448953768677236,0.005688408006321359,0.009387518675823598,0.007851337307617695,0.022594779233295594
10,10,10,9,18695.687716554217,0.0038263895020434757,0.0025509263346956503,0.006823228184854602,0.004448953768677236,0.005688408006321359,0.009387518675823598,0.007851337307617695,0.022594779233295594
11,11,11,11,9929.573003574595,0.0012051707149724478,0.0008034471433149652,0.0035749283828866462,0.0023794822750527315,0.0026091527944295187,0.006962496822358543,0.003559650003119509,0.014813861519071799
12,12,12,12,3131.357600795949,0.0006947400476141619,0.0004631600317427746,0.0017519261573442902,0.0010634459163468078,0.0014940839946783538,0.0025880571843040255,0.002308541542845953,0.004874558065286143
13,13,13,13,2792.521955416634,0.00036884837448761254,0.000245898916325075,0.0013810937621616074,0.0008801459256156358,0.001492641884284128,0.0020325052087443018,0.0018409983911753594,0.003804911355981022
14,14,14,14,1416.686623199934,0.0001110009692481817,7.400064616545447e-05,0.001680982193950112,0.0011623280804368456,0.0006295306236777584,0.0009016726000297558,0.0010468316419870172,0.001870542831347604
15,15,15,15,1058.4608689185106,0.00010988808133630124,7.325872089086748e-05,0.001414079561981376,0.000916147011306648,0.0002275208088502595,0.00036613801408030497,0.00035063520125949016,0.0011935837316591148
16,16,16,16,968.1842368483416,6.624215308992376e-05,4.416143539328251e-05,0.001459682336890078,0.0009454642327319465,4.308760491585767e-05,0.00016178996261721035,0.00013761598716947876,0.0008766511264031561
17,17,17,17,951.4197182226962,4.769243602972817e-05,3.179495735315211e-05,0.0014827540429803393,0.0009712996716602832,2.2949248542514233e-05,0.00015129820613049092,0.00012177916192815386,0.0007963963981217639
18,18,18,17,951.4197182226962,4.769243602972817e-05,3.179495735315211e-05,0.0014827540429803393,0.0009712996716602832,2.2949248542514233e-05,0.00015129820613049092,0.00012177916192815386,0.0007963963981217639
19,19,19,19,950.3121154925516,4.588870189836669e-05,3.059246793224446e-05,0.0014852042220988213,0.0009738743895134828,2.099836133440114e-05,0.00014724091622986176,0.00011682128077792481,0.0007862176748813962
20,20,20,19,950.3121154925516,4.588870189836669e-05,3.059246793224446e-05,0.0014852042220988213,0.0009738743895134828,2.099836133440114e-05,0.00014724091622986176,0.00011682128077792481,0.0007862176748813962
21,21,21,19,950.3121154925516,4.588870189836669e-05,3.059246793224446e-05,0.0014852042220988213,0.0009738743895134828,2.099836133440114e-05,0.00014724091622986176,0.00011682128077792481,0.0007862176748813962
22,22,22,22,945.6176273880998,3.584373294496235e-05,2.389582196330823e-05,0.0015034364330740303,0.0009913712333598104,9.762172240142253e-06,0.00014022108933998376,0.00010483145234452262,0.0007737322460468013
23,23,23,22,945.6176273880998,3.584373294496235e-05,2.389582196330823e-05,0.0015034364330740303,0.0009913712333598104,9.762172240142253e-06,0.00014022108933998376,0.00010483145234452262,0.0007737322460468013
24,24,24,24,945.2965827664372,3.51313486210425e-05,2.3420899080695e-05,0.0014937443947499625,0.0009817196619105626,8.875403746257116e-06,0.00013980264484662994,0.00010390513457034928,0.0007762105171831157
25,25,25,24,945.2965827664372,3.51313486210425e-05,2.3420899080695e-05,0.0014937443947499625,0.0009817196619105626,8.875403746257116e-06,0.00013980264484662994,0.00010390513457034928,0.0007762105171831157
26,26,26,24,945.2965827664372,3.51313486210425e-05,2.3420899080695e-05,0.0014937443947499625,0.0009817196619105626,8.875403746257116e-06,0.00013980264484662994,0.00010390513457034928,0.0007762105171831157
27,27,27,27,943.1671620467282,2.815298525055132e-05,1.876865683370088e-05,0.0014852287721585811,0.0009724780819754938,2.2006528381871004e-06,0.0001376369674679924,9.639243526250729e-05,0.0007602622035099882
28,28,28,27,943.1671620467282,2.815298525055132e-05,1.876865683370088e-05,0.0014852287721585811,0.0009724780819754938,2.2006528381871004e-06,0.0001376369674679924,9.639243526250729e-05,0.0007602622035099882
29,29,29,29,943.0997798914985,2.6679410750324317e-05,1.7786273833549547e-05,0.0014863995870124317,0.0009736461885715974,6.612759854071615e-07,0.0001369760249396487,9.418673998868449e-05,0.0007559407247823319
30,30,30,29,943.0997798914985,2.6679410750324317e-05,1.7786273833549547e-05,0.0014863995870124317,0.0009736461885715974,6.612759854071615e-07,0.0001369760249396487,9.418673998868449e-05,0.0007559407247823319
31,31,31,31,943.045750215281,2.7285926646247738e-05,1.8190617764165157e-05,0.0014923043061459175,0.0009799699116498663,1.9543219800799427e-06,0.00013737228887657153,9.443400262084539e-05,0.0007621810797672632
32,32,32,31,943.045750215281,2.7285926646247738e-05,1.8190617764165157e-05,0.0014923043061459175,0.0009799699116498663,1.9543219800799427e-06,0.00013737228887657153,9.443400262084539e-05,0.0007621810797672632
33,33,33,33,943.0164527877951,2.6336617159339326e-05,1.7557744772892885e-05,0.0014887657544722461,0.0009765393004891818,7.333591453689836e-07,0.00013619865193098798,9.363629379293553e-05,0.0007548917995000043
34,34,34,33,943.0164527877951,2.6336617159339326e-05,1.7557744772892885e-05,0.0014887657544722461,0.0009765393004891818,7.333591453689836e-07,0.00013619865193098798,9.363629379293553e-05,0.0007548917995000043
35,35,35,33,943.0164527877951,2.6336617159339326e-05,1.7557744772892885e-05,0.0014887657544722461,0.0009765393004891818,7.333591453689836e-07,0.00013619865193098798,9.363629379293553e-05,0.0007548917995000043
36,36,36,36,942.7948527177466,2.5146749097121335e-05,1.676449939808089e-05,0.001491062765768995,0.0009789226493303986,-1.4178502486666966e-07,0.00013735899563796963,9.219351426822953e-05,0.0007575738542171084
37,37,37,36,942.7948527177466,2.5146749097121335e-05,1.676449939808089e-05,0.001491062765768995,0.0009789226493303986,-1.4178502486666966e-07,0.00013735899563796963,9.219351426822953e-05,0.0007575738542171084
38,38,38,38,942.7641702853524,2.471756596794661e-05,1.6478377311964408e-05,0.0014871398121055705,0.0009745599759442747,-1.08185480247186e-06,0.00013721989096508792,9.219483108463544e-05,0.0007551525303583653
39,39,39,38,942.7641702853524,2.471756596794661e-05,1.6478377311964408e-05,0.0014871398121055705,0.0009745599759442747,-1.08185480247186e-06,0.00013721989096508792,9.219483108463544e-05,0.0007551525303583653
40,40,40,38,942.7641702853524,2.471756596794661e-05,1.6478377311964408e-05,0.0014871398121055705,0.0009745599759442747,-1.08185480247186e-06,0.00013721989096508792,9.219483108463544e-05,0.0007551525303583653
41,41,41,41,942.7398936279682,2.404809644768191e-05,1.6032064298454607e-05,0.0014864865706076464,0.0009736728416399245,-1.7596001011879747e-06,0.00013725399857900838,9.13964798232858e-05,0.0007540740309501786
42,42,42,41,942.7398936279682,2.404809644768191e-05,1.6032064298454607e-05,0.0014864865706076464,0.0009736728416399245,-1.7596001011879747e-06,0.00013725399857900838,9.13964798232858e-05,0.0007540740309501786
43,43,43,41,942.7398936279682,2.404809644768191e-05,1.6032064298454607e-05,0.0014864865706076464,0.0009736728416399245,-1.7596001011879747e-06,0.00013725399857900838,9.13964798232858e-05,0.0007540740309501786
44,44,44,44,942.7362170999322,2.4047137643090633e-05,1.6031425095393757e-05,0.001486921211473196,0.0009741558745682102,-1.7194977742288065e-06,0.00013739084084959382,9.142320850965419e-05,0.0007546700607354187
45,45,45,44,942.7362170999322,2.4047137643090633e-05,1.6031425095393757e-05,0.001486921211473196,0.0009741558745682102,-1.7194977742288065e-06,0.00013739084084959382,9.142320850965419e-05,0.0007546700607354187
