iteration,nf,previous_rho,trust_region_delta,adaptive_schedule,requested_budget,scheduled_budget,shots_added,active_circuits,revealed_union_circuits,accounted_revealed_shots,total_shot_budget,remaining_shot_budget,shot_budget_exhausted,physical_precomputed_shots
0,0,,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,82474,1666000,1583526,False,82474
1,1,48.99202909406329,0.2,lazy_delta_inverse_square,0,0,0,1918,1918,82474,1666000,1583526,False,82474
2,2,-2.8056288756476273,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,82474,1666000,1583526,False,82474
3,3,-1.8241331708757542,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,82474,1666000,1583526,False,82474
4,4,0.5153725646970205,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,82474,1666000,1583526,False,82474
5,5,-1.8263433108841463,0.05,lazy_delta_inverse_square,10000,10000,10000,1918,1918,92474,1666000,1573526,False,92474
6,6,0.18242267663352324,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,92474,1666000,1573526,False,92474
7,7,-1.1327208031323586,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,92474,1666000,1573526,False,92474
8,8,0.23462075548102085,0.1,lazy_delta_inverse_square,0,0,0,1918,1918,92474,1666000,1573526,False,92474
9,9,-2.499044825590614,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,92474,1666000,1573526,False,92474
10,10,-0.08450661060868121,0.025,lazy_delta_inverse_square,10000,10000,10000,1918,1918,102474,1666000,1563526,False,102474
11,11,0.6325194634693685,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,102474,1666000,1563526,False,102474
12,12,-1.0338253714104262,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,102474,1666000,1563526,False,102474
13,13,0.3852105977346857,0.05,lazy_delta_inverse_square,0,0,0,1918,1918,102474,1666000,1563526,False,102474
14,14,-1.980992505091923,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,102474,1666000,1563526,False,102474
15,15,0.1572788808563421,0.05,lazy_delta_inverse_square,10000,10000,10000,1918,1918,112474,1666000,1553526,False,112474
16,16,-2.489652999164489,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,112474,1666000,1553526,False,112474
17,17,-0.005353633885391041,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,112474,1666000,1553526,False,112474
18,18,0.8624191908512854,0.025,lazy_delta_inverse_square,0,0,0,1918,1918,112474,1666000,1553526,False,112474
19,19,-6.8842660929714965,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,112474,1666000,1553526,False,112474
20,20,-0.6411810645367343,0.00625,lazy_delta_inverse_square,10000,10000,10000,1918,1918,122474,1666000,1543526,False,122474
21,21,0.4002118209162927,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,122474,1666000,1543526,False,122474
22,22,-1.5235919597806926,0.00625,lazy_delta_inverse_square,0,0,0,1918,1918,122474,1666000,1543526,False,122474
23,23,0.4977417402597169,0.0125,lazy_delta_inverse_square,0,0,0,1918,1918,122474,1666000,1543526,False,122474
24,24,-3.736451088030861,0.00625,lazy_delta_inverse_square,0,0,0,1918,1918,122474,1666000,1543526,False,122474
25,25,0.12817314876554756,0.0125,lazy_delta_inverse_square,10000,10000,10000,1918,1918,132474,1666000,1533526,False,132474
26,26,-3.3860471821433387,0.00625,lazy_delta_inverse_square,0,0,0,1918,1918,132474,1666000,1533526,False,132474
27,27,0.045305863999081826,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,132474,1666000,1533526,False,132474
28,28,0.8093730766651321,0.00625,lazy_delta_inverse_square,0,0,0,1918,1918,132474,1666000,1533526,False,132474
29,29,-5.958743428800051,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,132474,1666000,1533526,False,132474
30,30,-0.09240956650947856,0.0015625,lazy_delta_inverse_square,10000,10000,10000,1918,1918,142474,1666000,1523526,False,142474
31,31,0.8319726597859788,0.003125,lazy_delta_inverse_square,0,0,0,1918,1918,142474,1666000,1523526,False,142474
32,32,-3.1010405733255064,0.0015625,lazy_delta_inverse_square,0,0,0,1918,1918,142474,1666000,1523526,False,142474
