phase,nf,x_index,incumbent_index,active_objective,full_objective,incumbent_active_objective,incumbent_full_objective,active_residuals,active_circuits,new_residuals_revealed,new_circuits_revealed,union_residuals_revealed,union_circuits_revealed,cumulative_eval_residuals,cumulative_eval_circuits,cumulative_shots_revealed,cumulative_eval_shots,shots_per_circuit,fpr_enabled,fpr_use_union_mask,fpr_selected_residuals,fpr_selected_circuits,fpr_new_residuals,fpr_new_circuits,fpr_union_residuals,fpr_union_circuits,delta,ng,rho,rho_active,rho_full,rho_uses_full_objective,mdec,step_norm,accepted
initial,0,0,0,48858.07990935891,762762.0377257871,48858.07990935891,762762.0377257871,336,168,336,168,336,168,336,168,336000.0,336000.0,2000.0,True,True,336,168,336,168,336,168,0.1,,,,,False,,,True
trial,1,1,1,31112.14821737745,410883.30702961097,31112.14821737745,410883.30702961097,336,168,0,0,336,168,672,336,336000.0,672000.0,2000.0,True,True,336,168,336,168,336,168,0.1,52344.25817000372,30.73939507340268,30.73939507340268,609.522199709847,False,-577.3025672628204,0.1,True
trial,2,2,1,103174.98448519828,493548.15658238553,81126.70657144877,410883.30702961097,694,347,358,179,694,347,1366,683,694000.0,1366000.0,2000.0,True,True,682,341,358,179,694,347,0.2,190587.7640435872,-0.3798767403263343,-0.3798767403263343,-1.4242587883968922,False,-58040.61047488422,0.2,False
trial,3,3,3,44745.049396154944,260743.39512098476,44745.049396154944,260743.39512098476,694,347,0,0,694,347,2060,1030,694000.0,2060000.0,2000.0,True,True,682,341,358,179,694,347,0.1,190587.7640435872,0.6831433033242026,0.6831433033242026,2.8191974567809206,False,-53256.259701674935,0.1,True
trial,4,4,3,112118.44197795537,522934.87795034016,56102.59098642073,260743.39512098476,862,431,168,84,862,431,2922,1461,862000.0,2922000.0,2000.0,True,True,502,251,168,84,862,431,0.2,1054446.1322759835,-1.597928283811984,-1.597928283811984,-7.479368406827321,False,-35055.29726146684,0.2,False
trial,5,5,5,56050.14295739787,254922.87191380077,56050.14295739787,254922.87191380077,862,431,0,0,862,431,3784,1892,862000.0,3784000.0,2000.0,True,True,502,251,168,84,862,431,0.1,1054446.1322759835,0.0016054976602790107,0.0016054976602790107,0.17817326150922622,False,-32667.77044928588,0.1,True
trial,6,6,6,49674.472606545416,193453.35924585725,49674.472606545416,193453.35924585725,1104,552,242,121,1104,552,4888,2444,1104000.0,4888000.0,2000.0,True,True,682,341,242,121,1104,552,0.05,491088.95785263577,0.4814741044564251,0.4814741044564251,1.419707834927011,False,-43297.29762398878,0.05,True
trial,7,7,7,55989.03836231784,186102.38829178963,55989.03836231784,186102.38829178963,1232,616,128,64,1232,616,6120,3060,1232000.0,6120000.0,2000.0,True,True,684,342,128,64,1232,616,0.1,391140.4965966295,0.13699918745620368,0.13699918745620368,0.17216427345006602,False,-42697.423842698,0.1,True
trial,8,8,7,181833.74961510205,480344.8373050007,64536.809547508536,186102.38829178963,1336,668,104,52,1336,668,7456,3728,1336000.0,7456000.0,2000.0,True,True,682,341,104,52,1336,668,0.2,473609.15837064036,-2.5827713624277964,-2.5827713624277964,-6.478949668115875,False,-45415.14660335043,0.2,False
trial,9,9,7,112370.69146923676,306651.0874304824,64536.809547508536,186102.38829178963,1336,668,0,0,1336,668,8792,4396,1336000.0,8792000.0,2000.0,True,True,682,341,104,52,1336,668,0.1,473609.15837064036,-1.0858395176591982,-1.0858395176591982,-2.7364816750894527,False,-44052.44158441227,0.1,False
trial,10,10,10,51160.80535448731,138890.55683140946,51160.80535448731,138890.55683140946,1336,668,0,0,1336,668,10128,5064,1336000.0,10128000.0,2000.0,True,True,682,341,104,52,1336,668,0.05,473609.15837064036,0.3242201563076595,0.3242201563076595,1.1443647261744727,False,-41255.930369512396,0.05,True
trial,11,11,10,95940.00506145548,246162.16378938511,55025.63334496682,138890.55683140946,1462,731,126,63,1462,731,11590,5795,1462000.0,11590000.0,2000.0,True,True,688,344,126,63,1462,731,0.1,525556.1705965392,-1.055054508595858,-1.055054508595858,-2.7662014059407904,False,-38779.39138039458,0.1,False
trial,12,12,12,52002.876829766756,142218.6513772237,52002.876829766756,142218.6513772237,1462,731,0,0,1462,731,13052,6526,1462000.0,13052000.0,2000.0,True,True,688,344,126,63,1462,731,0.05,525556.1705965392,0.08078172267715356,0.08078172267715356,-0.08894173556202535,False,-37418.81721538166,0.05,True
trial,13,13,12,70967.33563948372,162077.28386787174,62015.50604671503,142218.6513772237,1504,752,42,21,1504,752,14556,7278,1504000.0,14556000.0,2000.0,True,True,684,342,42,21,1504,752,0.1,646488.3856508927,-0.18427153823479542,-0.18427153823479542,-0.40878579271071697,False,-48579.55644437302,0.1,False
trial,14,14,14,53895.5871433942,122928.49498914275,53895.5871433942,122928.49498914275,1504,752,0,0,1504,752,16060,8030,1504000.0,16060000.0,2000.0,True,True,684,342,42,21,1504,752,0.05,646488.3856508927,0.1738243245341971,0.1738243245341971,0.4129472774593683,False,-46713.363765859875,0.05,True
trial,15,15,14,73532.89851552321,165583.42231970618,54744.15895806761,122928.49498914275,1534,767,30,15,1534,767,17594,8797,1534000.0,17594000.0,2000.0,True,True,684,342,30,15,1534,767,0.1,515769.8811563076,-0.5652394140032795,-0.5652394140032795,-1.283228502633265,False,-33240.320989623324,0.1,False
trial,16,16,14,55782.61820713537,122070.8002390882,54744.15895806761,122928.49498914275,1534,767,0,0,1534,767,19128,9564,1534000.0,19128000.0,2000.0,True,True,684,342,30,15,1534,767,0.05,515769.8811563076,-0.03189138810593685,-0.03189138810593685,0.02634005732528205,False,-32562.37218706835,0.05,False
trial,17,17,17,34606.13693002028,74114.29694655741,34606.13693002028,74114.29694655741,1534,767,0,0,1534,767,20662,10331,1534000.0,20662000.0,2000.0,True,True,684,342,30,15,1534,767,0.025,515769.8811563076,0.6831852366016621,0.6831852366016621,1.656028551006493,False,-29476.66452544993,0.025,True
trial,18,18,17,49895.70909123718,104716.49959759333,35906.86716825728,74114.29694655741,1620,810,86,43,1620,810,22282,11141,1620000.0,22282000.0,2000.0,True,True,690,345,86,43,1620,810,0.05,827144.5898248468,-0.6248042952721621,-0.6248042952721621,-1.3668313479006966,False,-22389.157739202827,0.05,False
trial,19,19,19,22541.654163794134,45782.82970547045,22541.654163794134,45782.82970547045,1620,810,0,0,1620,810,23902,11951,1620000.0,23902000.0,2000.0,True,True,690,345,86,43,1620,810,0.025,827144.5898248468,0.6285040530779238,0.6285040530779238,1.3322976584601633,False,-21265.11824229412,0.025,True
trial,20,20,20,12867.989158943947,24610.445149398725,12867.989158943947,24610.445149398725,1664,832,44,22,1664,832,25566,12783,1664000.0,25566000.0,2000.0,True,True,684,342,44,22,1664,832,0.05,564128.6258291978,0.5978689196211353,0.5978689196211353,1.2545760301232403,False,-16876.12711203474,0.05,True
trial,21,21,20,24550.27506583317,49598.03480198051,13179.372332570338,24610.445149398725,1726,863,62,31,1726,863,27292,13646,1726000.0,27292000.0,2000.0,True,True,684,342,62,31,1726,863,0.1,1034865.1051686242,-0.9468866695490983,-0.9468866695490983,-2.0807860291496327,False,-12008.726174883832,0.1,False
trial,22,22,22,10597.267828996475,20111.62372055813,10597.267828996475,20111.62372055813,1726,863,0,0,1726,863,29018,14509,1726000.0,29018000.0,2000.0,True,True,684,342,62,31,1726,863,0.05,1034865.1051686242,0.21523320628417797,0.21523320628417797,0.3750025451290296,False,-11996.775721329186,0.05,True
trial,23,23,22,15290.39119012503,28620.868697236292,10622.97168212997,20111.62372055813,1744,872,18,9,1744,872,30762,15381,1744000.0,30762000.0,2000.0,True,True,684,342,18,9,1744,872,0.1,574932.048398186,-0.4885089789948759,-0.4885089789948759,-0.8906083047503782,False,-9554.419076591872,0.1,False
trial,24,24,24,5265.72826991836,9349.422806516288,5265.72826991836,9349.422806516288,1744,872,0,0,1744,872,32506,16253,1744000.0,32506000.0,2000.0,True,True,684,342,18,9,1744,872,0.05,574932.048398186,0.5612784839721088,0.5612784839721088,1.127555973930058,False,-9544.715440183922,0.05,True
