sequence_index,iteration,nf,incumbent_index,incumbent_full_objective,mean_gate_entanglement_infidelity_to_truth,mean_gate_average_infidelity_to_truth,mean_spam_vector_l2_error_to_truth,mean_gate_diamond_distance_to_truth
0,0,0,0,192159.7202919371,0.00227342297002206,0.00151561531334804,0.00697710335423951,0.015113464757287046
1,1,1,1,103222.13524759989,0.04202625425280501,0.028017502835203344,0.0806133684233404,0.15102984195369473
2,2,2,1,103222.13524759989,0.04202625425280501,0.028017502835203344,0.0806133684233404,0.15102984195369473
3,3,3,3,63997.05521793595,0.034289319512649574,0.022859546341766384,0.08935542649180528,0.13852368630304643
4,4,4,4,64723.1189171911,0.026072114102124788,0.017381409401416525,0.07903903861486902,0.13364064515423202
5,5,5,4,64723.1189171911,0.026072114102124788,0.017381409401416525,0.07903903861486902,0.13364064515423202
6,6,6,4,64723.1189171911,0.026072114102124788,0.017381409401416525,0.07903903861486902,0.13364064515423202
7,7,7,4,64723.1189171911,0.026072114102124788,0.017381409401416525,0.07903903861486902,0.13364064515423202
8,8,8,8,55739.70725194561,0.02649103811737441,0.017660692078249607,0.03364639473313875,0.11782903311156892
9,9,9,8,55739.70725194561,0.02649103811737441,0.017660692078249607,0.03364639473313875,0.11782903311156892
10,10,10,10,48789.15527630609,0.02789391708370323,0.01859594472246882,0.016794177100878327,0.09971367869077494
11,11,11,10,48789.15527630609,0.02789391708370323,0.01859594472246882,0.016794177100878327,0.09971367869077494
12,12,12,12,39676.07337850184,0.013939640054577457,0.009293093369718305,0.01431375289769065,0.0762614403980539
13,13,13,12,39676.07337850184,0.013939640054577457,0.009293093369718305,0.01431375289769065,0.0762614403980539
14,14,14,12,39676.07337850184,0.013939640054577457,0.009293093369718305,0.01431375289769065,0.0762614403980539
15,15,15,15,24206.266968050517,0.01281499043989931,0.008543326959932873,0.023924982517255194,0.04803975834379647
16,16,16,15,24206.266968050517,0.01281499043989931,0.008543326959932873,0.023924982517255194,0.04803975834379647
17,17,17,17,14347.434601170135,0.006522720537926324,0.00434848035861755,0.014285450368700164,0.02650100180300545
18,18,18,17,14347.434601170135,0.006522720537926324,0.00434848035861755,0.014285450368700164,0.02650100180300545
19,19,19,19,12552.599929718472,0.003574945838219129,0.0023832972254794194,0.004193138976497324,0.018901691380189073
20,20,20,19,12552.599929718472,0.003574945838219129,0.0023832972254794194,0.004193138976497324,0.018901691380189073
21,21,21,21,9500.23846092188,0.004426943664765287,0.0029512957765101913,0.006311628572221413,0.016416945734281454
22,22,22,21,9500.23846092188,0.004426943664765287,0.0029512957765101913,0.006311628572221413,0.016416945734281454
23,23,23,21,9500.23846092188,0.004426943664765287,0.0029512957765101913,0.006311628572221413,0.016416945734281454
24,24,24,24,4944.30690704119,0.002739686687008386,0.001826457791338924,0.0025774603781236857,0.009088884164376447
25,25,25,24,4944.30690704119,0.002739686687008386,0.001826457791338924,0.0025774603781236857,0.009088884164376447
26,26,26,26,5040.853983667531,0.0022003841161701843,0.001466922744113456,0.004049455453089262,0.00829899525973776
27,27,27,26,5040.853983667531,0.0022003841161701843,0.001466922744113456,0.004049455453089262,0.00829899525973776
28,28,28,28,3896.3154050468147,0.0016342461907546124,0.0010894974605030747,0.001424855061871003,0.006617548167968574
29,29,29,29,3844.530277902888,0.001380369089947625,0.0009202460599650834,0.0037220975037068637,0.006953169032883689
30,30,30,30,3608.06490500195,0.0017680386754595212,0.0011786924503063474,0.002570172087598533,0.007360034192841838
31,31,31,31,2203.685408909495,0.000537871195714662,0.000358580797143108,0.004171579720830149,0.0046268361075792845
32,32,32,31,2203.685408909495,0.000537871195714662,0.000358580797143108,0.004171579720830149,0.0046268361075792845
33,33,33,33,1691.9481740278948,0.0007770688340985321,0.0005180458893990214,0.0021534065553284257,0.003601446209918478
34,34,34,33,1691.9481740278948,0.0007770688340985321,0.0005180458893990214,0.0021534065553284257,0.003601446209918478
35,35,35,35,1167.407052895005,0.00037171147940845417,0.00024780765293896945,0.0023374058423151056,0.002912185680238456
36,36,36,35,1167.407052895005,0.00037171147940845417,0.00024780765293896945,0.0023374058423151056,0.002912185680238456
37,37,37,35,1167.407052895005,0.00037171147940845417,0.00024780765293896945,0.0023374058423151056,0.002912185680238456
38,38,38,38,992.6006623432958,0.0002780383555119892,0.00018535890367465946,0.0024496579891424386,0.002294819601112874
39,39,39,38,992.6006623432958,0.0002780383555119892,0.00018535890367465946,0.0024496579891424386,0.002294819601112874
40,40,40,38,992.6006623432958,0.0002780383555119892,0.00018535890367465946,0.0024496579891424386,0.002294819601112874
41,41,41,41,958.4583650774205,0.0002745604513717248,0.0001830403009144832,0.0021017469450699713,0.0021714977373016625
42,42,42,41,958.4583650774205,0.0002745604513717248,0.0001830403009144832,0.0021017469450699713,0.0021714977373016625
43,43,43,41,958.4583650774205,0.0002745604513717248,0.0001830403009144832,0.0021017469450699713,0.0021714977373016625
44,44,44,44,934.9641027764949,0.0002455062283264198,0.00016367081888427987,0.0019607825610054278,0.0020780179770921964
45,45,45,44,934.9641027764949,0.0002455062283264198,0.00016367081888427987,0.0019607825610054278,0.0020780179770921964
