sequence_index,iteration,nf,incumbent_index,incumbent_full_objective,mean_gate_entanglement_infidelity_to_truth,mean_gate_average_infidelity_to_truth,mean_spam_vector_l2_error_to_truth,mean_gate_diamond_distance_to_truth
0,0,0,0,133250.10264087326,0.00227342297002206,0.00151561531334804,0.00697710335423951,0.015113464757287046
1,1,1,1,76289.98088277702,0.04196555170747543,0.027977034471650286,0.09164538259418721,0.158139622058532
2,2,2,1,76289.98088277702,0.04196555170747543,0.027977034471650286,0.09164538259418721,0.158139622058532
3,3,3,3,55080.4966626191,0.038939314681298104,0.025959543120865403,0.1642318191938548,0.15545196039078654
4,4,4,3,55080.4966626191,0.038939314681298104,0.025959543120865403,0.1642318191938548,0.15545196039078654
5,5,5,5,47902.16658701167,0.025085651632402173,0.016723767754934782,0.0469820699057265,0.12372750261000062
6,6,6,5,48679.90944243255,0.025085651632402173,0.016723767754934782,0.0469820699057265,0.12372750261000062
7,7,7,5,48679.90944243255,0.025085651632402173,0.016723767754934782,0.0469820699057265,0.12372750261000062
8,8,8,8,37855.268446356145,0.02712493871531607,0.018083292476877382,0.031921646864262555,0.12013023871862073
9,9,9,8,37855.268446356145,0.02712493871531607,0.018083292476877382,0.031921646864262555,0.12013023871862073
10,10,10,10,27521.08686116051,0.017428516624843043,0.011619011083228695,0.01925822025671744,0.07865395118389562
11,11,11,10,27805.7365352042,0.017428516624843043,0.011619011083228695,0.01925822025671744,0.07865395118389562
12,12,12,12,22948.633732663344,0.010948996209394601,0.007299330806263068,0.020194331917446448,0.06386206712215611
13,13,13,12,22948.633732663344,0.010948996209394601,0.007299330806263068,0.020194331917446448,0.06386206712215611
14,14,14,14,22932.48504119108,0.014008737252992481,0.009339158168661654,0.011145222326457697,0.05629217642611728
15,15,15,14,22932.48504119108,0.014008737252992481,0.009339158168661654,0.011145222326457697,0.05629217642611728
16,16,16,16,17901.08682099288,0.008905446565737357,0.005936964377158238,0.01788774861518625,0.04704349316610967
17,17,17,16,17901.08682099288,0.008905446565737357,0.005936964377158238,0.01788774861518625,0.04704349316610967
18,18,18,18,15886.287929386963,0.010024131577667544,0.006682754385111697,0.012303629207127534,0.037275122175337815
19,19,19,18,15886.287929386963,0.010024131577667544,0.006682754385111697,0.012303629207127534,0.037275122175337815
20,20,20,20,13353.952240676364,0.0072164364887949695,0.004810957659196646,0.010562521716330436,0.029224061455798582
21,21,21,21,9580.752137179275,0.0060424840990896955,0.004028322732726464,0.009822726833323178,0.02644749486923439
22,22,22,21,9580.752137179275,0.0060424840990896955,0.004028322732726464,0.009822726833323178,0.02644749486923439
