sequence_index,iteration,nf,incumbent_index,incumbent_full_objective,mean_gate_entanglement_infidelity_to_truth,mean_gate_average_infidelity_to_truth,mean_spam_vector_l2_error_to_truth,mean_gate_diamond_distance_to_truth
0,0,0,0,43327.97024886901,0.00227342297002206,0.00151561531334804,0.00697710335423951,0.015113464757287046
1,1,1,1,12192.771036226182,0.015074655281552968,0.010049770187701978,0.018391645191055322,0.05979049390525938
2,2,2,1,12192.771036226182,0.015074655281552968,0.010049770187701978,0.018391645191055322,0.05979049390525938
3,3,3,3,11736.181831450001,0.02040261936946175,0.013601746246307833,0.053328439844947284,0.06909906291438847
4,4,4,3,11736.181831450001,0.02040261936946175,0.013601746246307833,0.053328439844947284,0.06909906291438847
5,5,5,3,11736.181831450001,0.02040261936946175,0.013601746246307833,0.053328439844947284,0.06909906291438847
6,6,6,6,6418.213067512359,0.004778688281906973,0.0031857921879379822,0.02680364001476333,0.048331193630740746
7,7,7,6,6418.213067512359,0.004778688281906973,0.0031857921879379822,0.02680364001476333,0.048331193630740746
8,8,8,6,6418.213067512359,0.004778688281906973,0.0031857921879379822,0.02680364001476333,0.048331193630740746
9,9,9,9,4129.131287697645,0.004420871274542604,0.0029472475163617355,0.008598338859078401,0.03083783849381682
10,10,10,10,4041.473339243851,0.0038575846253900425,0.0025717230835933616,0.008177349294259307,0.020183946383873722
11,11,11,11,1759.2899077745637,0.0009050022165187077,0.0006033348110124719,0.006137273367508143,0.008400440626133961
12,12,12,11,1759.2899077745637,0.0009050022165187077,0.0006033348110124719,0.006137273367508143,0.008400440626133961
13,13,13,13,1525.4323011549027,0.0008528463124063135,0.0005685642082708757,0.006377821562369977,0.006570196243017925
14,14,14,13,1525.4323011549027,0.0008528463124063135,0.0005685642082708757,0.006377821562369977,0.006570196243017925
15,15,15,15,1282.8922854749849,0.0006446491241593744,0.0004297660827729163,0.0053491640279690125,0.004500240405197956
16,16,16,15,1450.508074328639,0.0006446491241593744,0.0004297660827729163,0.0053491640279690125,0.004500240405197956
17,17,17,15,1450.508074328639,0.0006446491241593744,0.0004297660827729163,0.0053491640279690125,0.004500240405197956
18,18,18,18,1063.2101638504362,0.0003786185202709902,0.00025241234684732683,0.00669247119789012,0.0027484485036114244
19,19,19,18,1063.2101638504362,0.0003786185202709902,0.00025241234684732683,0.00669247119789012,0.0027484485036114244
20,20,20,18,1063.2101638504362,0.0003786185202709902,0.00025241234684732683,0.00669247119789012,0.0027484485036114244
21,21,21,21,965.8502022781735,0.00029412918993831916,0.00019608612662554611,0.006731196380970836,0.0025835882766982064
22,22,22,21,965.8502022781735,0.00029412918993831916,0.00019608612662554611,0.006731196380970836,0.0025835882766982064
23,23,23,23,965.2401403294614,0.0003545553264541479,0.00023637021763609856,0.006235463676820979,0.002531973814342882
24,24,24,24,945.5212529892924,0.0003606024429296806,0.00024040162861978706,0.006387919066946356,0.0023999497012421687
25,25,25,24,945.5212529892924,0.0003606024429296806,0.00024040162861978706,0.006387919066946356,0.0023999497012421687
26,26,26,26,949.6423922313897,0.0002180489063647595,0.00014536593757650634,0.006173698974946869,0.0021006465581562407
27,27,27,26,949.6423922313897,0.0002180489063647595,0.00014536593757650634,0.006173698974946869,0.0021006465581562407
28,28,28,26,949.6423922313897,0.0002180489063647595,0.00014536593757650634,0.006173698974946869,0.0021006465581562407
29,29,29,29,945.9644989399303,0.0001957148969075062,0.00013047659793833746,0.006173940508981156,0.002066546438287721
30,30,30,29,945.9644989399303,0.0001957148969075062,0.00013047659793833746,0.006173940508981156,0.002066546438287721
31,31,31,31,948.4992550738276,0.00015987110158088846,0.00010658073438725898,0.006211884476771318,0.0019873901512592667
32,32,32,31,948.4992550738276,0.00015987110158088846,0.00010658073438725898,0.006211884476771318,0.0019873901512592667
33,33,33,33,947.2203239315951,0.00014691618519638294,9.79441234642553e-05,0.00621206205796276,0.001983159384731296
34,34,34,33,947.2203239315951,0.00014691618519638294,9.79441234642553e-05,0.00621206205796276,0.001983159384731296
35,35,35,33,947.2203239315951,0.00014691618519638294,9.79441234642553e-05,0.00621206205796276,0.001983159384731296
36,36,36,36,946.5573668261403,0.00014521258898170242,9.680839265446828e-05,0.006007288898554804,0.0019808153433962875
37,37,37,36,946.5573668261403,0.00014521258898170242,9.680839265446828e-05,0.006007288898554804,0.0019808153433962875
38,38,38,38,946.3605178308866,0.0001420549627932921,9.47033085288614e-05,0.0059728969902781,0.0019479482665758076
39,39,39,38,946.3605178308866,0.0001420549627932921,9.47033085288614e-05,0.0059728969902781,0.0019479482665758076
40,40,40,40,946.2958627772721,0.00014665039246433698,9.776692830955799e-05,0.005930833375038853,0.001935731239161677
41,41,41,41,947.3787867433443,0.0001482094203900386,9.880628026002572e-05,0.005192495304876613,0.002224246993082483
42,42,42,41,947.3787867433443,0.0001482094203900386,9.880628026002572e-05,0.005192495304876613,0.002224246993082483
43,43,43,41,947.3787867433443,0.0001482094203900386,9.880628026002572e-05,0.005192495304876613,0.002224246993082483
44,44,44,44,946.782950167144,0.00014722945369893825,9.81529691326255e-05,0.005194284673821375,0.002257974487862248
45,45,45,44,946.782950167144,0.00014722945369893825,9.81529691326255e-05,0.005194284673821375,0.002257974487862248
46,46,46,46,946.1391816034012,0.0001407757265973475,9.385048439823165e-05,0.005187202633405327,0.002303583480091114
47,47,47,46,946.1391816034012,0.0001407757265973475,9.385048439823165e-05,0.005187202633405327,0.002303583480091114
48,48,48,48,946.0353480059838,0.00013422658613881921,8.94843907592128e-05,0.005190475017856146,0.0023033809402141885
49,49,49,48,946.0353480059838,0.00013422658613881921,8.94843907592128e-05,0.005190475017856146,0.0023033809402141885
50,50,50,48,946.0353480059838,0.00013422658613881921,8.94843907592128e-05,0.005190475017856146,0.0023033809402141885
51,51,51,51,946.6087314095128,0.00013170714669788475,8.78047644652565e-05,0.0052827322567710715,0.002190664721857035
52,52,52,52,946.5831456627609,0.0001298529244420643,8.656861629470954e-05,0.005214269409301614,0.002160852174015105
53,53,53,52,946.5831456627609,0.0001298529244420643,8.656861629470954e-05,0.005214269409301614,0.002160852174015105
54,54,54,54,946.4876419377882,0.00012511785729699132,8.341190486466088e-05,0.005212360593440568,0.0021415351711223775
55,55,55,54,946.4876419377882,0.00012511785729699132,8.341190486466088e-05,0.005212360593440568,0.0021415351711223775
56,56,56,56,946.7842886854361,0.00012024788008607734,8.016525339071823e-05,0.005106784643097011,0.0020293095191164894
57,57,57,56,946.7842886854361,0.00012024788008607734,8.016525339071823e-05,0.005106784643097011,0.0020293095191164894
58,58,58,56,946.7842886854361,0.00012024788008607734,8.016525339071823e-05,0.005106784643097011,0.0020293095191164894
59,59,59,59,946.7138823226524,0.00011810107675397363,7.873405116931576e-05,0.0051078767459439055,0.002014924269274369
60,60,60,59,946.7138823226524,0.00011810107675397363,7.873405116931576e-05,0.0051078767459439055,0.002014924269274369
61,61,61,61,945.6485422068295,0.00011951748010358143,7.967832006905429e-05,0.004854354807041738,0.0019763547785148945
62,62,62,61,945.6485422068295,0.00011951748010358143,7.967832006905429e-05,0.004854354807041738,0.0019763547785148945
63,63,63,63,945.5663895930269,0.00012314092206131,8.209394804087333e-05,0.00481964187919908,0.0019826507385549835
64,64,64,63,945.5663895930269,0.00012314092206131,8.209394804087333e-05,0.00481964187919908,0.0019826507385549835
65,65,65,65,945.4941978790058,0.00012703698582386402,8.469132388257602e-05,0.004806272160986323,0.00199014471287075
66,66,66,66,940.2594094463138,0.00013739809249466162,9.159872832977442e-05,0.00485792490195984,0.0020267883066524446
67,67,67,66,940.2594094463138,0.00013739809249466162,9.159872832977442e-05,0.00485792490195984,0.0020267883066524446
68,68,68,68,940.1160622391366,0.000147205950876389,9.813730058425932e-05,0.004819007121135495,0.0020372907926522912
69,69,69,68,940.1160622391366,0.000147205950876389,9.813730058425932e-05,0.004819007121135495,0.0020372907926522912
70,70,70,70,940.1111861955478,0.00015647530597914794,0.00010431687065276529,0.004806960829200951,0.002047173985391985
71,71,71,71,941.9608815039179,0.00015005842837872985,0.00010003895225248656,0.004692785316667,0.0020072091862765136
72,72,72,72,941.85015462508,0.0001485658434381698,9.904389562544655e-05,0.004689417110876574,0.001968626458122483
73,73,73,72,941.85015462508,0.0001485658434381698,9.904389562544655e-05,0.004689417110876574,0.001968626458122483
74,74,74,74,941.8149751665032,0.00015083660732326254,0.00010055773821550837,0.004636512999152608,0.001937268796526624
75,75,75,74,941.8149751665032,0.00015083660732326254,0.00010055773821550837,0.004636512999152608,0.001937268796526624
76,76,76,76,939.7113498488302,0.00014903255812317995,9.935503874878662e-05,0.004941170490311979,0.0017988853475585098
77,77,77,76,939.7113498488302,0.00014903255812317995,9.935503874878662e-05,0.004941170490311979,0.0017988853475585098
78,78,78,78,939.5243860713656,0.00014526964420380484,9.684642946920322e-05,0.0048835244044758966,0.0017433855102031402
79,79,79,78,939.5243860713656,0.00014526964420380484,9.684642946920322e-05,0.0048835244044758966,0.0017433855102031402
80,80,80,80,939.4774939442373,0.0001444543879143556,9.630292527623707e-05,0.0048316764308798275,0.0016943845416421837
81,81,81,80,941.3901268527009,0.0001444543879143556,9.630292527623707e-05,0.0048316764308798275,0.0016943845416421837
82,82,82,82,940.409394648728,0.00015052050624159152,0.00010034700416106102,0.00447134277648397,0.0016804425688784351
83,83,83,82,940.409394648728,0.00015052050624159152,0.00010034700416106102,0.00447134277648397,0.0016804425688784351
84,84,84,84,940.3788430164725,0.0001549903563914934,0.00010332690426099558,0.004460337538825628,0.0016498185840199068
85,85,85,84,940.3788430164725,0.0001549903563914934,0.00010332690426099558,0.004460337538825628,0.0016498185840199068
86,86,86,86,939.8896824287444,0.00014116539420030993,9.411026280020662e-05,0.004097464472989298,0.0016478557270281843
87,87,87,86,939.8896824287444,0.00014116539420030993,9.411026280020662e-05,0.004097464472989298,0.0016478557270281843
