phase,nf,x_index,incumbent_index,active_objective,full_objective,incumbent_active_objective,incumbent_full_objective,active_residuals,active_circuits,new_residuals_revealed,new_circuits_revealed,union_residuals_revealed,union_circuits_revealed,cumulative_eval_residuals,cumulative_eval_circuits,cumulative_shots_revealed,cumulative_eval_shots,shots_per_circuit,fpr_enabled,fpr_use_union_mask,fpr_selected_residuals,fpr_selected_circuits,fpr_new_residuals,fpr_new_circuits,fpr_union_residuals,fpr_union_circuits,delta,ng,rho,rho_active,rho_full,rho_uses_full_objective,mdec,step_norm,accepted
initial,0,0,0,43984.47859663584,43984.47859663584,43984.47859663584,43984.47859663584,3836,1918,3836,1918,3836,1918,3836,1918,218652.0,218652.0,114.0,False,True,3836,1918,3836,1918,3836,1918,0.1,,,,,False,,,True
trial,1,1,1,8712.700805403618,8712.700805403618,8712.700805403618,8712.700805403618,3836,1918,0,0,3836,1918,7672,3836,218652.0,218652.0,114.0,False,True,3836,1918,0,0,3836,1918,0.1,134945.95325574855,45.56104758281834,45.56104758281834,45.56104758281834,False,-774.1652060812944,0.09997881906634898,True
trial,2,2,1,21838.52618560898,21838.52618560898,8712.700805403618,8712.700805403618,3836,1918,0,0,3836,1918,11508,5754,218652.0,218652.0,114.0,False,True,3836,1918,0,0,3836,1918,0.2,77046.2623742199,-1.8814723381188987,-1.8814723381188987,-1.8814723381188987,False,-6976.358415839692,0.2,False
trial,3,3,1,16118.489870855867,16118.489870855867,8712.700805403618,8712.700805403618,3836,1918,0,0,3836,1918,15344,7672,218652.0,218652.0,114.0,False,True,3836,1918,0,0,3836,1918,0.1,77046.2623742199,-1.0638527134471945,-1.0638527134471945,-1.0638527134471945,False,-6961.2917012312,0.1,False
trial,4,4,4,4004.594044315841,4004.594044315841,4004.594044315841,4004.594044315841,3836,1918,0,0,3836,1918,19180,9590,218652.0,218652.0,114.0,False,True,3836,1918,0,0,3836,1918,0.05,77046.2623742199,0.6862654788602562,0.6862654788602562,0.6862654788602562,False,-6860.474417140957,0.05,True
trial,5,5,4,12895.124462510317,12895.124462510317,4004.594044315841,4004.594044315841,3836,1918,0,0,3836,1918,23016,11508,218652.0,218652.0,114.0,False,True,3836,1918,0,0,3836,1918,0.1,108006.66378231724,-3.315148779994444,-3.315148779994444,-3.315148779994444,False,-2681.7892674516333,0.1,False
trial,6,6,4,7082.895860193233,7082.895860193233,4480.5816668606185,4480.5816668606185,3836,1918,0,0,3836,1918,26852,13426,228585.0,228585.0,119.17883211678833,False,True,3836,1918,0,0,3836,1918,0.05,116261.07433146233,-0.8435589566568256,-0.8435589566568256,-0.8435589566568256,False,-3084.9227227057713,0.05,False
trial,7,7,7,2837.133092718979,2837.133092718979,2837.133092718979,2837.133092718979,3836,1918,0,0,3836,1918,30688,15344,228585.0,228585.0,119.17883211678833,False,True,3836,1918,0,0,3836,1918,0.025,116261.07433146233,0.5906256646771619,0.5906256646771619,0.5906256646771619,False,-2782.555300978928,0.025,True
trial,8,8,7,6036.215092514391,6036.215092514391,2837.133092718979,2837.133092718979,3836,1918,0,0,3836,1918,34524,17262,228585.0,228585.0,119.17883211678833,False,True,3836,1918,0,0,3836,1918,0.05,58517.656868414844,-1.7193737106271296,-1.7193737106271296,-1.7193737106271296,False,-1860.6088833523975,0.05,False
trial,9,9,9,1601.9088794669224,1601.9088794669224,1601.9088794669224,1601.9088794669224,3836,1918,0,0,3836,1918,38360,19180,228585.0,228585.0,119.17883211678833,False,True,3836,1918,0,0,3836,1918,0.025,58517.656868414844,0.6718670677579422,0.6718670677579422,0.6718670677579422,False,-1838.4949531371858,0.025,True
trial,10,10,9,2885.2695987300162,2885.2695987300162,1601.9088794669224,1601.9088794669224,3836,1918,0,0,3836,1918,42196,21098,228585.0,228585.0,119.17883211678833,False,True,3836,1918,0,0,3836,1918,0.05,45602.34390383526,-1.9396081701185806,-1.9396081701185806,-1.9396081701185806,False,-661.6597821325087,0.05,False
trial,11,11,9,2153.761251063821,2153.761251063821,1678.6134716714043,1678.6134716714043,3836,1918,0,0,3836,1918,46032,23016,238527.0,238527.0,124.36235662148071,False,True,3836,1918,0,0,3836,1918,0.025,63508.94543088357,-0.6452704422435612,-0.6452704422435612,-0.6452704422435612,False,-736.3544775743335,0.025,False
trial,12,12,12,1197.285344572573,1197.285344572573,1197.285344572573,1197.285344572573,3836,1918,0,0,3836,1918,49868,24934,238527.0,238527.0,124.36235662148071,False,True,3836,1918,0,0,3836,1918,0.0125,63508.94543088357,0.6579694915038783,0.6579694915038783,0.6579694915038783,False,-731.535630928253,0.0125,True
trial,13,13,12,1895.3010543319774,1895.3010543319774,1197.285344572573,1197.285344572573,3836,1918,0,0,3836,1918,53704,26852,238527.0,238527.0,124.36235662148071,False,True,3836,1918,0,0,3836,1918,0.025,26580.654780658973,-2.7289715951827027,-2.7289715951827027,-2.7289715951827027,False,-255.77976369983904,0.025,False
trial,14,14,14,1067.8604413581425,1067.8604413581425,1067.8604413581425,1067.8604413581425,3836,1918,0,0,3836,1918,57540,28770,238527.0,238527.0,124.36235662148071,False,True,3836,1918,0,0,3836,1918,0.0125,26580.654780658973,0.5089436547977203,0.5089436547977203,0.5089436547977203,False,-254.30104490814497,0.0125,True
trial,15,15,14,1582.545538983655,1582.545538983655,1067.8604413581425,1067.8604413581425,3836,1918,0,0,3836,1918,61376,30688,238527.0,238527.0,124.36235662148071,False,True,3836,1918,0,0,3836,1918,0.025,20939.860822949817,-4.027577490315944,-4.027577490315944,-4.027577490315944,False,-127.79024087383553,0.025,False
trial,16,16,16,1056.5672757538632,1056.5672757538632,1056.5672757538632,1056.5672757538632,3836,1918,0,0,3836,1918,65212,32606,248253.0,248253.0,129.4332638164755,False,True,3836,1918,0,0,3836,1918,0.0125,28462.764756032626,0.06754901393125927,0.06754901393125927,0.06754901393125927,False,-129.63043400402026,0.0125,True
trial,17,17,16,1392.270651587929,1392.270651587929,1056.5672757538632,1056.5672757538632,3836,1918,0,0,3836,1918,69048,34524,248253.0,248253.0,129.4332638164755,False,True,3836,1918,0,0,3836,1918,0.025,17217.35314880347,-2.731415503461799,-2.731415503461799,-2.731415503461799,False,-122.90454359968118,0.025,False
trial,18,18,18,1051.7650215626854,1051.7650215626854,1051.7650215626854,1051.7650215626854,3836,1918,0,0,3836,1918,72884,36442,248253.0,248253.0,129.4332638164755,False,True,3836,1918,0,0,3836,1918,0.0125,17217.35314880347,0.03953901569456301,0.03953901569456301,0.03953901569456301,False,-121.45608854491884,0.0125,True
trial,19,19,19,963.0243525284542,963.0243525284542,963.0243525284542,963.0243525284542,3836,1918,0,0,3836,1918,76720,38360,248253.0,248253.0,129.4332638164755,False,True,3836,1918,0,0,3836,1918,0.00625,17504.68544367,0.8080372141199142,0.8080372141199142,0.8080372141199142,False,-109.82250258224117,0.00625,True
trial,20,20,19,1206.1999368393065,1206.1999368393065,963.0243525284542,963.0243525284542,3836,1918,0,0,3836,1918,80556,40278,248253.0,248253.0,129.4332638164755,False,True,3836,1918,0,0,3836,1918,0.0125,8047.01166486849,-9.144813324165472,-9.144813324165472,-9.144813324165472,False,-26.59164005767649,0.0125,False
trial,21,21,19,980.8865088999446,980.8865088999446,964.3829477410986,964.3829477410986,3836,1918,0,0,3836,1918,84392,42196,258253.0,258253.0,134.64702815432742,False,True,3836,1918,0,0,3836,1918,0.00625,14608.400943936518,-0.6370802185637544,-0.6370802185637544,-0.6370802185637544,False,-25.904997012859553,0.00625,False
trial,22,22,22,944.941657985636,944.941657985636,944.941657985636,944.941657985636,3836,1918,0,0,3836,1918,88228,44114,258253.0,258253.0,134.64702815432742,False,True,3836,1918,0,0,3836,1918,0.003125,14608.400943936518,0.7982095533633801,0.7982095533633801,0.7982095533633801,False,-24.35612261660333,0.003125,True
trial,23,23,22,968.870675536125,968.870675536125,944.941657985636,944.941657985636,3836,1918,0,0,3836,1918,92064,46032,258253.0,258253.0,134.64702815432742,False,True,3836,1918,0,0,3836,1918,0.00625,3062.003011033506,-3.732019672938039,-3.732019672938039,-3.732019672938039,False,-6.411814418880282,0.00625,False
trial,24,24,24,944.8737280844812,944.8737280844812,944.8737280844812,944.8737280844812,3836,1918,0,0,3836,1918,95900,47950,258253.0,258253.0,134.64702815432742,False,True,3836,1918,0,0,3836,1918,0.003125,3062.003011033506,0.011619397496751277,0.011619397496751277,0.011619397496751277,False,-5.846249874297793,0.003125,True
trial,25,25,25,941.7745772330111,941.7745772330111,941.7745772330111,941.7745772330111,3836,1918,0,0,3836,1918,99736,49868,258253.0,258253.0,134.64702815432742,False,True,3836,1918,0,0,3836,1918,0.0015625,3749.679843967739,0.6460388487325772,0.6460388487325772,0.6460388487325772,False,-4.797158650056593,0.0015625,True
trial,26,26,25,948.9268046394202,948.9268046394202,942.2111424036899,942.2111424036899,3836,1918,0,0,3836,1918,103572,51786,268253.0,268253.0,139.86079249217934,False,True,3836,1918,0,0,3836,1918,0.003125,11202.971733515156,-1.3379515527305645,-1.3379515527305645,-1.3379515527305645,False,-5.0193612930338185,0.003125,False
trial,27,27,27,940.6350513911681,940.6350513911681,940.6350513911681,940.6350513911681,3836,1918,0,0,3836,1918,107408,53704,268253.0,268253.0,139.86079249217934,False,True,3836,1918,0,0,3836,1918,0.0015625,11202.971733515156,0.3681594551543935,0.3681594551543935,0.3681594551543935,False,-4.281001045758474,0.0015625,True
trial,28,28,27,946.860090869727,946.860090869727,940.6350513911681,940.6350513911681,3836,1918,0,0,3836,1918,111244,55622,268253.0,268253.0,139.86079249217934,False,True,3836,1918,0,0,3836,1918,0.003125,1580.5061082732282,-1.678288020042602,-1.678288020042602,-1.678288020042602,False,-3.7091604088318832,0.003125,False
trial,29,29,29,939.3447952552783,939.3447952552783,939.3447952552783,939.3447952552783,3836,1918,0,0,3836,1918,115080,57540,268253.0,268253.0,139.86079249217934,False,True,3836,1918,0,0,3836,1918,0.0015625,1580.5061082732282,0.4286860017939811,0.4286860017939811,0.4286860017939811,False,-3.0097930198099565,0.0015625,True
trial,30,30,29,949.5083781992205,949.5083781992205,939.3447952552783,939.3447952552783,3836,1918,0,0,3836,1918,118916,59458,268253.0,268253.0,139.86079249217934,False,True,3836,1918,0,0,3836,1918,0.003125,1251.1235362701293,-5.00812207598865,-5.00812207598865,-5.00812207598865,False,-2.029419968149596,0.003125,False
trial,31,31,29,938.402492606757,938.402492606757,938.2597459003491,938.2597459003491,3836,1918,0,0,3836,1918,122752,61376,278165.0,278165.0,145.0286757038582,False,True,3836,1918,0,0,3836,1918,0.0015625,4824.206948367407,-0.04505580243717176,-0.04505580243717176,-0.04505580243717176,False,-3.1682202665680506,0.0015625,False
trial,32,32,32,936.6883669393848,936.6883669393848,936.6883669393848,936.6883669393848,3836,1918,0,0,3836,1918,126588,63294,278165.0,278165.0,145.0286757038582,False,True,3836,1918,0,0,3836,1918,0.00078125,4824.206948367407,0.6565797979299285,0.6565797979299285,0.6565797979299285,False,-2.3932794854770316,0.00078125,True
trial,33,33,32,938.3507801547753,938.3507801547753,936.6883669393848,936.6883669393848,3836,1918,0,0,3836,1918,130424,65212,278165.0,278165.0,145.0286757038582,False,True,3836,1918,0,0,3836,1918,0.0015625,1204.2908194497231,-1.1283710835072647,-1.1283710835072647,-1.1283710835072647,False,-1.4732859071710043,0.0015625,False
trial,34,34,34,936.3835289601323,936.3835289601323,936.3835289601323,936.3835289601323,3836,1918,0,0,3836,1918,134260,67130,278165.0,278165.0,145.0286757038582,False,True,3836,1918,0,0,3836,1918,0.00078125,1204.2908194497231,0.3005527089035624,0.3005527089035624,0.3005527089035624,False,-1.014257966147042,0.00078125,True
trial,35,35,34,939.0158220833891,939.0158220833891,936.3835289601323,936.3835289601323,3836,1918,0,0,3836,1918,138096,69048,278165.0,278165.0,145.0286757038582,False,True,3836,1918,0,0,3836,1918,0.0015625,967.7813361009896,-2.266818031747191,-2.266818031747191,-2.266818031747191,False,-1.161228244345665,0.0015625,False
