sequence_index,iteration,nf,incumbent_index,incumbent_full_objective,mean_gate_entanglement_infidelity_to_truth,mean_gate_average_infidelity_to_truth,mean_spam_vector_l2_error_to_truth,mean_spam_tracedist_to_truth,mean_gate_eigenvalue_nonunitarity_excess_to_truth,mean_gate_eigenvalue_diamondnorm_to_truth,mean_gate_eigenvalue_nonunitary_diamondnorm_to_truth,mean_gate_diamond_distance_to_truth
0,0,0,0,103863.17709721354,0.002273422622213639,0.0015156150814757592,0.0069771033542395085,0.004937894532976495,-0.003850330725303386,0.008134373632380808,0.004513942584111835,0.015113464757287321
1,1,1,1,21461.80222724209,0.009730798691878123,0.006487199127918749,0.01135678015615908,0.008544269855470398,0.017657587694170987,0.02300036162261444,0.02184027669884022,0.04307092323484164
2,2,2,1,21461.80222724209,0.009730798691878123,0.006487199127918749,0.01135678015615908,0.008544269855470398,0.017657587694170987,0.02300036162261444,0.02184027669884022,0.04307092323484164
3,3,3,1,21461.80222724209,0.009730798691878123,0.006487199127918749,0.01135678015615908,0.008544269855470398,0.017657587694170987,0.02300036162261444,0.02184027669884022,0.04307092323484164
4,4,4,4,9141.292470636585,0.004147165530712732,0.0027647770204751545,0.022466206234114366,0.017042507497557362,0.0022873287748798113,0.016365886115660647,0.006773877453715868,0.03167688719682496
5,5,5,4,9141.292470636585,0.004147165530712732,0.0027647770204751545,0.022466206234114366,0.017042507497557362,0.0022873287748798113,0.016365886115660647,0.006773877453715868,0.03167688719682496
6,6,6,4,9624.741042047042,0.004147165530712732,0.0027647770204751545,0.022466206234114366,0.017042507497557362,0.0022873287748798113,0.016365886115660647,0.006773877453715868,0.03167688719682496
7,7,7,7,4123.109320548952,0.0022485854440888464,0.0014990569627258976,0.006930219210894991,0.004893725726458493,0.003914161011166636,0.006076094190392508,0.0054028444305261256,0.011375048698731868
8,8,8,8,4040.396305690003,0.001712834689387377,0.0011418897929249179,0.004242311380841935,0.0028934717428045383,0.0035368860056174817,0.005234911019031117,0.004593530251277941,0.010813882567394453
9,9,9,9,1408.701216211146,0.0005588423542846055,0.00037256156952307035,0.002666241241302313,0.0019650333128472873,0.001121905701252729,0.001753657265794207,0.0016212418885347343,0.003719019092675445
