phase,nf,x_index,incumbent_index,active_objective,full_objective,incumbent_active_objective,incumbent_full_objective,active_residuals,active_circuits,new_residuals_revealed,new_circuits_revealed,union_residuals_revealed,union_circuits_revealed,cumulative_eval_residuals,cumulative_eval_circuits,cumulative_shots_revealed,cumulative_eval_shots,shots_per_circuit,fpr_enabled,fpr_use_union_mask,fpr_selected_residuals,fpr_selected_circuits,fpr_new_residuals,fpr_new_circuits,fpr_union_residuals,fpr_union_circuits,delta,ng,rho,rho_active,rho_full,rho_uses_full_objective,mdec,step_norm,accepted
initial,0,0,0,968846.7334119622,968846.7334119622,968846.7334119622,968846.7334119622,3836,1918,3836,1918,3836,1918,3836,1918,4906244.0,4906244.0,2558.0,False,True,3836,1918,3836,1918,3836,1918,0.1,,,,,False,,,True
trial,1,1,1,553940.211226244,553940.211226244,553940.211226244,553940.211226244,3836,1918,0,0,3836,1918,7672,3836,4906244.0,9812488.0,2558.0,False,True,3836,1918,0,0,3836,1918,0.1,3074137.847604485,19.833864858624,19.833864858624,19.833864858624,False,-20919.095957503807,0.1,True
trial,2,2,2,548814.2022587403,548814.2022587403,548814.2022587403,548814.2022587403,3836,1918,0,0,3836,1918,11508,5754,4906244.0,14718732.0,2558.0,False,True,3836,1918,0,0,3836,1918,0.2,977348.4684918019,0.015103165760607405,0.015103165760607405,0.015103165760607405,False,-339399.6363910343,0.2,True
trial,3,3,2,576318.3488867497,576318.3488867497,548814.2022587403,548814.2022587403,3836,1918,0,0,3836,1918,15344,7672,4906244.0,19624976.0,2558.0,False,True,3836,1918,0,0,3836,1918,0.1,793780.1047519223,-0.09144875779855084,-0.09144875779855084,-0.09144875779855084,False,-300760.1993741378,0.1,False
trial,4,4,4,404097.2754886672,404097.2754886672,404097.2754886672,404097.2754886672,3836,1918,0,0,3836,1918,19180,9590,4906244.0,24531220.0,2558.0,False,True,3836,1918,0,0,3836,1918,0.05,793780.1047519223,0.7462708391227408,0.7462708391227408,0.7462708391227408,False,-193920.11476716862,0.05,True
trial,5,5,4,494293.0447051007,494293.0447051007,404097.2754886672,404097.2754886672,3836,1918,0,0,3836,1918,23016,11508,4906244.0,29437464.0,2558.0,False,True,3836,1918,0,0,3836,1918,0.1,2287133.5555135757,-0.5200451620894138,-0.5200451620894138,-0.5200451620894138,False,-173438.33918971394,0.1,False
trial,6,6,6,331219.5987965633,331219.5987965633,331219.5987965633,331219.5987965633,3836,1918,0,0,3836,1918,26852,13426,4906244.0,34343708.0,2558.0,False,True,3836,1918,0,0,3836,1918,0.05,2287133.5555135757,0.4643379416469774,0.4643379416469774,0.4643379416469774,False,-156949.64842547948,0.05,True
trial,7,7,6,416755.48133645195,416755.48133645195,331219.5987965633,331219.5987965633,3836,1918,0,0,3836,1918,30688,15344,4906244.0,39249952.0,2558.0,False,True,3836,1918,0,0,3836,1918,0.1,1617792.5261807377,-0.3978177409805727,-0.3978177409805727,-0.3978177409805727,False,-215012.74007803935,0.1,False
trial,8,8,8,248964.80153073935,248964.80153073935,248964.80153073935,248964.80153073935,3836,1918,0,0,3836,1918,34524,17262,4906244.0,44156196.0,2558.0,False,True,3836,1918,0,0,3836,1918,0.05,1617792.5261807377,0.4194969770791277,0.4194969770791277,0.4194969770791277,False,-196079.59475309544,0.05,True
trial,9,9,8,423984.17374330177,423984.17374330177,248964.80153073935,248964.80153073935,3836,1918,0,0,3836,1918,38360,19180,4906244.0,49062440.0,2558.0,False,True,3836,1918,0,0,3836,1918,0.1,2490365.9003795036,-1.2208820323680918,-1.2208820323680918,-1.2208820323680918,False,-143354.85949701868,0.1,False
trial,10,10,10,206541.70209727867,206541.70209727867,206541.70209727867,206541.70209727867,3836,1918,0,0,3836,1918,42196,21098,4906244.0,53968684.0,2558.0,False,True,3836,1918,0,0,3836,1918,0.05,2490365.9003795036,0.31005428063705043,0.31005428063705043,0.31005428063705043,False,-136824.74999634392,0.05,True
trial,11,11,10,327729.9977110155,327729.9977110155,206541.70209727867,206541.70209727867,3836,1918,0,0,3836,1918,46032,23016,4906244.0,58874928.0,2558.0,False,True,3836,1918,0,0,3836,1918,0.1,2831324.2482501417,-0.8086329616581877,-0.8086329616581877,-0.8086329616581877,False,-149868.1124316617,0.1,False
trial,12,12,12,117254.76213511659,117254.76213511659,117254.76213511659,117254.76213511659,3836,1918,0,0,3836,1918,49868,24934,4906244.0,63781172.0,2558.0,False,True,3836,1918,0,0,3836,1918,0.05,2831324.2482501417,0.6342667840510193,0.6342667840510193,0.6342667840510193,False,-140771.8994709015,0.05,True
