sequence_index,iteration,nf,incumbent_index,incumbent_full_objective,mean_gate_entanglement_infidelity_to_truth,mean_gate_average_infidelity_to_truth,mean_spam_vector_l2_error_to_truth,mean_spam_tracedist_to_truth,mean_gate_eigenvalue_nonunitarity_excess_to_truth,mean_gate_eigenvalue_diamondnorm_to_truth,mean_gate_eigenvalue_nonunitary_diamondnorm_to_truth,mean_gate_diamond_distance_to_truth
0,0,0,0,13361.382192587618,0.0017882621897374607,0.001192174793158307,0.007165902701660543,0.005062523522911718,-0.002719190553661918,0.0067837813321190345,0.0031726617482777386,0.013707118158205382
1,1,1,1,6909.16764403036,0.01844990225277246,0.012299934835181641,0.014039369809683759,0.009112626860546633,0.027932679973489395,0.034545049018759114,0.033572257191274615,0.06273343901679226
2,2,2,1,6909.16764403036,0.01844990225277246,0.012299934835181641,0.014039369809683759,0.009112626860546633,0.027932679973489395,0.034545049018759114,0.033572257191274615,0.06273343901679226
3,3,3,3,6631.614103592185,0.01204791659339749,0.008031944395598326,0.036360287348242266,0.029095105792944474,0.014828686989892863,0.02837112582532,0.021803014528086626,0.04881515179499841
4,4,4,3,6631.614103592185,0.01204791659339749,0.008031944395598326,0.036360287348242266,0.029095105792944474,0.014828686989892863,0.02837112582532,0.021803014528086626,0.04881515179499841
5,5,5,3,6631.614103592185,0.01204791659339749,0.008031944395598326,0.036360287348242266,0.029095105792944474,0.014828686989892863,0.02837112582532,0.021803014528086626,0.04881515179499841
6,6,6,6,6105.7696333792765,0.0089942278657478,0.005996151910498534,0.020497090216193378,0.015199629379572751,0.012228008458702602,0.01880204264954596,0.01691121975168748,0.05255369352402957
7,7,7,6,6105.7696333792765,0.0089942278657478,0.005996151910498534,0.020497090216193378,0.015199629379572751,0.012228008458702602,0.01880204264954596,0.01691121975168748,0.05255369352402957
8,8,8,8,5580.44519891142,0.006517093836871657,0.004344729224581105,0.024581774459492584,0.017966690141129997,0.009964280404945375,0.021359185289996772,0.01312131967629803,0.03846090156715257
9,9,9,8,5580.44519891142,0.006517093836871657,0.004344729224581105,0.024581774459492584,0.017966690141129997,0.009964280404945375,0.021359185289996772,0.01312131967629803,0.03846090156715257
10,10,10,8,5580.44519891142,0.006517093836871657,0.004344729224581105,0.024581774459492584,0.017966690141129997,0.009964280404945375,0.021359185289996772,0.01312131967629803,0.03846090156715257
11,11,11,11,4913.175147568862,0.0045137022607103505,0.003009134840473567,0.01346787186594547,0.011021746673248551,0.007260726654874788,0.016648594817981848,0.009460087910549843,0.032324466324791884
12,12,12,11,4913.175147568862,0.0045137022607103505,0.003009134840473567,0.01346787186594547,0.011021746673248551,0.007260726654874788,0.016648594817981848,0.009460087910549843,0.032324466324791884
13,13,13,13,2613.659919106299,0.002758334169911947,0.0018388894466079648,0.012191082804769523,0.008899248519690593,0.004231837800251319,0.006302861900613032,0.005559935236267868,0.01594083320016018
14,14,14,13,2613.659919106299,0.002758334169911947,0.0018388894466079648,0.012191082804769523,0.008899248519690593,0.004231837800251319,0.006302861900613032,0.005559935236267868,0.01594083320016018
15,15,15,15,1827.8729113299344,0.0011308026089501544,0.0007538684059667696,0.007888814395186844,0.005790055306601424,0.002300003921622336,0.0035210584064915207,0.00301560485973823,0.008858567616090543
16,16,16,15,2136.04330246989,0.0011308026089501544,0.0007538684059667696,0.007888814395186844,0.005790055306601424,0.002300003921622336,0.0035210584064915207,0.00301560485973823,0.008858567616090543
17,17,17,17,1741.0106221111423,0.0008317387141265342,0.0005544924760843561,0.0038938674782061397,0.002443044735480198,0.0020369126899882975,0.002521936459120401,0.0025024694537193193,0.006053822155101864
18,18,18,17,1741.0106221111423,0.0008317387141265342,0.0005544924760843561,0.0038938674782061397,0.002443044735480198,0.0020369126899882975,0.002521936459120401,0.0025024694537193193,0.006053822155101864
19,19,19,19,1734.8379160112077,0.0009061575714493786,0.0006041050476329191,0.0035382104408010506,0.0022227305411046615,0.0016051484338368074,0.002164367666858445,0.002091141775605432,0.004872127472201086
20,20,20,20,1231.8981173793863,0.0003963288235621365,0.000264219215708091,0.0025790602760287578,0.001672457841476719,0.0006220726982123989,0.0008599271132268619,0.0008991079333571378,0.0027576009548172502
21,21,21,20,1296.794015040387,0.0003963288235621365,0.000264219215708091,0.0025790602760287578,0.001672457841476719,0.0006220726982123989,0.0008599271132268619,0.0008991079333571378,0.0027576009548172502
22,22,22,22,1188.9968152557803,0.0002818460220196106,0.00018789734801307376,0.0036755462424609957,0.0027070574778994107,0.0007522331780579969,0.001006889795552067,0.0009734223560074681,0.0024467511602964437
23,23,23,22,1188.9968152557803,0.0002818460220196106,0.00018789734801307376,0.0036755462424609957,0.0027070574778994107,0.0007522331780579969,0.001006889795552067,0.0009734223560074681,0.0024467511602964437
24,24,24,24,1110.568910517593,0.0002881959350127805,0.00019213062334185366,0.0031937996083429058,0.0023479695713137555,0.0005308407884761501,0.0007332667397376111,0.0006859322968306436,0.002538846482790065
25,25,25,24,1110.568910517593,0.0002881959350127805,0.00019213062334185366,0.0031937996083429058,0.0023479695713137555,0.0005308407884761501,0.0007332667397376111,0.0006859322968306436,0.002538846482790065
26,26,26,24,1140.474721146019,0.0002881959350127805,0.00019213062334185366,0.0031937996083429058,0.0023479695713137555,0.0005308407884761501,0.0007332667397376111,0.0006859322968306436,0.002538846482790065
27,27,27,27,999.5633248375126,0.00014209048115268463,9.472698743512309e-05,0.003290761536636748,0.0027058893349371413,0.00029976567255002307,0.00047077004641115917,0.00042341922512568325,0.0018744815470663188
28,28,28,27,999.5633248375126,0.00014209048115268463,9.472698743512309e-05,0.003290761536636748,0.0027058893349371413,0.00029976567255002307,0.00047077004641115917,0.00042341922512568325,0.0018744815470663188
29,29,29,27,999.5633248375126,0.00014209048115268463,9.472698743512309e-05,0.003290761536636748,0.0027058893349371413,0.00029976567255002307,0.00047077004641115917,0.00042341922512568325,0.0018744815470663188
30,30,30,30,961.924643889129,8.661628952444378e-05,5.774419301629585e-05,0.003458510268273087,0.0028801832042620553,0.00012147629531201326,0.0002590963379301449,0.00019190439356758793,0.0016123751115551975
31,31,31,30,956.9709665135965,8.661628952444378e-05,5.774419301629585e-05,0.003458510268273087,0.0028801832042620553,0.00012147629531201326,0.0002590963379301449,0.00019190439356758793,0.0016123751115551975
32,32,32,30,956.9709665135965,8.661628952444378e-05,5.774419301629585e-05,0.003458510268273087,0.0028801832042620553,0.00012147629531201326,0.0002590963379301449,0.00019190439356758793,0.0016123751115551975
33,33,33,33,946.8737630109397,6.958163657630467e-05,4.638775771753645e-05,0.0034567809062018722,0.002918057137175744,9.005223911325022e-05,0.00021760868752948971,0.00014559385423213583,0.0015350297885976618
34,34,34,33,946.8737630109397,6.958163657630467e-05,4.638775771753645e-05,0.0034567809062018722,0.002918057137175744,9.005223911325022e-05,0.00021760868752948971,0.00014559385423213583,0.0015350297885976618
35,35,35,33,946.8737630109397,6.958163657630467e-05,4.638775771753645e-05,0.0034567809062018722,0.002918057137175744,9.005223911325022e-05,0.00021760868752948971,0.00014559385423213583,0.0015350297885976618
36,36,36,36,949.1922167644547,6.292261168525104e-05,4.194840779016736e-05,0.003452445266096525,0.0029479699738103227,7.453431605088101e-05,0.00022116661561878185,0.000132790836188397,0.001570600040823135
37,37,37,36,949.1922167644547,6.292261168525104e-05,4.194840779016736e-05,0.003452445266096525,0.0029479699738103227,7.453431605088101e-05,0.00022116661561878185,0.000132790836188397,0.001570600040823135
38,38,38,38,948.8477740686762,5.565026300663467e-05,3.710017533775645e-05,0.0035912322382280915,0.003057247039761175,7.328970327541429e-05,0.00021463184975212932,0.00013258624890992443,0.0015503286166996854
39,39,39,38,948.8477740686762,5.565026300663467e-05,3.710017533775645e-05,0.0035912322382280915,0.003057247039761175,7.328970327541429e-05,0.00021463184975212932,0.00013258624890992443,0.0015503286166996854
40,40,40,40,948.5181823923756,5.122899099815892e-05,3.4152660665439275e-05,0.003654188384725154,0.003102902260532882,7.098575804458801e-05,0.00021124687718642018,0.0001299150565762866,0.001512381705289321
41,41,41,40,947.0278881504939,5.122899099815892e-05,3.4152660665439275e-05,0.003654188384725154,0.003102902260532882,7.098575804458801e-05,0.00021124687718642018,0.0001299150565762866,0.001512381705289321
42,42,42,42,946.449937276344,5.014339757161701e-05,3.3428931714411344e-05,0.0032018236935281857,0.0028037535209950192,6.44036680955487e-05,0.0002235670639781125,0.0001217857554901211,0.0014925446071924289
43,43,43,42,946.449937276344,5.014339757161701e-05,3.3428931714411344e-05,0.0032018236935281857,0.0028037535209950192,6.44036680955487e-05,0.0002235670639781125,0.0001217857554901211,0.0014925446071924289
44,44,44,44,946.1759237120677,4.639992243268831e-05,3.093328162179221e-05,0.0031622319045313623,0.0027776631765188504,6.0221525016952715e-05,0.0002206380980784779,0.00011929713170592826,0.0014710547853501624
45,45,45,44,946.1759237120677,4.639992243268831e-05,3.093328162179221e-05,0.0031622319045313623,0.0027776631765188504,6.0221525016952715e-05,0.0002206380980784779,0.00011929713170592826,0.0014710547853501624
46,46,46,46,947.8005615907,5.204638896724734e-05,3.4697592644831556e-05,0.0025033543721488974,0.002433736104758444,6.141268750861628e-05,0.0001642525092942912,0.00011886836783926713,0.0014355172158629261
47,47,47,46,947.8005615907,5.204638896724734e-05,3.4697592644831556e-05,0.0025033543721488974,0.002433736104758444,6.141268750861628e-05,0.0001642525092942912,0.00011886836783926713,0.0014355172158629261
48,48,48,48,947.424340859313,5.465876669652481e-05,3.643917779768321e-05,0.0025646468775702537,0.0024900425841941293,5.9214006180675904e-05,0.00015980259902574541,0.00011341211426629111,0.0014288815238095464
49,49,49,48,947.424340859313,5.465876669652481e-05,3.643917779768321e-05,0.0025646468775702537,0.0024900425841941293,5.9214006180675904e-05,0.00015980259902574541,0.00011341211426629111,0.0014288815238095464
50,50,50,48,947.424340859313,5.465876669652481e-05,3.643917779768321e-05,0.0025646468775702537,0.0024900425841941293,5.9214006180675904e-05,0.00015980259902574541,0.00011341211426629111,0.0014288815238095464
51,51,51,51,950.2962106408811,5.517501629237476e-05,3.678334419491651e-05,0.0029698767468761163,0.002671530000076863,7.593605252146501e-05,0.00018691305523991104,0.0001402082174630226,0.0016003747147465906
52,52,52,51,950.2962106408811,5.517501629237476e-05,3.678334419491651e-05,0.0029698767468761163,0.002671530000076863,7.593605252146501e-05,0.00018691305523991104,0.0001402082174630226,0.0016003747147465906
53,53,53,53,949.9810634033174,5.265199212406424e-05,3.510132808270949e-05,0.003171907957225441,0.0028013803069251364,8.000998220394212e-05,0.0001928748087957857,0.00014569863418799345,0.0015988489707351764
54,54,54,53,949.9810634033174,5.265199212406424e-05,3.510132808270949e-05,0.003171907957225441,0.0028013803069251364,8.000998220394212e-05,0.0001928748087957857,0.00014569863418799345,0.0015988489707351764
55,55,55,55,949.7826073803443,5.041539942340911e-05,3.361026628227274e-05,0.003211726633293842,0.002826634711245155,7.861889289405288e-05,0.00018984142231274445,0.00014209860084787168,0.0015863201240748082
56,56,56,55,949.7826073803443,5.041539942340911e-05,3.361026628227274e-05,0.003211726633293842,0.002826634711245155,7.861889289405288e-05,0.00018984142231274445,0.00014209860084787168,0.0015863201240748082
57,57,57,57,949.6139843722965,4.905860305881582e-05,3.2705735372543884e-05,0.0032508752163440085,0.0028477422323960307,7.678837045979603e-05,0.00018700483238637782,0.00013871943521127222,0.0015787770817847753
58,58,58,57,949.6139843722965,4.905860305881582e-05,3.2705735372543884e-05,0.0032508752163440085,0.0028477422323960307,7.678837045979603e-05,0.00018700483238637782,0.00013871943521127222,0.0015787770817847753
59,59,59,59,949.5121136052501,4.826158719009599e-05,3.217439146006399e-05,0.003258353435267788,0.0028536305903620928,7.471814467453763e-05,0.0001841025313334596,0.00013583728278852847,0.0015714165061210027
60,60,60,59,949.5121136052501,4.826158719009599e-05,3.217439146006399e-05,0.003258353435267788,0.0028536305903620928,7.471814467453763e-05,0.0001841025313334596,0.00013583728278852847,0.0015714165061210027
61,61,61,61,949.3874598610735,4.782205540479478e-05,3.188137026986319e-05,0.0032636752284384385,0.0028581353086167887,7.249754597842689e-05,0.00018108246594515908,0.00013207072672533765,0.0015686798674799094
62,62,62,61,949.3874598610735,4.782205540479478e-05,3.188137026986319e-05,0.0032636752284384385,0.0028581353086167887,7.249754597842689e-05,0.00018108246594515908,0.00013207072672533765,0.0015686798674799094
63,63,63,63,949.3028902188157,4.703254363125353e-05,3.135502908750235e-05,0.0032682427475436127,0.0028623343380861236,7.063210732737718e-05,0.0001782798375693325,0.0001295913324322745,0.0015649684666771426
64,64,64,63,949.3028902188157,4.703254363125353e-05,3.135502908750235e-05,0.0032682427475436127,0.0028623343380861236,7.063210732737718e-05,0.0001782798375693325,0.0001295913324322745,0.0015649684666771426
65,65,65,65,949.2039660909726,4.684984047209628e-05,3.123322698139752e-05,0.0032713264695515905,0.0028653570083779544,6.856872167091549e-05,0.0001754188871000687,0.0001258908928998756,0.0015645386192290785
66,66,66,65,949.2039660909726,4.684984047209628e-05,3.123322698139752e-05,0.0032713264695515905,0.0028653570083779544,6.856872167091549e-05,0.0001754188871000687,0.0001258908928998756,0.0015645386192290785
67,67,67,67,949.1328255290264,4.6227271392029756e-05,3.081818092801984e-05,0.0032738126302114916,0.0028688922435202496,6.666159534599037e-05,0.00017259590111064319,0.00012324889676894324,0.0015684106667290068
68,68,68,67,949.1328255290264,4.6227271392029756e-05,3.081818092801984e-05,0.0032738126302114916,0.0028688922435202496,6.666159534599037e-05,0.00017259590111064319,0.00012324889676894324,0.0015684106667290068
69,69,69,69,949.04862692326,4.6320191595866644e-05,3.0880127730577765e-05,0.003278531995780579,0.0028733331786686273,6.446099605018213e-05,0.0001696507073406223,0.00011932892549455093,0.0015740192825165417
70,70,70,69,949.04862692326,4.6320191595866644e-05,3.0880127730577765e-05,0.003278531995780579,0.0028733331786686273,6.446099605018213e-05,0.0001696507073406223,0.00011932892549455093,0.0015740192825165417
71,71,71,71,948.9955851566181,4.591253049515687e-05,3.060835366343791e-05,0.0032822406367958353,0.0028774730290844893,6.252650367125079e-05,0.00016683679440530468,0.00011663508778159137,0.0015764084243194078
72,72,72,71,948.9955851566181,4.591253049515687e-05,3.060835366343791e-05,0.0032822406367958353,0.0028774730290844893,6.252650367125079e-05,0.00016683679440530468,0.00011663508778159137,0.0015764084243194078
73,73,73,73,948.9232480299622,4.633084265731613e-05,3.0887228438210755e-05,0.0032836990672034847,0.002877904708734209,6.165351431902666e-05,0.0001657621965210904,0.00011486677215753749,0.0015749180975003132
74,74,74,73,948.9232480299622,4.633084265731613e-05,3.0887228438210755e-05,0.0032836990672034847,0.002877904708734209,6.165351431902666e-05,0.0001657621965210904,0.00011486677215753749,0.0015749180975003132
75,75,75,75,948.8766271597624,4.678789807580075e-05,3.119193205053383e-05,0.0032846121525870295,0.002877931890979826,6.188362950029086e-05,0.0001658880994989696,0.00011547237995305354,0.0015740757769051646
76,76,76,75,948.8766271597624,4.678789807580075e-05,3.119193205053383e-05,0.0032846121525870295,0.002877931890979826,6.188362950029086e-05,0.0001658880994989696,0.00011547237995305354,0.0015740757769051646
77,77,77,77,948.8068610355683,4.7106028002674716e-05,3.140401866844981e-05,0.003286500717972931,0.002878955373786453,6.1418686878284e-05,0.00016536974545120463,0.00011432244570208638,0.0015726526516286923
78,78,78,77,948.8068610355683,4.7106028002674716e-05,3.140401866844981e-05,0.003286500717972931,0.002878955373786453,6.1418686878284e-05,0.00016536974545120463,0.00011432244570208638,0.0015726526516286923
79,79,79,79,948.7628939313946,4.7465565573057145e-05,3.16437103820381e-05,0.003287320572736225,0.0028793521358366275,6.165062684826417e-05,0.0001655203910032386,0.00011492349579097366,0.001571709102726233
80,80,80,79,948.7628939313946,4.7465565573057145e-05,3.16437103820381e-05,0.003287320572736225,0.0028793521358366275,6.165062684826417e-05,0.0001655203910032386,0.00011492349579097366,0.001571709102726233
81,81,81,81,948.6956187680719,4.783846384412427e-05,3.1892309229416174e-05,0.003290142852829761,0.002880885025796811,6.119398485837646e-05,0.00016503643365652467,0.00011384057480421511,0.001570561337914801
82,82,82,81,948.6956187680719,4.783846384412427e-05,3.1892309229416174e-05,0.003290142852829761,0.002880885025796811,6.119398485837646e-05,0.00016503643365652467,0.00011384057480421511,0.001570561337914801
83,83,83,83,948.654709948668,4.823233628545309e-05,3.2154890856968724e-05,0.003291392201531306,0.0028815338845536833,6.140546530854912e-05,0.00016522034649457147,0.00011440765592067581,0.001569741729882323
84,84,84,83,948.654709948668,4.823233628545309e-05,3.2154890856968724e-05,0.003291392201531306,0.0028815338845536833,6.140546530854912e-05,0.00016522034649457147,0.00011440765592067581,0.001569741729882323
85,85,85,85,948.5914278071289,4.8683143264283135e-05,3.245542884285542e-05,0.003295214572887981,0.0028837555362084895,6.092310107151666e-05,0.00016464863562804725,0.0001132764551625906,0.0015693198229709618
86,86,86,85,948.5914278071289,4.8683143264283135e-05,3.245542884285542e-05,0.003295214572887981,0.0028837555362084895,6.092310107151666e-05,0.00016464863562804725,0.0001132764551625906,0.0015693198229709618
87,87,87,87,948.5548381602405,4.909302142039329e-05,3.2728680946928865e-05,0.003296516184673927,0.0028842515797378515,6.109768211222388e-05,0.00016474996417807793,0.00011381128548189345,0.001569322949088576
88,88,88,87,948.5548381602405,4.909302142039329e-05,3.2728680946928865e-05,0.003296516184673927,0.0028842515797378515,6.109768211222388e-05,0.00016474996417807793,0.00011381128548189345,0.001569322949088576
89,89,89,89,948.4969977457428,4.959793083175734e-05,3.306528722117156e-05,0.0033001780584530067,0.0028864326465533525,6.057593275852341e-05,0.0001642518757855886,0.00011269609419520266,0.0015695001501506802
90,90,90,89,948.4969977457428,4.959793083175734e-05,3.306528722117156e-05,0.0033001780584530067,0.0028864326465533525,6.057593275852341e-05,0.0001642518757855886,0.00011269609419520266,0.0015695001501506802
91,91,91,91,948.4670308053755,4.998761046706712e-05,3.332507364471142e-05,0.0033028876990611558,0.0028878954949386948,6.07000699142865e-05,0.00016433253442886433,0.00011319059101286277,0.0015703588546319568
