phase,nf,x_index,incumbent_index,active_objective,full_objective,incumbent_active_objective,incumbent_full_objective,active_residuals,active_circuits,new_residuals_revealed,new_circuits_revealed,union_residuals_revealed,union_circuits_revealed,cumulative_eval_residuals,cumulative_eval_circuits,cumulative_shots_revealed,cumulative_eval_shots,shots_per_circuit,fpr_enabled,fpr_use_union_mask,fpr_selected_residuals,fpr_selected_circuits,fpr_new_residuals,fpr_new_circuits,fpr_union_residuals,fpr_union_circuits,delta,ng,rho,rho_active,rho_full,rho_uses_full_objective,mdec,step_norm,accepted
initial,0,0,0,64826.932704812236,64826.932704812236,64826.932704812236,64826.932704812236,3836,1918,3836,1918,3836,1918,3836,1918,479500.0,479500.0,250.0,False,True,3836,1918,3836,1918,3836,1918,0.1,,,,,False,,,True
trial,1,1,1,24210.006193493515,24210.006193493515,24210.006193493515,24210.006193493515,3836,1918,0,0,3836,1918,7672,3836,479500.0,959000.0,250.0,False,True,3836,1918,0,0,3836,1918,0.1,303606.9230357423,25.59491865771472,25.59491865771472,25.59491865771472,False,-1586.9136782380874,0.1,True
trial,2,2,1,43098.57785178044,43098.57785178044,24210.006193493515,24210.006193493515,3836,1918,0,0,3836,1918,11508,5754,479500.0,1438500.0,250.0,False,True,3836,1918,0,0,3836,1918,0.2,184716.53036387608,-0.9414012587689429,-0.9414012587689429,-0.9414012587689429,False,-20064.31527719354,0.19998082941044537,False
trial,3,3,1,35729.322128484004,35729.322128484004,24210.006193493515,24210.006193493515,3836,1918,0,0,3836,1918,15344,7672,479500.0,1918000.0,250.0,False,True,3836,1918,0,0,3836,1918,0.1,184716.53036387608,-0.5744472728676364,-0.5744472728676364,-0.5744472728676364,False,-20052.869043117138,0.1,False
trial,4,4,4,9772.313440203383,9772.313440203383,9772.313440203383,9772.313440203383,3836,1918,0,0,3836,1918,19180,9590,479500.0,2397500.0,250.0,False,True,3836,1918,0,0,3836,1918,0.05,184716.53036387608,0.730174059897144,0.730174059897144,0.730174059897144,False,-19772.946679760025,0.05,True
trial,5,5,4,40917.79929190065,40917.79929190065,9772.313440203383,9772.313440203383,3836,1918,0,0,3836,1918,23016,11508,479500.0,2877000.0,250.0,False,True,3836,1918,0,0,3836,1918,0.1,316665.72268510575,-4.170703826476099,-4.170703826476099,-4.170703826476099,False,-7467.681031192435,0.1,False
trial,6,6,4,18489.0693616464,18489.0693616464,9772.313440203383,9772.313440203383,3836,1918,0,0,3836,1918,26852,13426,479500.0,3356500.0,250.0,False,True,3836,1918,0,0,3836,1918,0.05,316665.72268510575,-1.1812392351968528,-1.1812392351968528,-1.1812392351968528,False,-7379.3315204183655,0.05,False
trial,7,7,7,6333.204245205928,6333.204245205928,6333.204245205928,6333.204245205928,3836,1918,0,0,3836,1918,30688,15344,479500.0,3836000.0,250.0,False,True,3836,1918,0,0,3836,1918,0.025,316665.72268510575,0.5076501425706385,0.5076501425706385,0.5076501425706385,False,-6774.565604537204,0.025,True
trial,8,8,8,5215.124188580523,5215.124188580523,5215.124188580523,5215.124188580523,3836,1918,0,0,3836,1918,34524,17262,479500.0,4315500.0,250.0,False,True,3836,1918,0,0,3836,1918,0.05,152433.61043989542,0.21608671636878904,0.21608671636878904,0.21608671636878904,False,-5174.21929220864,0.05,True
trial,9,9,8,14509.665849083716,14509.665849083716,5215.124188580523,5215.124188580523,3836,1918,0,0,3836,1918,38360,19180,479500.0,4795000.0,250.0,False,True,3836,1918,0,0,3836,1918,0.1,177070.7844433845,-2.314011471740011,-2.314011471740011,-2.314011471740011,False,-4016.635947579898,0.1,False
trial,10,10,8,9067.96124900722,9067.96124900722,5215.124188580523,5215.124188580523,3836,1918,0,0,3836,1918,42196,21098,479500.0,5274500.0,250.0,False,True,3836,1918,0,0,3836,1918,0.05,177070.7844433845,-0.9597222643387604,-0.9597222643387604,-0.9597222643387604,False,-4014.5333744875293,0.05,False
trial,11,11,11,2524.4952321752485,2524.4952321752485,2524.4952321752485,2524.4952321752485,3836,1918,0,0,3836,1918,46032,23016,479500.0,5754000.0,250.0,False,True,3836,1918,0,0,3836,1918,0.025,177070.7844433845,0.6794038736121386,0.6794038736121386,0.6794038736121386,False,-3960.2790930528513,0.025,True
trial,12,12,11,4267.4358969923505,4267.4358969923505,2524.4952321752485,2524.4952321752485,3836,1918,0,0,3836,1918,49868,24934,479500.0,6233500.0,250.0,False,True,3836,1918,0,0,3836,1918,0.05,80192.9034367031,-1.1498036018841358,-1.1498036018841358,-1.1498036018841358,False,-1515.8594580509375,0.04909536482157425,False
trial,13,13,13,2218.3528820417573,2218.3528820417573,2218.3528820417573,2218.3528820417573,3836,1918,0,0,3836,1918,53704,26852,479500.0,6713000.0,250.0,False,True,3836,1918,0,0,3836,1918,0.025,80192.9034367031,0.20201405229764716,0.20201405229764716,0.20201405229764716,False,-1515.450765189451,0.025,True
trial,14,14,13,2970.34357584579,2970.34357584579,2218.3528820417573,2218.3528820417573,3836,1918,0,0,3836,1918,57540,28770,479500.0,7192500.0,250.0,False,True,3836,1918,0,0,3836,1918,0.05,64821.59608318033,-0.62895325072523,-0.62895325072523,-0.62895325072523,False,-1195.6225569021724,0.05,False
trial,15,15,15,1419.5242443998945,1419.5242443998945,1419.5242443998945,1419.5242443998945,3836,1918,0,0,3836,1918,61376,30688,479500.0,7672000.0,250.0,False,True,3836,1918,0,0,3836,1918,0.025,64821.59608318033,0.6684615716246776,0.6684615716246776,0.6684615716246776,False,-1195.0255206149423,0.025,True
trial,16,16,16,1276.923113176954,1276.923113176954,1276.923113176954,1276.923113176954,3836,1918,0,0,3836,1918,65212,32606,479500.0,8151500.0,250.0,False,True,3836,1918,0,0,3836,1918,0.05,31322.606336439054,0.3498263084989626,0.3498263084989626,0.3498263084989626,False,-407.6340965744243,0.045023767205120746,True
trial,17,17,16,4159.658577281033,4159.658577281033,1276.923113176954,1276.923113176954,3836,1918,0,0,3836,1918,69048,34524,479500.0,8631000.0,250.0,False,True,3836,1918,0,0,3836,1918,0.1,16823.956673270048,-10.836898960352595,-10.836898960352595,-10.836898960352595,False,-266.01110471277156,0.09407310667258514,False
trial,18,18,16,2192.6047065432044,2192.6047065432044,1276.923113176954,1276.923113176954,3836,1918,0,0,3836,1918,72884,36442,479500.0,9110500.0,250.0,False,True,3836,1918,0,0,3836,1918,0.05,16823.956673270048,-3.444181236716152,-3.444181236716152,-3.444181236716152,False,-265.86335922301964,0.049852731263248656,False
trial,19,19,19,1203.3679180722747,1203.3679180722747,1203.3679180722747,1203.3679180722747,3836,1918,0,0,3836,1918,76720,38360,479500.0,9590000.0,250.0,False,True,3836,1918,0,0,3836,1918,0.025,16823.956673270048,0.2769479981388868,0.2769479981388868,0.2769479981388868,False,-265.5920808201405,0.02449642477713736,True
