sequence_index,iteration,nf,incumbent_index,incumbent_full_objective,mean_gate_entanglement_infidelity_to_truth,mean_gate_average_infidelity_to_truth,mean_spam_vector_l2_error_to_truth,mean_spam_tracedist_to_truth,mean_gate_eigenvalue_nonunitarity_excess_to_truth,mean_gate_eigenvalue_diamondnorm_to_truth,mean_gate_eigenvalue_nonunitary_diamondnorm_to_truth,mean_gate_diamond_distance_to_truth
0,0,0,0,636179.1354883804,0.0017882621897374607,0.001192174793158307,0.007165902701660543,0.005062523522911718,-0.002719190553661918,0.0067837813321190345,0.0031726617482777386,0.013707118158205382
1,1,1,1,435063.3893364729,0.03260982481550262,0.021739883210335077,0.03494816771779566,0.02100439754178326,0.04549742470751599,0.05323611629582358,0.052852998229835184,0.09825770001564318
2,2,2,1,435063.3893364729,0.03260982481550262,0.021739883210335077,0.03494816771779566,0.02100439754178326,0.04549742470751599,0.05323611629582358,0.052852998229835184,0.09825770001564318
3,3,3,3,234707.38029618096,0.012029251675077124,0.008019501116718083,0.04681966626025657,0.03238425317748071,0.00913622577712709,0.030214467662029745,0.018736185836870305,0.05849403730493147
4,4,4,3,234707.38029618096,0.012029251675077124,0.008019501116718083,0.04681966626025657,0.03238425317748071,0.00913622577712709,0.030214467662029745,0.018736185836870305,0.05849403730493147
5,5,5,3,234707.38029618096,0.012029251675077124,0.008019501116718083,0.04681966626025657,0.03238425317748071,0.00913622577712709,0.030214467662029745,0.018736185836870305,0.05849403730493147
6,6,6,6,207662.05361557892,0.010285592800222843,0.006857061866815228,0.014216460420511811,0.009655579556106393,0.015311257049726003,0.0219911628615111,0.01856259266060531,0.04320239552438569
7,7,7,6,207662.05361557892,0.010285592800222843,0.006857061866815228,0.014216460420511811,0.009655579556106393,0.015311257049726003,0.0219911628615111,0.01856259266060531,0.04320239552438569
8,8,8,8,122793.68455965717,0.005057912661920627,0.0033719417746137514,0.007585995598519091,0.004412264265298952,0.00594587979851683,0.017054795803348594,0.0081147109628548,0.03713890357995598
9,9,9,8,122793.68455965717,0.005057912661920627,0.0033719417746137514,0.007585995598519091,0.004412264265298952,0.00594587979851683,0.017054795803348594,0.0081147109628548,0.03713890357995598
10,10,10,8,122793.68455965717,0.005057912661920627,0.0033719417746137514,0.007585995598519091,0.004412264265298952,0.00594587979851683,0.017054795803348594,0.0081147109628548,0.03713890357995598
11,11,11,11,51247.57307897848,0.00260981435128968,0.0017398762341931198,0.005306599435575512,0.004249027035277558,0.0046425297423808715,0.006501382853624378,0.006158249113154796,0.016888775735847454
12,12,12,11,51247.57307897848,0.00260981435128968,0.0017398762341931198,0.005306599435575512,0.004249027035277558,0.0046425297423808715,0.006501382853624378,0.006158249113154796,0.016888775735847454
13,13,13,13,19517.898491222582,0.0008778050124217396,0.0005852033416144931,0.003714141821195167,0.0026776862153188603,0.001988709280215724,0.00308450099614236,0.00266665735447303,0.008409440332294557
14,14,14,13,19517.898491222582,0.0008778050124217396,0.0005852033416144931,0.003714141821195167,0.0026776862153188603,0.001988709280215724,0.00308450099614236,0.00266665735447303,0.008409440332294557
